task_id,condition,annotator_id,active_time,iou,iou_manual,iou_corner,rmse_px,layout_2d_iou,layout_3d_iou,layout_depth_rmse,layout_delta1,layout_used,layout_gate_reason,pointwise_rmse_px,pointwise_rmse_used,pointwise_best_shift,pointwise_gate_reason,boundary_mse,boundary_rmse_px,pred_n_points,pred_n_pairs,pred_pair_coverage,pred_odd_points,ann_n_points,ann_n_pairs,ann_pair_coverage,ann_odd_points,pairing_warning,pairing_failure_reason,boundary_method_used,consensus_uid,iou_to_consensus,consensus_uid_loo,iou_to_consensus_loo,iou_to_others_median,quality,scope,difficulty,model_issue,tool_issue,scope_missing,is_oos,is_occlusion,is_fail,is_residual,is_normal,n_corners,has_manual_poly,task_scope_n_total,task_scope_n_in_scope,task_scope_n_oos,task_scope_n_unknown,task_scope_oos_rate,task_scope_unknown_rate,task_scope_majority,task_scope_is_mixed,task_scope_has_unknown
459,semi,2,188.28199999999998,1.0,1.0,1.0,0.0,,,,,False,scope_missing,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,,,,,True,,False,False,False,,8,True,1,0,0,1,0.0,1.0,unknown,False,True
461,semi,2,7.509,1.0,1.0,1.0,0.0,,,,,False,scope_missing,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,normal,,,,,True,,False,False,False,,8,True,1,0,0,1,0.0,1.0,unknown,False,True
462,semi,2,2121.889,0.8862438676752228,,0.8862438676752228,9.109371777684927,,,,,False,scope_missing,,False,,n_pairs_mismatch,101.96072387695312,10.097560293306158,12,6,1.0,False,8,4,1.0,False,False,,connect,,,,,,complex,,,,,True,,False,False,False,,8,False,1,0,0,1,0.0,1.0,unknown,False,True
463,semi,2,80.294,1.0,1.0,1.0,0.0,,,,,False,scope_missing,0.0,True,0,,0.0,0.0,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,normal,,,,,True,,False,False,False,,12,True,1,0,0,1,0.0,1.0,unknown,False,True
464,semi,2,320.776,1.0,1.0,1.0,0.0,,,,,False,scope_missing,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,unknown,,,,,True,,False,False,False,,8,True,1,0,0,1,0.0,1.0,unknown,False,True
465,semi,2,147.437,1.0,1.0,1.0,0.0,,,,,False,scope_missing,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,,,,,,unknown,,,,,True,,False,False,False,,8,True,1,0,0,1,0.0,1.0,unknown,False,True
474,semi,1,27.499,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,0.0,True,0,,0.0,0.0,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,normal,normal,,,,False,False,False,False,False,True,12,True,4,3,1,0,0.25,0.0,in_scope,True,False
474,semi,2,628.372,1.0,1.0,1.0,0.0,,,,,False,out_of_scope,0.0,True,0,,0.0,0.0,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,occlusion;oos_insufficient;residual,oos_insufficient,occlusion;residual,,,False,True,True,False,True,False,12,True,4,3,1,0,0.25,0.0,in_scope,True,False
474,semi,3,1124.848,0.9604076246752072,1.0,0.9604076246752072,3.376038620624595,0.9945566253640641,0.992865990271136,0.019615909084677696,1.0,True,,3.3200874521618315,True,0,,2.0254933834075928,1.4231982937762373,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,corner_drift;normal;occlusion,normal,occlusion,corner_drift,,False,False,True,False,False,True,12,True,4,3,1,0,0.25,0.0,in_scope,True,False
474,semi,4,14.729,1.0,1.0,1.0,5.84207588922869,0.9549285581803598,0.9509160409068775,0.0769195482134819,1.0,True,,4.29627237428994,True,0,,9.50030517578125,3.0822565071358436,12,6,1.0,False,12,6,1.0,False,False,,connect,,,,,,normal,normal,,,,False,False,False,False,False,True,12,True,4,3,1,0,0.25,0.0,in_scope,True,False
475,semi,1,176.504,0.4161883959106335,,0.4161883959106335,121.25717910261908,0.17528231810483477,0.15979210678112998,0.8628100752830505,0.1829681396484375,True,,121.07841435150611,True,0,,9416.7080078125,97.03972386508785,8,4,1.0,False,8,4,1.0,False,False,,connect,2,0.7502751350402832,2,0.7502751350402832,0.7502751350402832,fail;normal,normal,,fail,,False,False,False,True,False,True,8,False,4,4,0,0,0.0,0.0,in_scope,False,False
