reference_regime,outer_building,status,reason,train_a4_s_mean,train_a4_c_mean,train_a4_l_mean,chosen_variant,test_n,test_mean_delta,test_building_in_train
public_gt_primary,B6ByNegPMKs,evaluated,,-0.0037474792149803328,-0.007644979299101405,-0.0058723458048984606,A4-S,6,0.0,False
public_gt_primary,UwV83HsGsw3,evaluated,,-0.005060476991964271,-0.010046282690276034,-0.007094642646550448,A4-S,4,0.01959920959677333,False
public_gt_primary,X7HyMhZNoso,evaluated,,-0.0034187529680522336,-0.008190669904976643,-0.006573530576931852,A4-S,1,0.0,False
public_gt_primary,b8cTxDM8gDG,evaluated,,-0.0034798021281960234,-0.008336931867565511,-0.006690915051519921,A4-S,2,0.0,False
public_gt_primary,rPc6DW4iMge,evaluated,,-0.0028455287099788274,-0.006986861664386787,-0.006154901140298631,A4-S,7,-0.0071067078528653,False
public_gt_primary,uNb9QFRL6hY,evaluated,,-0.0011784407726213302,-0.006307987109982777,-0.0023875769759027824,A4-S,17,-0.008620755735382516,False
public_gt_primary,wc2JMjhGNzB,evaluated,,-0.0024928792138616653,-0.006667953840096732,-0.007744581153136214,A4-S,8,-0.008778119810736756,False
public_gt_primary,x8F5xyUWy9e,evaluated,,-0.0034798021281960234,-0.00809551535965076,-0.006449498543605168,A4-S,2,0.0,False
public_gt_primary,yqstnuAEVhm,evaluated,,-0.0040027217568161825,-0.009775892556075185,-0.008499642176091593,A4-S,11,-0.0006128178735106102,False
public_gt_primary,outer_test_pooled,evaluated,,,,,,58,-0.0033598089513616775,False
public_gt_primary,outer_test_equal_building,evaluated,,,,,,58,-0.0006132435195246502,False
strict_conflict_exclusion,B6ByNegPMKs,evaluated,,-0.00598769199884017,-0.01078517579620946,-0.007337886008716348,A4-S,5,0.0,False
strict_conflict_exclusion,UwV83HsGsw3,evaluated,,-0.005579440271646522,-0.010391030957762728,-0.00717878365578051,A4-S,2,0.0,False
strict_conflict_exclusion,X7HyMhZNoso,evaluated,,-0.005455452710054377,-0.01022158044083147,-0.007080716412226634,A4-S,1,0.0,False
strict_conflict_exclusion,b8cTxDM8gDG,evaluated,,-0.005579440271646522,-0.010453889087214003,-0.007241641785231784,A4-S,2,0.0,False
strict_conflict_exclusion,rPc6DW4iMge,evaluated,,-0.006137384298811175,-0.009979495877688269,-0.006446023845507828,A4-S,6,0.0,False
strict_conflict_exclusion,uNb9QFRL6hY,evaluated,,-0.0007589523409538809,-0.005388888168593189,-0.0018359293088221955,A4-S,13,-0.016957688053920686,False
strict_conflict_exclusion,wc2JMjhGNzB,evaluated,,-0.0056797735327396405,-0.00946052887754042,-0.008053418558687945,A4-S,6,-0.003050738440476893,False
strict_conflict_exclusion,x8F5xyUWy9e,evaluated,,-0.005579440271646522,-0.010146631713504318,-0.006934384411522099,A4-S,2,0.0,False
strict_conflict_exclusion,yqstnuAEVhm,evaluated,,-0.006452820955238655,-0.012393055515444217,-0.009443171530366017,A4-S,9,-0.0007489996231796346,False
strict_conflict_exclusion,outer_test_pooled,evaluated,,,,,,46,-0.005336855912009717,False
strict_conflict_exclusion,outer_test_equal_building,evaluated,,,,,,46,-0.0023063806797308014,False
