building_id,bilayout_enclosed_extended_comparison_count,bilayout_enclosed_extended_image_count,bilayout_enclosed_extended_worker_count,bilayout_enclosed_extended_d_mask_median,bilayout_enclosed_gt_comparison_count,bilayout_enclosed_gt_image_count,bilayout_enclosed_gt_worker_count,bilayout_enclosed_gt_d_mask_median,bilayout_extended_gt_comparison_count,bilayout_extended_gt_image_count,bilayout_extended_gt_worker_count,bilayout_extended_gt_d_mask_median,hohonet_bilayout_enclosed_comparison_count,hohonet_bilayout_enclosed_image_count,hohonet_bilayout_enclosed_worker_count,hohonet_bilayout_enclosed_d_mask_median,hohonet_bilayout_extended_comparison_count,hohonet_bilayout_extended_image_count,hohonet_bilayout_extended_worker_count,hohonet_bilayout_extended_d_mask_median,hohonet_gt_comparison_count,hohonet_gt_image_count,hohonet_gt_worker_count,hohonet_gt_d_mask_median,human_bilayout_enclosed_comparison_count,human_bilayout_enclosed_image_count,human_bilayout_enclosed_worker_count,human_bilayout_enclosed_d_mask_median,human_bilayout_extended_comparison_count,human_bilayout_extended_image_count,human_bilayout_extended_worker_count,human_bilayout_extended_d_mask_median,human_gt_comparison_count,human_gt_image_count,human_gt_worker_count,human_gt_d_mask_median,human_hohonet_comparison_count,human_hohonet_image_count,human_hohonet_worker_count,human_hohonet_d_mask_median,human_human_different_worker_same_stage_comparison_count,human_human_different_worker_same_stage_image_count,human_human_different_worker_same_stage_worker_count,human_human_different_worker_same_stage_d_mask_median,human_human_cross_stage_comparison_count,human_human_cross_stage_image_count,human_human_cross_stage_worker_count,human_human_cross_stage_d_mask_median
2t7WUuJeko7,3,3,0,0.0,3,3,0,0.017246607394,3,3,0,0.016291998128,3,3,0,0.024054468034,3,3,0,0.023099479812,3,3,0,0.009335225929,7,3,4,0.030813718334,7,3,4,0.030813718334,7,3,4,0.042494583951,7,3,4,0.044267210273,6,2,3,0.024165256632,,,,
7y3sRwLe3Va,12,12,0,0.003356147885,10,10,0,0.049405835192,10,10,0,0.049724003489,12,12,0,0.059730525401,12,12,0,0.061934971958,10,10,0,0.06036723933,150,12,26,0.105027264519,150,12,26,0.095881281904,101,10,26,0.046783270885,150,12,26,0.132650782264,1303,12,26,0.107669184486,,,,
B6ByNegPMKs,11,11,0,0.007758914098,11,11,0,0.118490411884,11,11,0,0.145229618279,11,11,0,0.137596242859,11,11,0,0.137596242859,11,11,0,0.119254500427,170,11,26,0.153930345903,170,11,26,0.148713466717,170,11,26,0.16461638838,170,11,26,0.260712189436,1614,11,26,0.186368008806,,,,
S9hNv5qa7GM,10,10,0,0.002812286494,7,7,0,0.050123438992,7,7,0,0.048851218644,10,10,0,0.039879011263,10,10,0,0.040343923433,7,7,0,0.008385667733,54,10,20,0.074820799313,54,10,20,0.074820799313,48,7,20,0.084672597894,54,10,20,0.07490993289,368,7,20,0.059389435614,2,1,3,0.053490738542
UwV83HsGsw3,10,10,0,0.009304542547,8,8,0,0.141806618248,7,7,0,0.095524486137,11,11,0,0.165409044382,10,10,0,0.120473137534,8,8,0,0.141495471738,177,11,25,0.172978831103,169,10,25,0.187370394569,104,8,24,0.142152918332,177,11,25,0.213535097169,1721,11,25,0.145726758979,,,,
VFuaQ6m2Qom,5,5,0,0.003621265116,2,2,0,0.048124902504,2,2,0,0.047719934626,5,5,0,0.084526353152,5,5,0,0.085114235378,2,2,0,0.068229932919,35,5,19,0.103352715749,35,5,19,0.10527895887,4,2,4,0.121466047577,35,5,19,0.071153201475,186,5,19,0.051041962615,18,2,10,0.055288639565
VLzqgDo317F,1,1,0,0.008190292041,1,1,0,0.028323401751,1,1,0,0.03628171686,1,1,0,0.037105495476,1,1,0,0.044991882673,1,1,0,0.01070423867,2,1,2,0.061253987015,2,1,2,0.063007424521,2,1,2,0.064446692981,2,1,2,0.066913624803,1,1,2,0.000921623958,,,,
X7HyMhZNoso,4,4,0,0.001221658496,4,4,0,0.052442673544,4,4,0,0.051964568197,4,4,0,0.036140610264,4,4,0,0.035440055622,4,4,0,0.047015225393,65,4,26,0.039000950134,65,4,26,0.03763778779,65,4,26,0.028060230457,65,4,26,0.047020080831,651,4,26,0.035985299778,,,,
Z6MFQCViBuw,4,4,0,0.006341341749,4,4,0,0.107946725799,4,4,0,0.107749739845,4,4,0,0.086077948176,4,4,0,0.087315425807,4,4,0,0.085855134981,50,4,26,0.069248408651,50,4,26,0.067861297428,50,4,26,0.042677459225,50,4,26,0.107679735443,371,4,26,0.055926215451,,,,
b8cTxDM8gDG,5,5,0,0.000908431988,4,4,0,0.053054545961,4,4,0,0.063820565517,5,5,0,0.03251369832,5,5,0,0.031865830203,4,4,0,0.076480092954,87,5,26,0.104755557298,87,5,26,0.104755557298,63,4,26,0.077048673933,87,5,26,0.122594519291,951,5,26,0.1404406962,,,,
e9zR4mvMWw7,9,9,0,0.003969677005,9,9,0,0.036963998847,9,9,0,0.050583424902,9,9,0,0.024594154126,9,9,0,0.024732351584,9,9,0,0.042281175394,171,9,26,0.034678621674,171,9,26,0.054836464857,171,9,26,0.047573203786,171,9,26,0.04223512658,1921,9,26,0.05288909223,,,,
jh4fc5c5qoQ,7,7,0,0.014076555384,2,2,0,0.066720765821,2,2,0,0.066743914967,7,7,0,0.073543457498,7,7,0,0.089581602966,2,2,0,0.013778636611,15,7,10,0.105317611883,15,7,10,0.108112784043,5,2,5,0.099530372823,15,7,10,0.096114463836,10,5,8,0.080413895211,1,1,2,0.159103465636
jtcxE69GiFV,16,16,0,0.004674050941,12,12,0,0.05868754755,12,12,0,0.067123560063,16,16,0,0.063542705801,16,16,0,0.068285064758,12,12,0,0.01257208373,37,16,15,0.109906818979,37,16,15,0.109247669976,29,12,14,0.085455458621,37,16,15,0.10352932668,21,8,14,0.064822122616,21,6,14,0.082196033707
pRbA3pwrgk9,11,11,0,0.005315171127,7,7,0,0.035820822032,7,7,0,0.035752534848,11,11,0,0.065768539372,11,11,0,0.073369023144,7,7,0,0.012904570606,46,11,20,0.199685449106,46,11,20,0.225653865849,16,7,11,0.030603709818,46,11,20,0.169714847281,192,9,20,0.414544246046,14,3,10,0.016824763173
pa4otMbVnkk,11,11,0,0.000119316266,8,8,0,0.045643134136,8,8,0,0.046817235992,11,11,0,0.044383943934,11,11,0,0.044383943934,8,8,0,0.01148793256,22,11,17,0.095849479142,22,11,17,0.097579480933,16,8,14,0.094697360878,22,11,17,0.096364547667,11,5,14,0.272665426212,12,3,12,0.270357200215
q9vSo1VnCiC,16,16,0,0.000946831499,15,15,0,0.051065458373,15,15,0,0.055644305936,16,16,0,0.04940397839,16,16,0,0.054692904201,15,15,0,0.079589323232,209,16,26,0.060077150852,209,16,26,0.063612241288,184,15,26,0.05915080002,209,16,26,0.087281977151,1891,16,26,0.065898790451,,,,
rPc6DW4iMge,10,10,0,0.006010194504,10,10,0,0.024506876757,10,10,0,0.025302375227,10,10,0,0.046924742069,10,10,0,0.039559884116,10,10,0,0.055457361176,184,10,26,0.065800113619,184,10,26,0.066842527652,184,10,26,0.058421882082,184,10,26,0.069388388483,1970,10,26,0.060344932326,,,,
uNb9QFRL6hY,28,28,0,0.005496425754,26,26,0,0.078913108191,26,26,0,0.065688753526,28,28,0,0.098476081878,28,28,0,0.075214081517,26,26,0,0.051548758075,416,28,26,0.115582613208,416,28,26,0.11434825969,387,26,26,0.107214095745,416,28,26,0.110084358531,3844,28,26,0.088850716221,,,,
wc2JMjhGNzB,15,15,0,0.002027159874,15,15,0,0.035106192883,15,15,0,0.035106192883,15,15,0,0.024808148205,15,15,0,0.027338600389,15,15,0,0.047701141029,252,15,26,0.044879289603,252,15,26,0.047352325748,252,15,26,0.046510675299,252,15,26,0.048115398032,2448,15,26,0.045500212327,,,,
x8F5xyUWy9e,4,4,0,0.002988570314,4,4,0,0.036630182553,4,4,0,0.035997325121,4,4,0,0.032883926013,4,4,0,0.033997428575,4,4,0,0.056154285039,39,4,24,0.067377057438,39,4,24,0.069627018103,39,4,24,0.059318025698,39,4,24,0.069087967161,306,4,24,0.059027400808,,,,
yqstnuAEVhm,14,14,0,0.007091829976,13,13,0,0.076129683097,14,14,0,0.089416560505,14,14,0,0.041384256524,15,15,0,0.041392967543,14,14,0,0.085949059212,198,14,26,0.070693102843,222,15,26,0.091798071442,196,14,26,0.070490560775,222,15,26,0.101979863358,2094,15,26,0.095653102511,,,,
zsNo4HB9uLZ,6,6,0,0.003534041463,4,4,0,0.034005063345,4,4,0,0.039822555449,6,6,0,0.080151576434,6,6,0,0.08969321719,4,4,0,0.008922677581,17,6,13,0.099923642013,17,6,13,0.093105542901,11,4,8,0.071476114513,17,6,13,0.091593979004,12,5,13,0.091190024591,8,2,8,0.111647885818
