stage,condition,base_task_id,building_id,canonical_annotation_count,raw_version_count,unique_worker_count,strict_geometry_count,raw_geometry_computable_count,raw_geometry_noncomputable_count,strict_geometry_unique_worker_count,non_strict_or_non_geometry_count,current_available20_canonical_count,current_available20_strict_count,shared_initialization_status,supports_k15,supports_k20
C1,manual,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,5,5,5,5,5,0,5,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,6,6,6,6,6,0,6,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,6,6,6,6,6,0,6,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,5,5,5,5,5,0,5,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,6,6,6,6,6,0,6,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,5,5,5,5,5,0,5,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,6,6,6,6,6,0,6,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,5,5,5,4,4,1,4,1,5,4,no_model_preannotation_recorded,False,False
C1,manual,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,5,5,5,5,5,0,5,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,7,7,7,6,6,1,6,1,5,4,no_model_preannotation_recorded,False,False
C1,manual,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3,5,5,5,5,5,0,5,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,23,23,23,23,23,0,23,0,20,20,no_model_preannotation_recorded,True,True
C1,manual,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,b8cTxDM8gDG,5,5,5,5,5,0,5,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,b8cTxDM8gDG,6,6,6,6,6,0,6,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,e9zR4mvMWw7,6,6,6,6,6,0,6,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,e9zR4mvMWw7,6,6,6,6,6,0,6,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,e9zR4mvMWw7,6,6,6,6,6,0,6,0,6,6,no_model_preannotation_recorded,False,False
C1,manual,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,q9vSo1VnCiC,5,5,5,3,3,2,3,2,5,3,no_model_preannotation_recorded,False,False
C1,manual,q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,q9vSo1VnCiC,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,6,6,6,6,6,0,6,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,5,5,5,5,5,0,5,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,q9vSo1VnCiC,6,6,6,6,6,0,6,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,q9vSo1VnCiC,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,q9vSo1VnCiC,5,5,5,4,5,0,4,1,5,4,no_model_preannotation_recorded,False,False
C1,manual,q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,q9vSo1VnCiC,5,5,5,5,5,0,5,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,23,23,23,23,23,0,23,0,20,20,no_model_preannotation_recorded,True,True
C1,manual,rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,rPc6DW4iMge_4350d36797324601adba7351d09602d2,rPc6DW4iMge,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,23,25,23,23,23,0,23,0,20,20,no_model_preannotation_recorded,True,True
C1,manual,rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,rPc6DW4iMge,6,6,6,6,6,0,6,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,23,23,23,23,23,0,23,0,20,20,no_model_preannotation_recorded,True,True
C1,manual,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY,23,23,23,23,23,0,23,0,20,20,no_model_preannotation_recorded,True,True
C1,manual,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,uNb9QFRL6hY,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,uNb9QFRL6hY,5,6,5,5,5,0,5,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,uNb9QFRL6hY,5,5,5,5,5,0,5,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY,6,6,6,6,6,0,6,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,5,5,5,5,5,0,5,0,5,5,no_model_preannotation_recorded,False,False
C1,manual,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,5,5,5,5,5,0,5,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,23,24,23,23,23,0,23,0,20,20,no_model_preannotation_recorded,True,True
C1,manual,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY,23,23,23,23,23,0,23,0,20,20,no_model_preannotation_recorded,True,True
C1,manual,uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,uNb9QFRL6hY,6,6,6,6,6,0,6,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY,6,6,6,6,6,0,6,0,4,4,no_model_preannotation_recorded,False,False
C1,manual,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY,23,23,23,23,23,0,23,0,20,20,no_model_preannotation_recorded,True,True
