scenario,support_set,k,building_id,task_count,image_count,worker_count,full_status_recovery_rate_task_equal,partition_recovery_rate_task_equal,historical_all_target_status_recovery_rate_task_equal,historical_all_target_partition_recovery_rate_task_equal,paired_status_changed_from_prior_k_rate_task_equal
current_available20__all_strict_geometry,fixed_common_support_k20,15,7y3sRwLe3Va,1,1,20,1.0,1.0,0.0,1.0,
current_available20__all_strict_geometry,fixed_common_support_k20,15,B6ByNegPMKs,2,2,20,0.76,0.9824999999999999,0.76,0.9824999999999999,
current_available20__all_strict_geometry,fixed_common_support_k20,15,UwV83HsGsw3,3,3,20,0.8249999999999998,1.0,0.8249999999999998,1.0,
current_available20__all_strict_geometry,fixed_common_support_k20,15,X7HyMhZNoso,1,1,20,1.0,1.0,0.0,1.0,
current_available20__all_strict_geometry,fixed_common_support_k20,15,b8cTxDM8gDG,1,1,20,0.46,0.46,0.46,0.46,
current_available20__all_strict_geometry,fixed_common_support_k20,15,e9zR4mvMWw7,1,1,20,1.0,1.0,1.0,1.0,
current_available20__all_strict_geometry,fixed_common_support_k20,15,q9vSo1VnCiC,3,3,20,0.995,1.0,0.3333333333333333,1.0,
current_available20__all_strict_geometry,fixed_common_support_k20,15,rPc6DW4iMge,5,5,20,0.7369999999999999,1.0,0.7369999999999999,1.0,
current_available20__all_strict_geometry,fixed_common_support_k20,15,uNb9QFRL6hY,10,10,20,0.868,0.9564999999999999,0.768,0.8564999999999999,
current_available20__all_strict_geometry,fixed_common_support_k20,15,wc2JMjhGNzB,4,4,20,0.84,0.88125,0.84,0.88125,
current_available20__all_strict_geometry,fixed_common_support_k20,15,x8F5xyUWy9e,1,1,20,1.0,1.0,1.0,1.0,
current_available20__all_strict_geometry,fixed_common_support_k20,15,yqstnuAEVhm,4,4,20,0.83125,0.87125,0.33125,0.87125,
current_available20__all_strict_geometry,fixed_common_support_k20,16,7y3sRwLe3Va,1,1,20,1.0,1.0,0.0,1.0,0.0
current_available20__all_strict_geometry,fixed_common_support_k20,16,B6ByNegPMKs,2,2,20,0.8275,1.0,0.8275,1.0,0.0675
current_available20__all_strict_geometry,fixed_common_support_k20,16,UwV83HsGsw3,3,3,20,0.8616666666666667,1.0,0.8616666666666667,1.0,0.03666666666666667
current_available20__all_strict_geometry,fixed_common_support_k20,16,X7HyMhZNoso,1,1,20,1.0,1.0,0.0,1.0,0.0
current_available20__all_strict_geometry,fixed_common_support_k20,16,b8cTxDM8gDG,1,1,20,0.575,0.575,0.575,0.575,0.115
current_available20__all_strict_geometry,fixed_common_support_k20,16,e9zR4mvMWw7,1,1,20,1.0,1.0,1.0,1.0,0.0
current_available20__all_strict_geometry,fixed_common_support_k20,16,q9vSo1VnCiC,3,3,20,0.9966666666666667,1.0,0.3333333333333333,1.0,0.0016666666666666668
current_available20__all_strict_geometry,fixed_common_support_k20,16,rPc6DW4iMge,5,5,20,0.781,1.0,0.781,1.0,0.044
current_available20__all_strict_geometry,fixed_common_support_k20,16,uNb9QFRL6hY,10,10,20,0.89,0.96,0.79,0.86,0.027999999999999997
current_available20__all_strict_geometry,fixed_common_support_k20,16,wc2JMjhGNzB,4,4,20,0.8775,0.91125,0.8775,0.91125,0.055
current_available20__all_strict_geometry,fixed_common_support_k20,16,x8F5xyUWy9e,1,1,20,1.0,1.0,1.0,1.0,0.0
