building_id,old_registry_214_count,high_density_42_count,prescreen_manifest_314_count,prescreen_no_history_166_count,human_reviewed_30_count,human_in_scope_count,human_out_of_scope_count,candidate_remaining_136_count,historical_annotation_record_148_count,no_existing_annotation_record_166_count,original_missing_or_degraded_count,gt_missing_or_degraded_count,hohonet_txt_missing_or_degraded_count,hohonet_json_missing_or_degraded_count,bi_manifest_degenerate_or_missing_count,bi_extended_degenerate_or_missing_count,bi_enclosed_degenerate_or_missing_count,any_asset_issue_count
2t7WUuJeko7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7y3sRwLe3Va,12,1,14,11,3,2,1,8,3,11,0,0,0,0,0,0,0,0
B6ByNegPMKs,11,3,40,15,3,3,0,12,25,15,0,0,0,0,0,0,0,0
S9hNv5qa7GM,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UwV83HsGsw3,11,3,12,8,3,3,0,5,4,8,0,0,0,0,0,0,0,0
VFuaQ6m2Qom,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VLzqgDo317F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X7HyMhZNoso,4,1,22,16,3,3,0,13,6,16,0,0,0,0,0,0,0,0
Z6MFQCViBuw,4,0,6,3,1,1,0,2,3,3,0,0,0,0,0,0,0,0
b8cTxDM8gDG,5,1,14,11,2,2,0,9,3,11,0,0,0,0,0,0,0,0
e9zR4mvMWw7,9,1,32,19,2,2,0,17,13,19,0,0,0,0,0,0,0,0
jh4fc5c5qoQ,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jtcxE69GiFV,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kEZ7cmS4wCh,0,0,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
pRbA3pwrgk9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pa4otMbVnkk,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q9vSo1VnCiC,16,4,18,8,2,2,0,6,10,8,0,0,0,0,0,0,0,0
rPc6DW4iMge,10,6,12,5,1,1,0,4,7,5,0,0,0,0,0,0,0,0
rqfALeAoiTq,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
uNb9QFRL6hY,28,11,60,32,2,1,1,30,28,32,0,0,0,0,0,0,0,0
wc2JMjhGNzB,15,4,53,17,2,2,0,15,36,17,0,0,0,0,0,0,0,0
x8F5xyUWy9e,4,1,7,4,2,2,0,2,3,4,0,0,0,0,0,0,0,0
yqstnuAEVhm,15,6,21,15,2,1,1,13,6,15,0,0,0,0,0,0,0,0
zsNo4HB9uLZ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
