building_id,official_split_memberships,source_paths,room_instance_status
2t7WUuJeko7,test,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_test.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
7y3sRwLe3Va,train,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_train.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
B6ByNegPMKs,train,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_train.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
S9hNv5qa7GM,train,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_train.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
UwV83HsGsw3,test,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_test.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
VFuaQ6m2Qom,train,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_train.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
VLzqgDo317F,train,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_train.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
X7HyMhZNoso,val,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_val.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
Z6MFQCViBuw,val,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_val.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
b8cTxDM8gDG,train,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_train.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
e9zR4mvMWw7,train,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_train.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
jh4fc5c5qoQ,train,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_train.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
jtcxE69GiFV,test,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_test.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
pRbA3pwrgk9,train,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_train.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
pa4otMbVnkk,test,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_test.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
q9vSo1VnCiC,test,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_test.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
rPc6DW4iMge,train,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_train.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
uNb9QFRL6hY,train,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_train.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
wc2JMjhGNzB,test,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_test.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
x8F5xyUWy9e,val,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_val.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
yqstnuAEVhm,test,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_test.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
zsNo4HB9uLZ,val,D:\Work\Manhattan_3D\mp3d_layout_gt_sources\Matterport_official\tasks\benchmark\scenes_val.txt,not_verified; no_local_house_or_pano_region_instance_file_found_in_bounded_search
