threshold,base_task_id,building_id,baseline_population,inclusive_population,formal_manual_valid_k,formal_semi_valid_k,all_canonical_manual_valid_k,all_canonical_semi_valid_k,excluded_context_added_n,baseline_manual_entropy,inclusive_manual_entropy,excluded_context_shift_manual_entropy,baseline_semi_entropy,inclusive_semi_entropy,excluded_context_shift_semi_entropy,baseline_delta_entropy,inclusive_delta_entropy,excluded_context_shift_delta_entropy,analysis_role
0.93,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,formal_primary,all_canonical_in_scope,5,4,6,4,1,0.848766520351474,0.7158003854659982,-0.13296613488547582,0.0,0.0,0.0,-0.848766520351474,-0.7158003854659982,0.13296613488547582,excluded_context_sensitivity_not_primary
0.95,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,formal_primary,all_canonical_in_scope,5,4,6,4,1,0.848766520351474,0.7158003854659982,-0.13296613488547582,0.0,0.0,0.0,-0.848766520351474,-0.7158003854659982,0.13296613488547582,excluded_context_sensitivity_not_primary
0.97,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,formal_primary,all_canonical_in_scope,5,4,6,4,1,0.848766520351474,0.7158003854659982,-0.13296613488547582,0.0,0.0,0.0,-0.848766520351474,-0.7158003854659982,0.13296613488547582,excluded_context_sensitivity_not_primary
0.93,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,formal_primary,all_canonical_in_scope,5,4,5,4,0,0.848766520351474,0.848766520351474,0.0,1.0397207708399179,1.0397207708399179,0.0,0.19095425048844383,0.19095425048844383,0.0,excluded_context_sensitivity_not_primary
0.95,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,formal_primary,all_canonical_in_scope,5,4,5,4,0,0.848766520351474,0.848766520351474,0.0,1.0397207708399179,1.0397207708399179,0.0,0.19095425048844383,0.19095425048844383,0.0,excluded_context_sensitivity_not_primary
0.97,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,formal_primary,all_canonical_in_scope,5,4,5,4,0,0.848766520351474,0.848766520351474,0.0,1.0397207708399179,1.0397207708399179,0.0,0.19095425048844383,0.19095425048844383,0.0,excluded_context_sensitivity_not_primary
0.93,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,formal_primary,all_canonical_in_scope,5,4,5,4,0,0.44986811569504664,0.44986811569504664,0.0,0.0,0.0,0.0,-0.44986811569504664,-0.44986811569504664,0.0,excluded_context_sensitivity_not_primary
0.95,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,formal_primary,all_canonical_in_scope,5,4,5,4,0,0.44986811569504664,0.44986811569504664,0.0,0.0,0.0,0.0,-0.44986811569504664,-0.44986811569504664,0.0,excluded_context_sensitivity_not_primary
0.97,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,formal_primary,all_canonical_in_scope,5,4,5,4,0,0.44986811569504664,0.44986811569504664,0.0,0.0,0.0,0.0,-0.44986811569504664,-0.44986811569504664,0.0,excluded_context_sensitivity_not_primary
0.93,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,formal_primary,all_canonical_in_scope,5,4,5,4,0,0.0,0.0,0.0,0.5623351446188083,0.5623351446188083,0.0,0.5623351446188083,0.5623351446188083,0.0,excluded_context_sensitivity_not_primary
0.95,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,formal_primary,all_canonical_in_scope,5,4,5,4,0,0.0,0.0,0.0,0.5623351446188083,0.5623351446188083,0.0,0.5623351446188083,0.5623351446188083,0.0,excluded_context_sensitivity_not_primary
0.97,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,formal_primary,all_canonical_in_scope,5,4,5,4,0,0.0,0.0,0.0,0.5623351446188083,0.5623351446188083,0.0,0.5623351446188083,0.5623351446188083,0.0,excluded_context_sensitivity_not_primary
0.93,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,formal_primary,all_canonical_in_scope,5,4,6,4,1,0.44986811569504664,0.37489009641253895,-0.07497801928250769,0.5623351446188083,0.5623351446188083,0.0,0.11246702892376165,0.18744504820626934,0.07497801928250769,excluded_context_sensitivity_not_primary
