threshold,base_task_id,building_id,has_semi_candidate,task_analysis_class,task_final_scope,initial_researcher_scope,worker_scope_direction,n_worker_in_scope,n_worker_oos,n_worker_missing,mixed_scope_response,secondary_scope,secondary_notes,manual_all_canonical_valid_k,semi_all_canonical_valid_k,manual_data_mining_entropy,semi_data_mining_entropy,delta_data_mining_entropy,protocol_reference_manual_entropy,protocol_reference_semi_entropy,protocol_reference_delta_entropy,manual_observed_active_seconds_mean,semi_observed_active_seconds_mean,delta_observed_active_seconds_mean,semi_review_rows,semi_review_edited_count,semi_review_edit_rate,analysis_role,formal_inference_allowed
0.93,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,False,manual_only_oos,oos,oos,oos,2.0,3.0,0.0,True,,,5,0,0.9502705392332347,,,,,,120.0,,,0,0,,oos_scope_semantic_uncertainty_data_mining,False
0.93,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,False,manual_only_oos,oos,oos,in_scope,3.0,2.0,0.0,True,oos,User-confirmed secondary protocol Scope resolution: retain OOS.,5,0,0.9502705392332347,,,,,,161.6,,,0,0,,oos_scope_semantic_uncertainty_data_mining,False
0.93,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,True,paired_oos,oos,oos,oos,2.0,3.0,0.0,True,,,4,4,1.3862943611198906,1.0397207708399179,-0.3465735902799727,1.3862943611198906,1.0397207708399179,-0.3465735902799727,137.25,237.25,100.0,4,4,1.0,oos_scope_semantic_uncertainty_data_mining,False
0.93,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,False,manual_only_oos,oos,oos,in_scope,4.0,1.0,0.0,True,oos,User-confirmed secondary protocol Scope resolution: retain OOS.,5,0,0.5004024235381879,,,,,,218.4,,,0,0,,oos_scope_semantic_uncertainty_data_mining,False
0.93,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3,False,manual_only_oos,oos,oos,oos,2.0,3.0,0.0,True,,,5,0,1.3321790402101223,,,,,,389.4,,,0,0,,oos_scope_semantic_uncertainty_data_mining,False
0.93,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY,True,paired_oos,oos,oos,in_scope,4.0,1.0,1.0,True,oos,Boundary indeterminate: two ceiling-height planes; no unique protocol-defined cut; near and far stopping locations both defensible.,6,4,0.0,0.5623351446188083,0.5623351446188083,0.0,0.5623351446188083,0.5623351446188083,56.6,61.0,4.399999999999999,4,3,0.75,oos_scope_semantic_uncertainty_data_mining,False
0.93,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,uNb9QFRL6hY,True,paired_oos,oos,oos,in_scope,4.0,1.0,0.0,True,oos,User-confirmed secondary protocol Scope resolution: retain OOS.,5,4,0.9704060527839233,0.5623351446188083,-0.40807090816511504,0.9704060527839233,0.5623351446188083,-0.40807090816511504,158.0,217.25,59.25,4,4,1.0,oos_scope_semantic_uncertainty_data_mining,False
0.93,x8F5xyUWy9e_1be9a97aada84e4795f64583ac0e3b76,x8F5xyUWy9e,False,manual_only_oos,oos,oos,oos,1.0,4.0,0.0,True,,,5,0,1.6094379124341005,,,,,,251.4,,,0,0,,oos_scope_semantic_uncertainty_data_mining,False
0.95,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,False,manual_only_oos,oos,oos,oos,2.0,3.0,0.0,True,,,5,0,1.3321790402101223,,,,,,120.0,,,0,0,,oos_scope_semantic_uncertainty_data_mining,False
0.95,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,False,manual_only_oos,oos,oos,in_scope,3.0,2.0,0.0,True,oos,User-confirmed secondary protocol Scope resolution: retain OOS.,5,0,0.9502705392332347,,,,,,161.6,,,0,0,,oos_scope_semantic_uncertainty_data_mining,False
0.95,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,True,paired_oos,oos,oos,oos,2.0,3.0,0.0,True,,,4,4,1.3862943611198906,1.0397207708399179,-0.3465735902799727,1.3862943611198906,1.0397207708399179,-0.3465735902799727,137.25,237.25,100.0,4,4,1.0,oos_scope_semantic_uncertainty_data_mining,False
0.95,UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,False,manual_only_oos,oos,oos,in_scope,4.0,1.0,0.0,True,oos,User-confirmed secondary protocol Scope resolution: retain OOS.,5,0,0.5004024235381879,,,,,,218.4,,,0,0,,oos_scope_semantic_uncertainty_data_mining,False
0.95,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3,False,manual_only_oos,oos,oos,oos,2.0,3.0,0.0,True,,,5,0,1.3321790402101223,,,,,,389.4,,,0,0,,oos_scope_semantic_uncertainty_data_mining,False
