reason_dimension,reason_value,context_count,task_count,worker_count,condition_counts_json,primary_class_distribution_json,analysis_role
active_time,not_evaluable,79,55,6,"{""manual"": 67, ""semi"": 12}","{""administratively_excluded_worker"": 9, ""formal_primary_geometry"": 14, ""manual_only_no_semi_candidate"": 48, ""oos_scope_task"": 2, ""outside_assignment"": 6}",orthogonal_exclusion_reason_audit_no_row_deletion
geometry,normalization_invalid,7,5,6,"{""manual"": 5, ""semi"": 2}","{""administratively_excluded_worker"": 1, ""geometry_not_computable"": 1, ""manual_only_no_semi_candidate"": 3, ""oos_scope_task"": 1, ""outside_assignment"": 1}",orthogonal_exclusion_reason_audit_no_row_deletion
geometry,structurally_not_computable,6,4,5,"{""manual"": 4, ""semi"": 2}","{""administratively_excluded_worker"": 1, ""geometry_not_computable"": 1, ""manual_only_no_semi_candidate"": 2, ""oos_scope_task"": 1, ""outside_assignment"": 1}",orthogonal_exclusion_reason_audit_no_row_deletion
independence,independence_not_evaluable,41,38,4,"{""manual"": 35, ""semi"": 6}","{""administratively_excluded_worker"": 9, ""manual_only_no_semi_candidate"": 25, ""oos_scope_task"": 1, ""outside_assignment"": 6}",orthogonal_exclusion_reason_audit_no_row_deletion
process,administrative_exclusion,32,32,1,"{""manual"": 28, ""semi"": 4}","{""administratively_excluded_worker"": 9, ""manual_only_no_semi_candidate"": 22, ""oos_scope_task"": 1}",orthogonal_exclusion_reason_audit_no_row_deletion
process,outside_assignment,9,8,3,"{""manual"": 7, ""semi"": 2}","{""manual_only_no_semi_candidate"": 3, ""outside_assignment"": 6}",orthogonal_exclusion_reason_audit_no_row_deletion
quality,gt_score_not_computable,63,15,23,"{""manual"": 47, ""semi"": 16}","{""administratively_excluded_worker"": 1, ""formal_primary_geometry"": 3, ""geometry_not_computable"": 1, ""manual_only_no_semi_candidate"": 4, ""oos_scope_task"": 53, ""outside_assignment"": 1}",orthogonal_exclusion_reason_audit_no_row_deletion
scope,scope_not_resolved_in_scope,53,8,23,"{""manual"": 41, ""semi"": 12}","{""oos_scope_task"": 53}",orthogonal_exclusion_reason_audit_no_row_deletion
worker_process,administratively_excluded_worker,32,32,1,"{""manual"": 28, ""semi"": 4}","{""administratively_excluded_worker"": 9, ""manual_only_no_semi_candidate"": 22, ""oos_scope_task"": 1}",orthogonal_exclusion_reason_audit_no_row_deletion
worker_process,outside_assignment,9,8,3,"{""manual"": 7, ""semi"": 2}","{""manual_only_no_semi_candidate"": 3, ""outside_assignment"": 6}",orthogonal_exclusion_reason_audit_no_row_deletion
