base_task_id,eligible_rows,U_initial_mean,U_final_mean,delta_U_mean,edited_rate,improved_rate,harmed_rate,geometry_edit_rmse_mean,status
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,auxiliary_descriptive_only
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,4,1.0,0.974386081013858,-0.025613918986141876,1.0,0.0,1.0,0.0020816655653924,auxiliary_descriptive_only
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,4,1.0,0.9368107676254905,-0.06318923237450948,0.5,0.0,0.5,0.002836272366236725,auxiliary_descriptive_only
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,4,1.0,0.9557226750978023,-0.04427732490219767,0.75,0.0,0.75,0.0073127043163053,auxiliary_descriptive_only
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,4,1.0,0.9158721718335806,-0.08412782816641932,0.75,0.0,0.75,0.0,auxiliary_descriptive_only
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,4,1.0,0.8874515318568122,-0.11254846814318767,1.0,0.0,1.0,0.0045404019761512,auxiliary_descriptive_only
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,4,1.0,0.9529450007087754,-0.0470549992912244,1.0,0.0,1.0,0.0012335121637238,auxiliary_descriptive_only
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,4,1.0,0.9995785662963577,-0.000421433703642275,0.25,0.0,0.25,0.0002951508767909,auxiliary_descriptive_only
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,4,1.0,0.9808987998506122,-0.0191012001493878,0.25,0.0,0.25,0.001837188658667775,auxiliary_descriptive_only
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,4,0.965819257586173,0.876837367664871,-0.08898188992130197,1.0,0.0,1.0,,auxiliary_descriptive_only
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,4,1.0,0.9115441992943697,-0.08845580070563028,1.0,0.0,1.0,,auxiliary_descriptive_only
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,4,,0.9455207880558785,,1.0,,,0.0254350237367476,auxiliary_descriptive_only
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,4,1.0,0.9882091959379906,-0.0117908040620094,0.25,0.0,0.25,0.0,auxiliary_descriptive_only
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,4,1.0,0.9679696599064371,-0.03203034009356275,1.0,0.0,1.0,0.0047153787524683,auxiliary_descriptive_only
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,4,1.0,0.9096836234458021,-0.09031637655419791,1.0,0.0,1.0,0.020296650204965426,auxiliary_descriptive_only
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,4,1.0,0.947767595247964,-0.052232404752036,0.5,0.0,0.5,0.0056005772663830005,auxiliary_descriptive_only
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,4,1.0,0.9740802683711992,-0.025919731628800777,0.5,0.0,0.5,0.00233168229737585,auxiliary_descriptive_only
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,4,1.0,0.9910339026118632,-0.008966097388136833,0.5,0.0,0.3333333333333333,0.0034701638445292665,auxiliary_descriptive_only
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,4,1.0,0.9456391759840898,-0.05436082401591018,0.75,0.0,0.75,0.0,auxiliary_descriptive_only
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,4,1.0,0.9813985748858173,-0.01860142511418275,0.25,0.0,0.25,0.004176907818294425,auxiliary_descriptive_only
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,4,1.0,0.9555541676878748,-0.04444583231212507,0.75,0.0,0.75,0.0016416032050511665,auxiliary_descriptive_only
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,4,1.0,0.9823119533527697,-0.0176880466472303,0.25,0.0,0.25,0.002429021851016425,auxiliary_descriptive_only
