base_task_id,initial_researcher_scope,initial_reviewed_by,initial_reviewed_at,initial_protocol_version,initial_review_source_sha256,initial_notes,n_worker_in_scope,n_worker_oos,n_worker_missing,n_worker_scope_eligible,worker_scope_direction,worker_scope_margin,mixed_scope_response,review_trigger,secondary_review_required,secondary_scope,task_final_scope,scope_resolution_status,final_scope_source,reviewed_by,reviewed_at,secondary_notes,source_initial_review_sha256,source_scope_consensus_sha256
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 22: B-028.,3,2,0,5,in_scope,0.2,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,oos,researcher,2026-08-01T07:17:27.8692288Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Supplemental researcher initial protocol review: B-008.,2,3,0,5,oos,0.2,True,,false,,oos,resolved,worker_researcher_concordant,researcher,2026-08-01T07:17:27.8692288Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 11: B-015.,3,2,1,5,in_scope,0.2,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 26: B-033|C-009.,5,0,1,5,in_scope,1.0,False,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 12: B-016|C-011.,3,2,0,5,in_scope,0.2,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,oos,researcher,2026-08-01T07:17:27.8692288Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Supplemental researcher initial protocol review: B-030.,3,2,0,5,in_scope,0.2,True,researcher_worker_direction_disagreement,true,oos,oos,resolved,secondary_protocol_review,researcher,2026-08-01T20:02:23.3630482+08:00,User-confirmed secondary protocol Scope resolution: retain OOS.,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,in_scope,researcher,2026-08-01T00:00:00+08:00,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,"Researcher initial protocol review row 61: B-070. Corrected 2026-08-01: researcher reconfirmed C1 core initial OOS roster (B-008, B-019, B-029, B-030, B-037, B-049, B-061, B-063).",5,0,0,5,in_scope,1.0,False,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T00:00:00+08:00,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 24: B-031.,4,1,0,5,in_scope,0.6,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,in_scope,researcher,2026-08-01T07:11:41.5708218Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Researcher initial protocol review row 57: B-066|C-024.,4,1,0,5,in_scope,0.6,True,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:11:41.5708218Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,in_scope,researcher,2026-08-01T07:17:27.8692288Z,paper_a_method_20260801_v10,3eb0704dc86329cb3d08cef76c6d4b552ce5f5deefa55e5455c486418747c1f8,Supplemental researcher initial protocol review: B-026.,5,0,0,5,in_scope,1.0,False,,false,,in_scope,resolved,worker_researcher_concordant,researcher,2026-08-01T07:17:27.8692288Z,,d30e119d5ef715f776ba696ba8883233a1b3ba0c25edc66cc70d62cc755dc14d,5c4298527209e272433fb7845c7755f0f49c1cb40a2ca500d5b2a5b63c5809fa
