schema_version,rule_version,source_artifact,source_sha256,dependency_bundle_id,dependency_bundle_json,stage,pool,condition,validity_status,interpretation_allowed,base_task_id,building_id,valid_k,partition_status,cluster_membership_json,ambiguity_candidates_json,cluster_count,largest_cluster_support,second_cluster_support,largest_cluster_share,second_cluster_share,cluster_margin_all,cluster_margin_top2,largest_cluster_worker_ids,second_cluster_worker_ids,largest_cluster_medoid_annotation_id,largest_cluster_medoid_worker_id,largest_cluster_medoid_geometry_sha256,task_crowd_structure_status,structure_reason
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,manual,valid,true,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,5,unique,"[[""a3e7b70ed81a76c41c0f"", ""98fc2a900301cecb1f95"", ""bd14297e6f34d6705898"", ""9ba553c8c79977374da6""], [""d5c88ef7632f0c3ce88f""]]",[],2,4,1,0.8,0.2,0.6,0.6,27;28;10;6,30,9ba553c8c79977374da6,6,0d608476bd0fd144a97e6216bcfc5cea2838d46354afabb88a5400277a71e767,dominant_with_dissent,unique_complete_link_partition
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,manual,valid,true,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,5,unique,"[[""4d53581ef39bae3bf5d1"", ""c89be364009b1fc0544e"", ""e7909355f0df5dd9276a""], [""b02aea4f86afbc5430f7"", ""ec6c38a862059f07bf7f""]]",[],2,3,2,0.6,0.4,0.2,0.2,27;30;12,35;13,c89be364009b1fc0544e,30,a19921411a9087676166a98f39a6f8f0cabd74e1565af0e296081b6d3b024edc,supported_multimodal,unique_complete_link_partition
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,manual,valid,true,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,5,unique,"[[""6051dfca1aade85a07a8"", ""dec8403a4ddac6db3115"", ""74c45cde6e9ca313500c""], [""e6f01175aabbf9fcafe7""], [""c63d05f140fcc66be4df""]]",[],3,3,1,0.6,0.2,0.4,0.5,31;34;8,32,6051dfca1aade85a07a8,31,98198db9182417588f46a686f8c1747d1789f7ba4918f3cc516195bd30e3db88,dominant_with_dissent,unique_complete_link_partition
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,semi,valid,true,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,4,unique,"[[""678fd1b3368b3c6302ad"", ""53cffa383a4d19c3e30e"", ""a63b28ab3b493bd3ee11"", ""4486738211819be8d3d4""]]",[],1,4,0,1.0,0.0,1.0,1.0,33;36;11;6,,4486738211819be8d3d4,6,62ee6455e71112908e3d880721c6d481f9fa88000124de0519511341328ef821,unimodal,unique_complete_link_partition
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,manual,valid,true,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,5,unique,"[[""517087c6def062efa361"", ""d22e8df3dcff4100efb5"", ""a25753564e8d0fb8f8d6""], [""8125fd4575ecfc155a63""], [""84ac11f23b306b7457b4""]]",[],3,3,1,0.6,0.2,0.4,0.5,33;1;2,37,a25753564e8d0fb8f8d6,2,533369d10ad70c9048ac58f755ba2e0b2627bc3269a7849f608a2fe4327e5689,dominant_with_dissent,unique_complete_link_partition
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,semi,valid,true,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,4,unique,"[[""2aea8c4c7647e5dcbf4f"", ""aa3b4f3365dda18b56bc""], [""8f8a8cc073aa91a7c1c7""], [""e8a846d937e3ed039131""]]",[],3,2,1,0.5,0.25,0.25,0.3333333333333333,10;8,35,2aea8c4c7647e5dcbf4f,10,9d9c3b0a9405e1649069b567bc78d6bd3a3766d33e77e0dc1d2c2164ce5d1e9a,dominant_with_dissent,unique_complete_link_partition
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,manual,valid,true,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,5,unique,"[[""b81af97c20cfc379eb17"", ""24cb9518cba9fc374e36"", ""c9e40b1fe2b3537ffc79"", ""8cd8fc36522e0668f25d"", ""ca89b9306226c9c332c3""]]",[],1,5,0,1.0,0.0,1.0,1.0,29;36;1;12;2,,ca89b9306226c9c332c3,2,d4051caaf0d6f56fcb95282cdc04fa0990320c82e2a9be4c8b2b9e3a7f0df22b,unimodal,unique_complete_link_partition
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,manual,valid,true,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,5,unique,"[[""046e2c37842123ec2f46"", ""27b18dbca838c732fe36"", ""9f3ef0966bba166ccf67"", ""60f051ba3d820f7cf2c1""], [""e989d5cbe8078c1ac797""]]",[],2,4,1,0.8,0.2,0.6,0.6,31;32;37;15,34,60f051ba3d820f7cf2c1,15,64b74d3e3bf32bba756b270e1452683aea4fe1c0618652257855a5407fe36985,dominant_with_dissent,unique_complete_link_partition
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,manual,valid,true,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,5,unique,"[[""9378da78037a5091f22e"", ""260cf962d9bea8512f9e"", ""8a2600447847d5ab7f5f"", ""ad005008336266edcd64""], [""ecd4e736ab99493cf8bd""]]",[],2,4,1,0.8,0.2,0.6,0.6,33;34;11;15,37,260cf962d9bea8512f9e,34,99ea21e65745b9c4ec95cb465bf0b4a5784fa708597f0c9d8fdb6b330f01d1e2,dominant_with_dissent,unique_complete_link_partition
geometry_cluster_v2,geometry_loo_heldout_consensus_v3,analysis_results\c1_formal_audit_20260802_v16_final\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\c1_canonical_geometry.jsonl,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,085f05b0b28a315dab38fd982f75c843af85f62857b3088d1daaf21c237cf980,"[{""path"":""D:\\Work\\HOHONET\\analysis_results\\c1_formal_audit_20260802_v16_final\\c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03\\c1_canonical_geometry.jsonl"",""sha256"":""d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799""}]",C1,,semi,valid,true,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,4,unique,"[[""198b56fd7f0946ac5b09"", ""b47f07e34df3a99ff20d"", ""72dc231b20fe4c8a589d"", ""1a60a6ad7849198e802c""]]",[],1,4,0,1.0,0.0,1.0,1.0,29;35;13;2,,1a60a6ad7849198e802c,2,7d404b8e6f9da4dd596c2bf557eb07625112fc05161ab3470d3e31e2d4b7ad91,unimodal,unique_complete_link_partition
