round_id,planned_project_name,project_id,ls_runtime_task_id,planned_inner_id,task_code,task_id,base_task_id,dataset_group,worker_id,annotation_id,canonical_annotation_id,assigned_expected,appears_in_internal_distribution,outside_assignment_submission,missing_submission,duplicate_worker_task_submission,reserve_realized_submission
C1,C1_anchor_all,66,3182,1,A-001,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,Calibration_anchor,27,5817,0f006ad814591f20f1d7,true,true,false,false,false,false
C1,C1_anchor_all,66,3182,1,A-001,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,Calibration_anchor,28,5763,a5582527e1e55759fca4,true,true,false,false,false,false
C1,C1_anchor_all,66,3182,1,A-001,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,Calibration_anchor,29,6359,ddc38d03eaf0ed686dbe,true,true,false,false,false,false
C1,C1_anchor_all,66,3182,1,A-001,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,Calibration_anchor,30,5998,762aad63d41c0473582f,true,true,false,false,false,false
C1,C1_anchor_all,66,3182,1,A-001,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,Calibration_anchor,31,5934,944fc693a5243b08b5ee,true,true,false,false,false,false
C1,C1_anchor_all,66,3182,1,A-001,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,Calibration_anchor,32,6347,d37f314fba3b67c55956,true,true,false,false,false,false
C1,C1_anchor_all,66,3182,1,A-001,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,Calibration_anchor,33,5762,9e082eaf47377454a352,true,true,false,false,false,false
C1,C1_anchor_all,66,3182,1,A-001,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,Calibration_anchor,34,5875,779f777343654b55ad95,true,true,false,false,false,false
C1,C1_anchor_all,66,3182,1,A-001,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,Calibration_anchor,35,5921,3e053dc275632e30f220,true,true,false,false,false,false
C1,C1_anchor_all,66,3182,1,A-001,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,Calibration_anchor,36,5861,beebb1979f052693f701,true,true,false,false,false,false
C1,C1_anchor_all,66,3182,1,A-001,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,Calibration_anchor,37,5862,1623fbedf957f0be9421,true,true,false,false,false,false
C1,C1_anchor_all,66,3183,2,A-002,621,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,Calibration_anchor,27,5842,3c91745dff848ace0009,true,true,false,false,false,false
C1,C1_anchor_all,66,3183,2,A-002,621,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,Calibration_anchor,28,5764,0f5e3fb0af36b839fed2,true,true,false,false,false,false
C1,C1_anchor_all,66,3183,2,A-002,621,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,Calibration_anchor,29,6419,9fe10525cafa9b114fa8,true,true,false,false,false,false
C1,C1_anchor_all,66,3183,2,A-002,621,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,Calibration_anchor,31,5937,169fc30c432425281989,true,true,false,false,false,false
C1,C1_anchor_all,66,3183,2,A-002,621,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,Calibration_anchor,32,6348,e4c35e7a0869954598a0,true,true,false,false,false,false
C1,C1_anchor_all,66,3183,2,A-002,621,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,Calibration_anchor,33,5803,f4fb215d725bea31d572,true,true,false,false,false,false
