annotator_id,language,completion_status,n_correct_in_scope,n_correct_oos,n_scope_false_positive,n_scope_false_negative,n_unknown_or_missing,n_not_applicable_unresolved,scope_accuracy_on_adjudicated_tasks
1,zh,complete,46,8,1,2,0,0,0.947368
2,zh,complete,47,10,0,0,0,0,1.0
6,zh,complete,43,4,4,6,0,0,0.824561
8,zh,complete,47,3,0,7,0,0,0.877193
10,zh,complete,45,5,2,5,0,0,0.877193
11,zh,complete,40,8,7,2,0,0,0.842105
12,zh,complete,44,4,3,6,0,0,0.842105
13,zh,complete,42,4,5,6,0,0,0.807018
14,zh,complete,42,7,5,3,0,0,0.859649
15,zh,complete,44,6,3,4,0,0,0.877193
17,zh,complete,44,4,3,6,0,0,0.842105
18,zh,complete,47,5,0,5,0,0,0.912281
19,zh,known_bad_complete,44,8,3,2,0,0,0.912281
21,zh,known_bad_complete,42,6,5,4,0,0,0.842105
26,en,incomplete_excluded,24,3,22,7,0,0,0.482143
27,en,complete,47,9,0,1,0,0,0.982456
28,en,complete,34,5,13,5,0,0,0.684211
29,en,complete,27,4,20,6,0,0,0.54386
30,en,complete,16,7,31,3,0,0,0.403509
31,en,complete,47,1,0,9,0,0,0.842105
32,en,complete,37,7,10,3,0,0,0.77193
33,en,complete,35,9,12,1,0,0,0.77193
34,en,complete,44,0,3,10,0,0,0.77193
35,en,complete,38,9,9,1,0,0,0.824561
36,en,complete,41,10,6,0,0,0,0.894737
37,en,complete,30,5,17,5,0,0,0.614035
