block_index,worker_id,ordinary_task,stress_task,ordinary_building,stress_building,ordinary_risk,stress_risk,ordinary_quality,stress_quality,pair_eligible,delta_risk_stress_minus_ordinary,delta_quality_stress_minus_ordinary,pair_slope_delta_quality_over_delta_risk
1.0,1,pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,pa4otMbVnkk,pRbA3pwrgk9,4.222100206664882,6.831342493839091,0.617595931576514,0.7454056836489802,True,2.609242287174209,0.12780975207246614,0.048983474129910415
1.0,10,S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,S9hNv5qa7GM,4.139632060675147,14.109703699097196,0.8762633100369571,0.6916709403870185,True,9.970071638422048,-0.18459236964993864,-0.018514648273796543
1.0,11,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,2t7WUuJeko7,VFuaQ6m2Qom,3.928480185152084,7.183628916179173,0.9558731244130336,0.9025453726348308,True,3.2551487310270892,-0.053327751778202814,-0.016382585308590936
1.0,12,pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,pa4otMbVnkk,jh4fc5c5qoQ,4.254049428543212,7.556923540097862,0.795454052999935,0.9004696271771988,True,3.30287411155465,0.10501557417726382,0.031795209454057394
1.0,13,jtcxE69GiFV_3fb4bb890d7f4964b496a46db647e72a,,jtcxE69GiFV,,3.874768143483207,,0.9020208456601884,,False,,,
1.0,15,,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,,jtcxE69GiFV,,9.481862942795813,,0.8606614715223079,False,,,
1.0,17,jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,jtcxE69GiFV,VFuaQ6m2Qom,5.680586988921447,6.238125014667176,0.9435707678075856,0.9297318007662836,True,0.5575380257457292,-0.013838967041302053,-0.024821566247058908
1.0,2,jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,,jtcxE69GiFV,,4.924529891734887,,0.8678467657180539,,False,,,
1.0,28,,S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,,S9hNv5qa7GM,,14.109703699097196,,0.6922697571199605,False,,,
1.0,29,pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,,pRbA3pwrgk9,,3.511845508517192,,0.978423309899633,,False,,,
