omitted_field,omitted_value,remaining_rows,risk_slope,risk_slope_se_classical,status,role
base_task_id,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,222,-0.027576022700150138,0.0046076536424864084,estimated,diagnostic_only_not_formal_model
base_task_id,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,222,-0.027573577882389344,0.0046181269354689854,estimated,diagnostic_only_not_formal_model
base_task_id,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,224,-0.028081818855846485,0.0045893726303402466,estimated,diagnostic_only_not_formal_model
base_task_id,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,206,-0.02893009023813209,0.004833771576091086,estimated,diagnostic_only_not_formal_model
base_task_id,S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,224,-0.028347886954164903,0.004576150405264819,estimated,diagnostic_only_not_formal_model
base_task_id,S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,223,-0.02836598006216806,0.004542681732234296,estimated,diagnostic_only_not_formal_model
base_task_id,S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,222,-0.033205354627397154,0.005589150390091179,estimated,diagnostic_only_not_formal_model
base_task_id,S9hNv5qa7GM_625eb179629b45f280c01d3f6ec74b4f,224,-0.02808096935906823,0.004582068161632386,estimated,diagnostic_only_not_formal_model
base_task_id,S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,223,-0.028069348892873047,0.00461629268802202,estimated,diagnostic_only_not_formal_model
base_task_id,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,205,-0.02537966617936005,0.004779645735301066,estimated,diagnostic_only_not_formal_model
base_task_id,S9hNv5qa7GM_dcced7b92f444b9a83bd7d54413fa486,223,-0.027844917035512062,0.0045978073974518915,estimated,diagnostic_only_not_formal_model
base_task_id,S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,224,-0.028155497930218765,0.004587067055140226,estimated,diagnostic_only_not_formal_model
base_task_id,S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,222,-0.028006256313999223,0.004631840805094468,estimated,diagnostic_only_not_formal_model
base_task_id,VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,223,-0.028090400370519353,0.004589924913179061,estimated,diagnostic_only_not_formal_model
base_task_id,VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,223,-0.02772799689883043,0.004591552571581644,estimated,diagnostic_only_not_formal_model
base_task_id,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,219,-0.02906211975347983,0.0046098888034579585,estimated,diagnostic_only_not_formal_model
base_task_id,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,206,-0.029579937637429166,0.004701626898657531,estimated,diagnostic_only_not_formal_model
base_task_id,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,220,-0.027896065385774937,0.004655986265020684,estimated,diagnostic_only_not_formal_model
base_task_id,VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,223,-0.028009047976658485,0.004588011858738841,estimated,diagnostic_only_not_formal_model
base_task_id,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,222,-0.028988388559264,0.004612577353835603,estimated,diagnostic_only_not_formal_model
