evidence_stage,task_stratum,rows_total,rows_eligible,rows_not_evaluable,workers,tasks_total,tasks_eligible,buildings_total,buildings_eligible,risk_n,risk_mean,risk_median,risk_sd,risk_min,risk_q25,risk_q75,risk_max,quality_n,quality_mean,quality_median,quality_sd,quality_min,quality_q25,quality_q75,quality_max
CUMULATIVE,all,240,225,15,20,70,67,9,9,225,5.433101139428581,4.924529891734887,1.7503512297698853,3.406655903885932,4.331965706250457,6.410967554034756,14.109703699097196,225,0.860586650423045,0.9050704339341836,0.1269388135761492,0.413419796892206,0.8248936413842916,0.947093831518768,0.9917317738679594
C2A_RP_BLOCK1,all,40,32,8,20,28,25,8,8,32,6.055195598388721,5.302558440328167,2.7513279801472197,3.511845508517192,3.965539391184948,7.210728283979625,14.109703699097196,32,0.8610527115695442,0.8969024873806783,0.11416272940511325,0.53728589942673,0.7868893264434915,0.9446205295139414,0.9917317738679594
C2A_RP_BLOCK1,ordinary,20,17,3,20,18,16,7,7,17,4.126402465972287,3.9778924598625696,0.5411960973233011,3.511845508517192,3.856735574381165,4.222100206664882,5.680586988921447,17,0.893263721317137,0.936123587647452,0.0951212239251465,0.617595931576514,0.8678467657180539,0.9558731244130336,0.978423309899633
C2A_RP_BLOCK1,stress,20,15,5,20,10,9,7,7,15,8.241161148460678,7.29202638738098,2.6057199845553574,5.939462050146197,6.831342493839091,8.814089318032025,14.109703699097196,15,0.8245469005222723,0.8606614715223079,0.12582010608974742,0.53728589942673,0.746798042519376,0.9015074999060149,0.9917317738679594
C2A_RP_BLOCK2,all,40,38,2,20,27,26,8,8,38,5.711582163618938,5.4041915964931135,2.2201075044488943,3.56801929571565,3.909995622021036,6.831342493839091,14.109703699097196,38,0.8646269568908963,0.9306464399441552,0.1279747497933649,0.5657135465697019,0.758087018521021,0.9608369189748591,0.9902002582405536
C2A_RP_BLOCK2,ordinary,20,19,1,20,18,17,7,7,19,4.04690287039444,3.890175999177667,0.4665293663579279,3.56801929571565,3.727733457399786,4.222263557946121,5.041596258851888,19,0.9247417578514695,0.9464120325075984,0.06376947081433151,0.7209599839459178,0.8985395539624225,0.9659986860656722,0.9797163285429876
C2A_RP_BLOCK2,stress,20,19,1,20,9,9,7,7,19,7.376261456843434,6.831342493839091,2.0158647977606075,5.76678693413434,5.939462050146197,7.851619616683049,14.109703699097196,19,0.8045121559303233,0.7683185805580915,0.14822037704751195,0.5657135465697019,0.7315433632191255,0.9418058655006866,0.9902002582405536
C2B,all,160,155,5,20,46,45,8,8,155,5.236395967777238,4.869512164311926,1.268792604157756,3.406655903885932,4.34198898346523,5.981021984881721,9.481862942795813,155,0.8594999046006817,0.908306770455696,0.12990029659614533,0.413419796892206,0.8311350733479561,0.9441368115758203,0.988293467683148
C2B,ordinary,100,99,1,20,35,35,8,8,99,4.442096035456774,4.34198898346523,0.5550616713367842,3.406655903885932,4.222100206664882,4.71539312866952,5.680586988921447,99,0.9019364968112156,0.9215080271781612,0.07677301292431028,0.5422036620623193,0.8676790900573358,0.9569110599317299,0.9879634609531672
C2B,stress,60,56,4,20,11,10,5,4,56,6.640604776700917,6.457935204966335,0.9029257642926382,5.981021984881721,5.981021984881721,6.457935204966335,9.481862942795813,56,0.7844780719427735,0.8528405591098764,0.16665255385010008,0.413419796892206,0.6626344764887115,0.9225601462736002,0.988293467683148
