method_contract_version,method_contract_sha256,design_manifest_sha256,c2b_summary_sha256,post_c2b_worker_profile_sha256,threshold_manifest_sha256,c2a_precision_plan_sha256,c2a_assignment_manifest_sha256,c2a_block_assignment_sha256,c2a_task_pool_sha256,round_id,block_index,worker_id,deployment_id,language_group,server_instance_id,server_url,project_id,planned_task_id,runtime_task_id,runtime_binding_status,target_component
paper_a_method_20260803_v18,694a3126342d7c8de4a5ed788d7ac50b2fec4f104d0b77ace0e604d078c39a87,50d62be3733861b7086da48dc28a1052b4b650c77dbc41cc99c506fd7eb7b236,5e44a28e5e632a4c3dd7ecd999fdf6443c150e21520e55812431f3a080d4785d,97bba6492b6e09316186f7f339d6a711ed83fa64294aec1e92d1d7964f7122a4,2f85e69d7f96ab63f71373329f2fefc818ddebe9557af726724ea493691d9a0f,3e083866cc230b9ffd03f928910537e345017d090ec8ef1c3f6656614c7641b6,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,ea9395a033830d44b27b37f127e871bcf64037ddebeb2bda5ecedd5ebe75bae4,C2-A-RP,1,37,c2b_zh,Chinese,labelstudio_http_175_178_71_217,http://175.178.71.217:8000,77,pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,,pending_manual_runtime_binding,risk_slope
paper_a_method_20260803_v18,694a3126342d7c8de4a5ed788d7ac50b2fec4f104d0b77ace0e604d078c39a87,50d62be3733861b7086da48dc28a1052b4b650c77dbc41cc99c506fd7eb7b236,5e44a28e5e632a4c3dd7ecd999fdf6443c150e21520e55812431f3a080d4785d,97bba6492b6e09316186f7f339d6a711ed83fa64294aec1e92d1d7964f7122a4,2f85e69d7f96ab63f71373329f2fefc818ddebe9557af726724ea493691d9a0f,3e083866cc230b9ffd03f928910537e345017d090ec8ef1c3f6656614c7641b6,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,ea9395a033830d44b27b37f127e871bcf64037ddebeb2bda5ecedd5ebe75bae4,C2-A-RP,1,37,c2b_zh,Chinese,labelstudio_http_175_178_71_217,http://175.178.71.217:8000,77,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,,pending_manual_runtime_binding,risk_slope
paper_a_method_20260803_v18,694a3126342d7c8de4a5ed788d7ac50b2fec4f104d0b77ace0e604d078c39a87,50d62be3733861b7086da48dc28a1052b4b650c77dbc41cc99c506fd7eb7b236,5e44a28e5e632a4c3dd7ecd999fdf6443c150e21520e55812431f3a080d4785d,97bba6492b6e09316186f7f339d6a711ed83fa64294aec1e92d1d7964f7122a4,2f85e69d7f96ab63f71373329f2fefc818ddebe9557af726724ea493691d9a0f,3e083866cc230b9ffd03f928910537e345017d090ec8ef1c3f6656614c7641b6,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,ea9395a033830d44b27b37f127e871bcf64037ddebeb2bda5ecedd5ebe75bae4,C2-A-RP,1,37,c2b_zh,Chinese,labelstudio_http_175_178_71_217,http://175.178.71.217:8000,77,S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,,pending_manual_runtime_binding,risk_slope
paper_a_method_20260803_v18,694a3126342d7c8de4a5ed788d7ac50b2fec4f104d0b77ace0e604d078c39a87,50d62be3733861b7086da48dc28a1052b4b650c77dbc41cc99c506fd7eb7b236,5e44a28e5e632a4c3dd7ecd999fdf6443c150e21520e55812431f3a080d4785d,97bba6492b6e09316186f7f339d6a711ed83fa64294aec1e92d1d7964f7122a4,2f85e69d7f96ab63f71373329f2fefc818ddebe9557af726724ea493691d9a0f,3e083866cc230b9ffd03f928910537e345017d090ec8ef1c3f6656614c7641b6,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,ea9395a033830d44b27b37f127e871bcf64037ddebeb2bda5ecedd5ebe75bae4,C2-A-RP,1,37,c2b_zh,Chinese,labelstudio_http_175_178_71_217,http://175.178.71.217:8000,77,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,,pending_manual_runtime_binding,risk_slope
paper_a_method_20260803_v18,694a3126342d7c8de4a5ed788d7ac50b2fec4f104d0b77ace0e604d078c39a87,50d62be3733861b7086da48dc28a1052b4b650c77dbc41cc99c506fd7eb7b236,5e44a28e5e632a4c3dd7ecd999fdf6443c150e21520e55812431f3a080d4785d,97bba6492b6e09316186f7f339d6a711ed83fa64294aec1e92d1d7964f7122a4,2f85e69d7f96ab63f71373329f2fefc818ddebe9557af726724ea493691d9a0f,3e083866cc230b9ffd03f928910537e345017d090ec8ef1c3f6656614c7641b6,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,ea9395a033830d44b27b37f127e871bcf64037ddebeb2bda5ecedd5ebe75bae4,C2-A-RP,1,37,c2b_zh,Chinese,labelstudio_http_175_178_71_217,http://175.178.71.217:8000,77,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,,pending_manual_runtime_binding,risk_slope
paper_a_method_20260803_v18,694a3126342d7c8de4a5ed788d7ac50b2fec4f104d0b77ace0e604d078c39a87,50d62be3733861b7086da48dc28a1052b4b650c77dbc41cc99c506fd7eb7b236,5e44a28e5e632a4c3dd7ecd999fdf6443c150e21520e55812431f3a080d4785d,97bba6492b6e09316186f7f339d6a711ed83fa64294aec1e92d1d7964f7122a4,2f85e69d7f96ab63f71373329f2fefc818ddebe9557af726724ea493691d9a0f,3e083866cc230b9ffd03f928910537e345017d090ec8ef1c3f6656614c7641b6,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,ea9395a033830d44b27b37f127e871bcf64037ddebeb2bda5ecedd5ebe75bae4,C2-A-RP,1,37,c2b_zh,Chinese,labelstudio_http_175_178_71_217,http://175.178.71.217:8000,77,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,,pending_manual_runtime_binding,risk_slope
paper_a_method_20260803_v18,694a3126342d7c8de4a5ed788d7ac50b2fec4f104d0b77ace0e604d078c39a87,50d62be3733861b7086da48dc28a1052b4b650c77dbc41cc99c506fd7eb7b236,5e44a28e5e632a4c3dd7ecd999fdf6443c150e21520e55812431f3a080d4785d,97bba6492b6e09316186f7f339d6a711ed83fa64294aec1e92d1d7964f7122a4,2f85e69d7f96ab63f71373329f2fefc818ddebe9557af726724ea493691d9a0f,3e083866cc230b9ffd03f928910537e345017d090ec8ef1c3f6656614c7641b6,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,ea9395a033830d44b27b37f127e871bcf64037ddebeb2bda5ecedd5ebe75bae4,C2-A-RP,1,37,c2b_zh,Chinese,labelstudio_http_175_178_71_217,http://175.178.71.217:8000,77,pa4otMbVnkk_48321c1bb20244f1b43b2c41b4dc9657,,pending_manual_runtime_binding,risk_slope
paper_a_method_20260803_v18,694a3126342d7c8de4a5ed788d7ac50b2fec4f104d0b77ace0e604d078c39a87,50d62be3733861b7086da48dc28a1052b4b650c77dbc41cc99c506fd7eb7b236,5e44a28e5e632a4c3dd7ecd999fdf6443c150e21520e55812431f3a080d4785d,97bba6492b6e09316186f7f339d6a711ed83fa64294aec1e92d1d7964f7122a4,2f85e69d7f96ab63f71373329f2fefc818ddebe9557af726724ea493691d9a0f,3e083866cc230b9ffd03f928910537e345017d090ec8ef1c3f6656614c7641b6,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,ea9395a033830d44b27b37f127e871bcf64037ddebeb2bda5ecedd5ebe75bae4,C2-A-RP,1,37,c2b_zh,Chinese,labelstudio_http_175_178_71_217,http://175.178.71.217:8000,77,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,,pending_manual_runtime_binding,risk_slope
paper_a_method_20260803_v18,694a3126342d7c8de4a5ed788d7ac50b2fec4f104d0b77ace0e604d078c39a87,50d62be3733861b7086da48dc28a1052b4b650c77dbc41cc99c506fd7eb7b236,5e44a28e5e632a4c3dd7ecd999fdf6443c150e21520e55812431f3a080d4785d,97bba6492b6e09316186f7f339d6a711ed83fa64294aec1e92d1d7964f7122a4,2f85e69d7f96ab63f71373329f2fefc818ddebe9557af726724ea493691d9a0f,3e083866cc230b9ffd03f928910537e345017d090ec8ef1c3f6656614c7641b6,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,ea9395a033830d44b27b37f127e871bcf64037ddebeb2bda5ecedd5ebe75bae4,C2-A-RP,1,37,c2b_zh,Chinese,labelstudio_http_175_178_71_217,http://175.178.71.217:8000,77,jtcxE69GiFV_3fb4bb890d7f4964b496a46db647e72a,,pending_manual_runtime_binding,risk_slope
paper_a_method_20260803_v18,694a3126342d7c8de4a5ed788d7ac50b2fec4f104d0b77ace0e604d078c39a87,50d62be3733861b7086da48dc28a1052b4b650c77dbc41cc99c506fd7eb7b236,5e44a28e5e632a4c3dd7ecd999fdf6443c150e21520e55812431f3a080d4785d,97bba6492b6e09316186f7f339d6a711ed83fa64294aec1e92d1d7964f7122a4,2f85e69d7f96ab63f71373329f2fefc818ddebe9557af726724ea493691d9a0f,3e083866cc230b9ffd03f928910537e345017d090ec8ef1c3f6656614c7641b6,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,4a500a2c7eddae14e08ca6013c9e1f1d0b04e86fc638829a4150c2d58c468725,ea9395a033830d44b27b37f127e871bcf64037ddebeb2bda5ecedd5ebe75bae4,C2-A-RP,1,37,c2b_zh,Chinese,labelstudio_http_175_178_71_217,http://175.178.71.217:8000,77,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,,pending_manual_runtime_binding,risk_slope
