analysis_role,block3_generated,formal_policy_frozen,formal_profile_frozen,rank_q025,rank_q975,replicates,scientific_conclusion_prohibited,snapshot_worker_coverage,top10_probability,top3_probability,top5_probability,worker_id
diagnostic_pre_stage3,False,False,False,1.0,5.0,1000,True,22,0.998,0.919,0.977,2
diagnostic_pre_stage3,False,False,False,1.0,18.0,1000,True,22,0.853,0.309,0.61,8
diagnostic_pre_stage3,False,False,False,2.0,22.0,1000,True,22,0.495,0.093,0.224,1
diagnostic_pre_stage3,False,False,False,3.0,21.0,1000,True,22,0.531,0.052,0.198,12
diagnostic_pre_stage3,False,False,False,1.0,7.0,1000,True,22,0.998,0.823,0.953,18
diagnostic_pre_stage3,False,False,False,1.0,10.0,1000,True,22,0.986,0.572,0.83,17
diagnostic_pre_stage3,False,False,False,2.0,21.0,1000,True,22,0.473,0.072,0.2,27
diagnostic_pre_stage3,False,False,False,3.0,21.0,1000,True,22,0.454,0.035,0.156,30
diagnostic_pre_stage3,False,False,False,3.0,19.0,1000,True,22,0.66,0.065,0.281,15
diagnostic_pre_stage3,False,False,False,6.0,22.0,1000,True,22,0.168,0.0,0.014,11
diagnostic_pre_stage3,False,False,False,6.0,22.0,1000,True,22,0.226,0.004,0.022,35
diagnostic_pre_stage3,False,False,False,3.9750000000000014,19.0,1000,True,22,0.639,0.025,0.173,10
diagnostic_pre_stage3,False,False,False,6.0,21.0,1000,True,22,0.215,0.001,0.017,36
diagnostic_pre_stage3,False,False,False,4.0,20.0,1000,True,22,0.553,0.013,0.126,6
diagnostic_pre_stage3,False,False,False,4.0,17.024999999999977,1000,True,22,0.662,0.005,0.109,31
diagnostic_pre_stage3,False,False,False,5.0,21.0,1000,True,22,0.235,0.005,0.037,33
diagnostic_pre_stage3,False,False,False,6.0,22.0,1000,True,22,0.225,0.001,0.022,28
diagnostic_pre_stage3,False,False,False,6.0,22.0,1000,True,22,0.144,0.001,0.017,32
diagnostic_pre_stage3,False,False,False,6.0,22.0,1000,True,22,0.131,0.003,0.018,29
diagnostic_pre_stage3,False,False,False,6.0,21.0,1000,True,22,0.286,0.002,0.015,13
diagnostic_pre_stage3,False,False,False,9.0,22.0,1000,True,22,0.048,0.0,0.001,34
diagnostic_pre_stage3,False,False,False,11.0,22.0,1000,True,22,0.02,0.0,0.0,37
