analysis_role,analysis_subrole,base_task_id,block3_generated,building_id,canonical_submission_id,condition,feature_timing,formal_first_route_eligible,formal_policy_frozen,formal_profile_frozen,risk,routing_role,scientific_conclusion_prohibited,selected,stage,substage_block,tag_family,tag_value,task_stratum,worker_id
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,738a28459a248984,manual,post_task,False,False,False,,not_eligible_for_first_route,True,False,P1,PreScreen,difficulty,trivial,,1
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,738a28459a248984,manual,post_task,False,False,False,,not_eligible_for_first_route,True,True,P1,PreScreen,difficulty,occlusion,,1
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,738a28459a248984,manual,post_task,False,False,False,,not_eligible_for_first_route,True,False,P1,PreScreen,difficulty,low_texture,,1
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,738a28459a248984,manual,post_task,False,False,False,,not_eligible_for_first_route,True,False,P1,PreScreen,difficulty,seam,,1
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,738a28459a248984,manual,post_task,False,False,False,,not_eligible_for_first_route,True,False,P1,PreScreen,difficulty,reflection,,1
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,738a28459a248984,manual,post_task,False,False,False,,not_eligible_for_first_route,True,False,P1,PreScreen,difficulty,low_quality,,1
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,738a28459a248984,manual,post_task,False,False,False,,not_eligible_for_first_route,True,True,P1,PreScreen,scope,normal,,1
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,8857a2ec2d3444ba,manual,post_task,False,False,False,,not_eligible_for_first_route,True,False,P1,PreScreen,difficulty,trivial,,10
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,8857a2ec2d3444ba,manual,post_task,False,False,False,,not_eligible_for_first_route,True,True,P1,PreScreen,difficulty,occlusion,,10
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,8857a2ec2d3444ba,manual,post_task,False,False,False,,not_eligible_for_first_route,True,False,P1,PreScreen,difficulty,low_texture,,10
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,8857a2ec2d3444ba,manual,post_task,False,False,False,,not_eligible_for_first_route,True,False,P1,PreScreen,difficulty,seam,,10
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,8857a2ec2d3444ba,manual,post_task,False,False,False,,not_eligible_for_first_route,True,False,P1,PreScreen,difficulty,reflection,,10
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,8857a2ec2d3444ba,manual,post_task,False,False,False,,not_eligible_for_first_route,True,False,P1,PreScreen,difficulty,low_quality,,10
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,8857a2ec2d3444ba,manual,post_task,False,False,False,,not_eligible_for_first_route,True,True,P1,PreScreen,scope,normal,,10
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,538db2a79188e4ef,manual,post_task,False,False,False,,not_eligible_for_first_route,True,False,P1,PreScreen,difficulty,trivial,,11
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,538db2a79188e4ef,manual,post_task,False,False,False,,not_eligible_for_first_route,True,False,P1,PreScreen,difficulty,occlusion,,11
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,538db2a79188e4ef,manual,post_task,False,False,False,,not_eligible_for_first_route,True,False,P1,PreScreen,difficulty,low_texture,,11
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,538db2a79188e4ef,manual,post_task,False,False,False,,not_eligible_for_first_route,True,True,P1,PreScreen,difficulty,seam,,11
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,538db2a79188e4ef,manual,post_task,False,False,False,,not_eligible_for_first_route,True,False,P1,PreScreen,difficulty,reflection,,11
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,538db2a79188e4ef,manual,post_task,False,False,False,,not_eligible_for_first_route,True,False,P1,PreScreen,difficulty,low_quality,,11
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,538db2a79188e4ef,manual,post_task,False,False,False,,not_eligible_for_first_route,True,True,P1,PreScreen,scope,normal,,11
diagnostic_pre_stage3,descriptive_measurement_audit,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,13f3eff18a52453b,manual,post_task,False,False,False,,not_eligible_for_first_route,True,False,P1,PreScreen,difficulty,trivial,,12
