worker_id,scene_id,core_scene_assignment_count,status
1,7y3sRwLe3Va,2,pass
1,B6ByNegPMKs,1,pass
1,UwV83HsGsw3,1,pass
1,Z6MFQCViBuw,1,pass
1,e9zR4mvMWw7,1,pass
1,q9vSo1VnCiC,3,pass
1,uNb9QFRL6hY,3,pass
1,wc2JMjhGNzB,2,pass
1,x8F5xyUWy9e,1,pass
1,yqstnuAEVhm,1,pass
10,7y3sRwLe3Va,2,pass
10,B6ByNegPMKs,1,pass
10,UwV83HsGsw3,1,pass
10,Z6MFQCViBuw,1,pass
10,b8cTxDM8gDG,1,pass
10,e9zR4mvMWw7,1,pass
10,q9vSo1VnCiC,2,pass
10,rPc6DW4iMge,1,pass
10,uNb9QFRL6hY,3,pass
10,wc2JMjhGNzB,1,pass
10,yqstnuAEVhm,2,pass
11,7y3sRwLe3Va,2,pass
11,B6ByNegPMKs,1,pass
11,UwV83HsGsw3,1,pass
11,X7HyMhZNoso,1,pass
11,Z6MFQCViBuw,1,pass
11,e9zR4mvMWw7,1,pass
11,q9vSo1VnCiC,2,pass
11,uNb9QFRL6hY,3,pass
11,wc2JMjhGNzB,2,pass
11,x8F5xyUWy9e,1,pass
11,yqstnuAEVhm,2,pass
12,7y3sRwLe3Va,2,pass
12,B6ByNegPMKs,1,pass
12,UwV83HsGsw3,1,pass
12,Z6MFQCViBuw,1,pass
12,e9zR4mvMWw7,1,pass
12,q9vSo1VnCiC,2,pass
12,uNb9QFRL6hY,4,pass
12,wc2JMjhGNzB,2,pass
12,x8F5xyUWy9e,1,pass
12,yqstnuAEVhm,1,pass
13,7y3sRwLe3Va,1,pass
13,B6ByNegPMKs,2,pass
13,UwV83HsGsw3,1,pass
13,b8cTxDM8gDG,1,pass
13,e9zR4mvMWw7,1,pass
13,q9vSo1VnCiC,2,pass
13,rPc6DW4iMge,1,pass
13,uNb9QFRL6hY,3,pass
13,wc2JMjhGNzB,1,pass
13,yqstnuAEVhm,3,pass
14,7y3sRwLe3Va,1,pass
14,B6ByNegPMKs,2,pass
14,UwV83HsGsw3,1,pass
14,b8cTxDM8gDG,1,pass
14,e9zR4mvMWw7,1,pass
14,q9vSo1VnCiC,2,pass
14,rPc6DW4iMge,1,pass
14,uNb9QFRL6hY,3,pass
14,wc2JMjhGNzB,1,pass
14,yqstnuAEVhm,3,pass
15,7y3sRwLe3Va,2,pass
15,B6ByNegPMKs,1,pass
15,UwV83HsGsw3,1,pass
15,X7HyMhZNoso,1,pass
15,Z6MFQCViBuw,1,pass
15,q9vSo1VnCiC,2,pass
15,rPc6DW4iMge,1,pass
15,uNb9QFRL6hY,3,pass
15,wc2JMjhGNzB,2,pass
15,x8F5xyUWy9e,1,pass
15,yqstnuAEVhm,2,pass
17,7y3sRwLe3Va,1,pass
17,B6ByNegPMKs,1,pass
17,UwV83HsGsw3,1,pass
17,X7HyMhZNoso,1,pass
17,Z6MFQCViBuw,1,pass
17,q9vSo1VnCiC,2,pass
17,rPc6DW4iMge,1,pass
17,uNb9QFRL6hY,3,pass
17,wc2JMjhGNzB,2,pass
17,x8F5xyUWy9e,1,pass
17,yqstnuAEVhm,2,pass
18,7y3sRwLe3Va,1,pass
18,B6ByNegPMKs,1,pass
18,UwV83HsGsw3,2,pass
18,b8cTxDM8gDG,1,pass
18,e9zR4mvMWw7,1,pass
18,q9vSo1VnCiC,2,pass
18,rPc6DW4iMge,1,pass
18,uNb9QFRL6hY,3,pass
18,wc2JMjhGNzB,1,pass
18,yqstnuAEVhm,3,pass
2,7y3sRwLe3Va,2,pass
2,B6ByNegPMKs,1,pass
2,UwV83HsGsw3,1,pass
2,Z6MFQCViBuw,1,pass
2,q9vSo1VnCiC,3,pass
2,rPc6DW4iMge,2,pass
2,uNb9QFRL6hY,3,pass
2,wc2JMjhGNzB,2,pass
2,yqstnuAEVhm,1,pass
27,7y3sRwLe3Va,2,pass
27,B6ByNegPMKs,2,pass
27,UwV83HsGsw3,1,pass
27,b8cTxDM8gDG,1,pass
27,e9zR4mvMWw7,1,pass
27,q9vSo1VnCiC,2,pass
27,uNb9QFRL6hY,4,pass
27,wc2JMjhGNzB,1,pass
27,x8F5xyUWy9e,1,pass
27,yqstnuAEVhm,1,pass
28,7y3sRwLe3Va,2,pass
28,B6ByNegPMKs,2,pass
28,UwV83HsGsw3,1,pass
28,b8cTxDM8gDG,1,pass
28,e9zR4mvMWw7,1,pass
28,q9vSo1VnCiC,2,pass
28,uNb9QFRL6hY,3,pass
28,wc2JMjhGNzB,1,pass
28,x8F5xyUWy9e,1,pass
28,yqstnuAEVhm,2,pass
29,7y3sRwLe3Va,2,pass
29,B6ByNegPMKs,2,pass
29,UwV83HsGsw3,1,pass
29,b8cTxDM8gDG,1,pass
29,e9zR4mvMWw7,1,pass
29,q9vSo1VnCiC,2,pass
29,uNb9QFRL6hY,3,pass
29,wc2JMjhGNzB,1,pass
29,x8F5xyUWy9e,1,pass
29,yqstnuAEVhm,2,pass
30,7y3sRwLe3Va,2,pass
30,B6ByNegPMKs,1,pass
30,UwV83HsGsw3,2,pass
30,Z6MFQCViBuw,1,pass
30,e9zR4mvMWw7,1,pass
30,q9vSo1VnCiC,2,pass
30,rPc6DW4iMge,1,pass
30,uNb9QFRL6hY,4,pass
30,wc2JMjhGNzB,1,pass
30,yqstnuAEVhm,1,pass
31,7y3sRwLe3Va,2,pass
31,B6ByNegPMKs,1,pass
31,UwV83HsGsw3,1,pass
31,X7HyMhZNoso,1,pass
31,Z6MFQCViBuw,1,pass
31,b8cTxDM8gDG,1,pass
31,q9vSo1VnCiC,2,pass
31,uNb9QFRL6hY,4,pass
31,wc2JMjhGNzB,2,pass
31,x8F5xyUWy9e,1,pass
31,yqstnuAEVhm,1,pass
32,7y3sRwLe3Va,2,pass
32,B6ByNegPMKs,1,pass
32,UwV83HsGsw3,1,pass
32,X7HyMhZNoso,1,pass
32,Z6MFQCViBuw,1,pass
32,q9vSo1VnCiC,2,pass
32,rPc6DW4iMge,1,pass
32,uNb9QFRL6hY,4,pass
32,wc2JMjhGNzB,2,pass
32,x8F5xyUWy9e,1,pass
32,yqstnuAEVhm,1,pass
33,7y3sRwLe3Va,2,pass
33,B6ByNegPMKs,1,pass
33,UwV83HsGsw3,1,pass
33,X7HyMhZNoso,1,pass
33,Z6MFQCViBuw,1,pass
33,e9zR4mvMWw7,1,pass
33,q9vSo1VnCiC,2,pass
33,uNb9QFRL6hY,4,pass
33,wc2JMjhGNzB,2,pass
33,x8F5xyUWy9e,1,pass
33,yqstnuAEVhm,1,pass
34,7y3sRwLe3Va,2,pass
34,B6ByNegPMKs,1,pass
34,UwV83HsGsw3,1,pass
34,X7HyMhZNoso,1,pass
34,Z6MFQCViBuw,1,pass
34,q9vSo1VnCiC,3,pass
34,rPc6DW4iMge,2,pass
34,uNb9QFRL6hY,3,pass
34,wc2JMjhGNzB,2,pass
34,yqstnuAEVhm,1,pass
35,7y3sRwLe3Va,1,pass
35,B6ByNegPMKs,2,pass
35,UwV83HsGsw3,1,pass
35,b8cTxDM8gDG,1,pass
35,e9zR4mvMWw7,1,pass
35,q9vSo1VnCiC,2,pass
35,uNb9QFRL6hY,3,pass
35,wc2JMjhGNzB,1,pass
35,x8F5xyUWy9e,1,pass
35,yqstnuAEVhm,3,pass
36,7y3sRwLe3Va,2,pass
36,B6ByNegPMKs,2,pass
36,UwV83HsGsw3,1,pass
36,b8cTxDM8gDG,1,pass
36,e9zR4mvMWw7,1,pass
36,q9vSo1VnCiC,2,pass
36,uNb9QFRL6hY,3,pass
36,wc2JMjhGNzB,1,pass
36,x8F5xyUWy9e,1,pass
36,yqstnuAEVhm,2,pass
37,7y3sRwLe3Va,2,pass
37,B6ByNegPMKs,1,pass
37,UwV83HsGsw3,1,pass
37,X7HyMhZNoso,1,pass
37,Z6MFQCViBuw,1,pass
37,q9vSo1VnCiC,3,pass
37,rPc6DW4iMge,1,pass
37,uNb9QFRL6hY,3,pass
37,wc2JMjhGNzB,2,pass
37,x8F5xyUWy9e,1,pass
37,yqstnuAEVhm,1,pass
6,7y3sRwLe3Va,2,pass
6,B6ByNegPMKs,1,pass
6,UwV83HsGsw3,1,pass
6,X7HyMhZNoso,1,pass
6,Z6MFQCViBuw,1,pass
6,e9zR4mvMWw7,1,pass
6,q9vSo1VnCiC,2,pass
6,rPc6DW4iMge,1,pass
6,uNb9QFRL6hY,3,pass
6,wc2JMjhGNzB,1,pass
6,yqstnuAEVhm,2,pass
8,7y3sRwLe3Va,1,pass
8,B6ByNegPMKs,1,pass
8,UwV83HsGsw3,1,pass
8,X7HyMhZNoso,1,pass
8,Z6MFQCViBuw,1,pass
8,q9vSo1VnCiC,2,pass
8,rPc6DW4iMge,1,pass
8,uNb9QFRL6hY,3,pass
8,wc2JMjhGNzB,2,pass
8,x8F5xyUWy9e,1,pass
8,yqstnuAEVhm,2,pass
