code,condition,id,worker,signature,changed_under_ROI_pad8,contracted,expanded
B6ByNegPMKs-11,manual,3f1d4cacc3faf7d7,W001,"[""near"", 0]",False,"[""near"", 0]","[""near"", 0]"
B6ByNegPMKs-11,manual,75ca740199bbfca6,W002,"[""near"", 0]",False,"[""near"", 0]","[""near"", 0]"
B6ByNegPMKs-11,manual,e2c06769623e335c,W006,"[""far"", 0]",False,"[""far"", 0]","[""far"", 0]"
B6ByNegPMKs-11,manual,f61cafa7e89ea17e,W008,"[""far"", 0]",False,"[""far"", 0]","[""far"", 0]"
B6ByNegPMKs-11,manual,cd59ff6392d0007b,W010,"[""near"", 0]",False,"[""near"", 0]","[""near"", 0]"
B6ByNegPMKs-11,manual,9664309abeb6b078,W011,"[""near"", 0]",False,"[""near"", 0]","[""near"", 0]"
B6ByNegPMKs-11,manual,7b70014ef90dfa00,W012,"[""far"", 0]",False,"[""far"", 0]","[""far"", 0]"
B6ByNegPMKs-11,manual,77ab07a0a6d85137,W013,"[""far"", 0]",False,"[""far"", 0]","[""far"", 0]"
B6ByNegPMKs-11,manual,033e34e10addfeb4,W014,"[""far"", 0]",False,"[""far"", 0]","[""far"", 0]"
B6ByNegPMKs-11,manual,be4265df16f250c5,W015,"[""far"", 0]",False,"[""far"", 0]","[""far"", 0]"
B6ByNegPMKs-11,manual,ee6734855a1fce2c,W017,"[""far"", 0]",False,"[""far"", 0]","[""far"", 0]"
B6ByNegPMKs-11,manual,69dd02c653b999da,W018,"[""near"", 0]",False,"[""near"", 0]","[""near"", 0]"
B6ByNegPMKs-11,manual,158cdf9ee8269d7a,W021,"[""far"", 0]",False,"[""far"", 0]","[""far"", 0]"
B6ByNegPMKs-11,manual,ae9eebd3c841d936,W027,"[""near"", 0]",False,"[""near"", 0]","[""near"", 0]"
B6ByNegPMKs-11,manual,f8548145ddefef82,W028,"[""near"", 0]",False,"[""near"", 0]","[""near"", 0]"
B6ByNegPMKs-11,manual,dab549f7649c26f5,W029,"[""near"", 0]",False,"[""near"", 0]","[""near"", 0]"
B6ByNegPMKs-11,manual,d5ec1431385bed24,W030,"[""near"", 0]",False,"[""near"", 0]","[""near"", 0]"
B6ByNegPMKs-11,manual,01111484ace4b94e,W031,"[""near"", 0]",False,"[""near"", 0]","[""near"", 0]"
B6ByNegPMKs-11,manual,283873b63fff0570,W032,"[""near"", 0]",False,"[""near"", 0]","[""near"", 0]"
B6ByNegPMKs-11,manual,0a8c62a27fbaac21,W033,"[""near"", 0]",False,"[""near"", 0]","[""near"", 0]"
B6ByNegPMKs-11,manual,d709cefe9dcba87b,W034,"[""near"", 1]",False,"[""near"", 1]","[""near"", 1]"
B6ByNegPMKs-11,manual,71917bb13f847c7d,W035,"[""near"", 0]",False,"[""near"", 0]","[""near"", 0]"
B6ByNegPMKs-11,manual,803f0a9e869112a9,W036,"[""near"", 0]",False,"[""near"", 0]","[""near"", 0]"
B6ByNegPMKs-11,manual,9a14ee08aba6a9c3,W037,"[""near"", 0]",False,"[""near"", 0]","[""near"", 0]"
X7HyMhZNoso-19,manual,c599740d3bc3761f8f39,W011,"[2, 2]",False,"[2, 2]","[2, 2]"
X7HyMhZNoso-19,manual,a68c32790d01e6b27d0d,W015,"[2, 2]",False,"[2, 2]","[2, 2]"
X7HyMhZNoso-19,manual,adc213fc12f5f948aa56,W033,"[2, 2]",False,"[2, 2]","[2, 2]"
X7HyMhZNoso-19,manual,5f7815f3a489b8007a97,W034,"[0, 0]",False,"[0, 0]","[0, 0]"
X7HyMhZNoso-19,manual,ae929aa9e6dd3cd587ac,W037,"[0, 2]",False,"[0, 2]","[0, 2]"
X7HyMhZNoso-19,semi,fba833f7e946e03406f0,W001,"[2, 2]",False,"[2, 2]","[2, 2]"
X7HyMhZNoso-19,semi,7fc54cc83e44fb28abe2,W002,"[2, 2]",False,"[2, 2]","[2, 2]"
X7HyMhZNoso-19,semi,be0ea7a0849f9bf057cb,W017,"[2, 2]",False,"[2, 2]","[2, 2]"
X7HyMhZNoso-19,semi,4d6cdfa4951e9653e815,W028,"[0, 0]",False,"[0, 0]","[0, 0]"
rPc6DW4iMge-15,manual,14346fa7f625df2e92da,W001,"[0, 0]",False,"[0, 0]","[0, 0]"
