code,condition,signature,n,workers
B6ByNegPMKs-11,manual,"[""near"", 0]",15,W001;W002;W010;W011;W018;W027;W028;W029;W030;W031;W032;W033;W035;W036;W037
B6ByNegPMKs-11,manual,"[""far"", 0]",8,W006;W008;W012;W013;W014;W015;W017;W021
B6ByNegPMKs-11,manual,"[""near"", 1]",1,W034
X7HyMhZNoso-19,manual,"[2, 2]",3,W011;W015;W033
X7HyMhZNoso-19,manual,"[0, 0]",1,W034
X7HyMhZNoso-19,manual,"[0, 2]",1,W037
X7HyMhZNoso-19,semi,"[2, 2]",3,W001;W002;W017
X7HyMhZNoso-19,semi,"[0, 0]",1,W028
rPc6DW4iMge-15,manual,"[0, 0]",22,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036
rPc6DW4iMge-15,manual,"[1, 1]",1,W037
rPc6DW4iMge-20,manual,"[0, 0, 0, 1]",22,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W035;W036
rPc6DW4iMge-20,manual,"[1, 1, 1, 0]",1,W034
rPc6DW4iMge-20,manual,"[1, 1, 0, 1]",1,W037
wc2JMjhGNzB-67,manual,"[0, 1]",3,W002;W011;W015
wc2JMjhGNzB-67,manual,"[0, 0]",1,W034
wc2JMjhGNzB-67,manual,"[1, 1]",1,W037
wc2JMjhGNzB-67,semi,"[0, 1]",4,W006;W031;W033;W036
