code,condition,method,cut,id,worker,cluster
jtcxE69GiFV-05,manual,spherical,0.075,8ff7251a7c24a8e0e71e,W002,2
jtcxE69GiFV-05,manual,spherical,0.075,8af889f37a502f3fa126,W006,2
jtcxE69GiFV-05,manual,spherical,0.075,f005d5460cd37c229372,W008,2
jtcxE69GiFV-05,manual,spherical,0.075,dbdc83a7c9f53399480c,W012,1
jtcxE69GiFV-05,manual,spherical,0.075,f92320ca03fc70c20aea,W013,1
jtcxE69GiFV-05,manual,spherical,0.075,a431c68f99235de30da3,W015,1
jtcxE69GiFV-05,manual,spherical,0.1,8ff7251a7c24a8e0e71e,W002,1
jtcxE69GiFV-05,manual,spherical,0.1,8af889f37a502f3fa126,W006,1
jtcxE69GiFV-05,manual,spherical,0.1,f005d5460cd37c229372,W008,1
jtcxE69GiFV-05,manual,spherical,0.1,dbdc83a7c9f53399480c,W012,1
jtcxE69GiFV-05,manual,spherical,0.1,f92320ca03fc70c20aea,W013,1
jtcxE69GiFV-05,manual,spherical,0.1,a431c68f99235de30da3,W015,1
jtcxE69GiFV-05,manual,spherical,0.125,8ff7251a7c24a8e0e71e,W002,1
jtcxE69GiFV-05,manual,spherical,0.125,8af889f37a502f3fa126,W006,1
jtcxE69GiFV-05,manual,spherical,0.125,f005d5460cd37c229372,W008,1
jtcxE69GiFV-05,manual,spherical,0.125,dbdc83a7c9f53399480c,W012,1
jtcxE69GiFV-05,manual,spherical,0.125,f92320ca03fc70c20aea,W013,1
jtcxE69GiFV-05,manual,spherical,0.125,a431c68f99235de30da3,W015,1
jtcxE69GiFV-05,manual,spherical,0.15,8ff7251a7c24a8e0e71e,W002,1
jtcxE69GiFV-05,manual,spherical,0.15,8af889f37a502f3fa126,W006,1
jtcxE69GiFV-05,manual,spherical,0.15,f005d5460cd37c229372,W008,1
jtcxE69GiFV-05,manual,spherical,0.15,dbdc83a7c9f53399480c,W012,1
jtcxE69GiFV-05,manual,spherical,0.15,f92320ca03fc70c20aea,W013,1
jtcxE69GiFV-05,manual,spherical,0.15,a431c68f99235de30da3,W015,1
jtcxE69GiFV-05,manual,spherical,0.2,8ff7251a7c24a8e0e71e,W002,1
jtcxE69GiFV-05,manual,spherical,0.2,8af889f37a502f3fa126,W006,1
jtcxE69GiFV-05,manual,spherical,0.2,f005d5460cd37c229372,W008,1
jtcxE69GiFV-05,manual,spherical,0.2,dbdc83a7c9f53399480c,W012,1
jtcxE69GiFV-05,manual,spherical,0.2,f92320ca03fc70c20aea,W013,1
jtcxE69GiFV-05,manual,spherical,0.2,a431c68f99235de30da3,W015,1
jtcxE69GiFV-05,manual,solid,0.075,8ff7251a7c24a8e0e71e,W002,1
jtcxE69GiFV-05,manual,solid,0.075,8af889f37a502f3fa126,W006,1
jtcxE69GiFV-05,manual,solid,0.075,f005d5460cd37c229372,W008,1
jtcxE69GiFV-05,manual,solid,0.075,dbdc83a7c9f53399480c,W012,1
jtcxE69GiFV-05,manual,solid,0.075,f92320ca03fc70c20aea,W013,1
jtcxE69GiFV-05,manual,solid,0.075,a431c68f99235de30da3,W015,1
jtcxE69GiFV-05,manual,solid,0.1,8ff7251a7c24a8e0e71e,W002,1
jtcxE69GiFV-05,manual,solid,0.1,8af889f37a502f3fa126,W006,1
jtcxE69GiFV-05,manual,solid,0.1,f005d5460cd37c229372,W008,1
jtcxE69GiFV-05,manual,solid,0.1,dbdc83a7c9f53399480c,W012,1
jtcxE69GiFV-05,manual,solid,0.1,f92320ca03fc70c20aea,W013,1
jtcxE69GiFV-05,manual,solid,0.1,a431c68f99235de30da3,W015,1
jtcxE69GiFV-05,manual,solid,0.125,8ff7251a7c24a8e0e71e,W002,1
jtcxE69GiFV-05,manual,solid,0.125,8af889f37a502f3fa126,W006,1
jtcxE69GiFV-05,manual,solid,0.125,f005d5460cd37c229372,W008,1
jtcxE69GiFV-05,manual,solid,0.125,dbdc83a7c9f53399480c,W012,1
jtcxE69GiFV-05,manual,solid,0.125,f92320ca03fc70c20aea,W013,1
jtcxE69GiFV-05,manual,solid,0.125,a431c68f99235de30da3,W015,1
jtcxE69GiFV-05,manual,solid,0.15,8ff7251a7c24a8e0e71e,W002,1
jtcxE69GiFV-05,manual,solid,0.15,8af889f37a502f3fa126,W006,1
jtcxE69GiFV-05,manual,solid,0.15,f005d5460cd37c229372,W008,1
jtcxE69GiFV-05,manual,solid,0.15,dbdc83a7c9f53399480c,W012,1
jtcxE69GiFV-05,manual,solid,0.15,f92320ca03fc70c20aea,W013,1
jtcxE69GiFV-05,manual,solid,0.15,a431c68f99235de30da3,W015,1
jtcxE69GiFV-05,manual,solid,0.2,8ff7251a7c24a8e0e71e,W002,1
jtcxE69GiFV-05,manual,solid,0.2,8af889f37a502f3fa126,W006,1
jtcxE69GiFV-05,manual,solid,0.2,f005d5460cd37c229372,W008,1
jtcxE69GiFV-05,manual,solid,0.2,dbdc83a7c9f53399480c,W012,1
jtcxE69GiFV-05,manual,solid,0.2,f92320ca03fc70c20aea,W013,1
jtcxE69GiFV-05,manual,solid,0.2,a431c68f99235de30da3,W015,1
jtcxE69GiFV-05,manual,linear_common,0.075,8ff7251a7c24a8e0e71e,W002,2
jtcxE69GiFV-05,manual,linear_common,0.075,8af889f37a502f3fa126,W006,2
jtcxE69GiFV-05,manual,linear_common,0.075,f005d5460cd37c229372,W008,1
jtcxE69GiFV-05,manual,linear_common,0.075,dbdc83a7c9f53399480c,W012,1
jtcxE69GiFV-05,manual,linear_common,0.075,f92320ca03fc70c20aea,W013,1
jtcxE69GiFV-05,manual,linear_common,0.075,a431c68f99235de30da3,W015,2
jtcxE69GiFV-05,manual,linear_common,0.1,8ff7251a7c24a8e0e71e,W002,2
jtcxE69GiFV-05,manual,linear_common,0.1,8af889f37a502f3fa126,W006,2
jtcxE69GiFV-05,manual,linear_common,0.1,f005d5460cd37c229372,W008,1
jtcxE69GiFV-05,manual,linear_common,0.1,dbdc83a7c9f53399480c,W012,1
jtcxE69GiFV-05,manual,linear_common,0.1,f92320ca03fc70c20aea,W013,1
jtcxE69GiFV-05,manual,linear_common,0.1,a431c68f99235de30da3,W015,2
jtcxE69GiFV-05,manual,linear_common,0.125,8ff7251a7c24a8e0e71e,W002,1
jtcxE69GiFV-05,manual,linear_common,0.125,8af889f37a502f3fa126,W006,1
jtcxE69GiFV-05,manual,linear_common,0.125,f005d5460cd37c229372,W008,1
jtcxE69GiFV-05,manual,linear_common,0.125,dbdc83a7c9f53399480c,W012,1
jtcxE69GiFV-05,manual,linear_common,0.125,f92320ca03fc70c20aea,W013,1
jtcxE69GiFV-05,manual,linear_common,0.125,a431c68f99235de30da3,W015,1
jtcxE69GiFV-05,manual,linear_common,0.15,8ff7251a7c24a8e0e71e,W002,1
jtcxE69GiFV-05,manual,linear_common,0.15,8af889f37a502f3fa126,W006,1
jtcxE69GiFV-05,manual,linear_common,0.15,f005d5460cd37c229372,W008,1
jtcxE69GiFV-05,manual,linear_common,0.15,dbdc83a7c9f53399480c,W012,1
jtcxE69GiFV-05,manual,linear_common,0.15,f92320ca03fc70c20aea,W013,1
jtcxE69GiFV-05,manual,linear_common,0.15,a431c68f99235de30da3,W015,1
jtcxE69GiFV-05,manual,linear_common,0.2,8ff7251a7c24a8e0e71e,W002,1
jtcxE69GiFV-05,manual,linear_common,0.2,8af889f37a502f3fa126,W006,1
jtcxE69GiFV-05,manual,linear_common,0.2,f005d5460cd37c229372,W008,1
jtcxE69GiFV-05,manual,linear_common,0.2,dbdc83a7c9f53399480c,W012,1
jtcxE69GiFV-05,manual,linear_common,0.2,f92320ca03fc70c20aea,W013,1
jtcxE69GiFV-05,manual,linear_common,0.2,a431c68f99235de30da3,W015,1
uNb9QFRL6hY-40,manual,spherical,0.075,f8b24f616d167c27b810,W006,1
