key,image_id,code,building,metric,N,k,target,features_available
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a|manual,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,7y3sRwLe3Va,sphere,24,5,0,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a|manual,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,7y3sRwLe3Va,image,24,5,0,True
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086|manual,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs-11,B6ByNegPMKs,sphere,24,5,0.088882037108581738,True
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086|manual,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs-11,B6ByNegPMKs,image,24,5,0.089651004982812754,True
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993|manual,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs-33,B6ByNegPMKs,sphere,23,5,0.044079236298915928,True
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993|manual,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs-33,B6ByNegPMKs,image,23,5,0.044163438900281009,True
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624|manual,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs-40,B6ByNegPMKs,sphere,24,5,0.089802074355850123,True
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624|manual,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs-40,B6ByNegPMKs,image,24,5,0.090415019762845869,True
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e|manual,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM-01,S9hNv5qa7GM,sphere,19,5,0.42462774583517621,True
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e|manual,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM-01,S9hNv5qa7GM,image,19,5,0.47915130964666569,True
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf|manual,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM-15,S9hNv5qa7GM,sphere,20,5,0,True
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf|manual,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,S9hNv5qa7GM-15,S9hNv5qa7GM,image,20,5,0,True
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65|manual,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3-09,UwV83HsGsw3,sphere,24,5,0.51795496646755224,True
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65|manual,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3-09,UwV83HsGsw3,image,24,5,0.53893132039585134,True
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596|manual,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3-10,UwV83HsGsw3,sphere,24,5,0.44848410552071877,True
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596|manual,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3-10,UwV83HsGsw3,image,24,5,0.52741289983852913,True
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3-17,UwV83HsGsw3,sphere,23,5,0.11255411255411256,True
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3-17,UwV83HsGsw3,image,23,5,0.11255411255411256,True
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d|manual,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom-07,VFuaQ6m2Qom,sphere,19,5,0.37074303405572756,True
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d|manual,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom-07,VFuaQ6m2Qom,image,19,5,0.37074303405572756,True
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d|manual,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso-13,X7HyMhZNoso,sphere,24,5,0,True
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d|manual,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso-13,X7HyMhZNoso,image,24,5,0.010609527771999168,True
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15|manual,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG-04,b8cTxDM8gDG,sphere,24,5,0.79613683418031245,True
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15|manual,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG-04,b8cTxDM8gDG,image,24,5,0.89624505928853759,True
