axis,groups,fold_pairs,ARI_mean,ARI_min,changed_workers_mean
image:complete:singleton,2,231,0.64428149845945293,0.026136957658128592,3.1991341991341993
image:complete:singleton,3,231,0.68272859242218298,0.3658296405711472,2.8874458874458875
image:pair_disagreement,2,231,1,1,0
image:pair_disagreement,3,231,0.81146614257450589,0.44364453147497551,1.3896103896103895
image:representative:singleton,2,231,0.52913055968884892,0.026136957658128592,3.8874458874458875
image:representative:singleton,3,231,0.67575498364467113,0.35373808329152034,3.0692640692640691
sphere:complete:singleton,2,231,0.91146699615073901,0.026136957658128592,0.81818181818181823
sphere:complete:singleton,3,231,0.72753464766474618,0.4100301452452727,2.3506493506493507
sphere:pair_disagreement,2,231,0.9403682866114722,0.40207972270363951,0.36363636363636365
sphere:pair_disagreement,3,231,0.66937990383391832,0.35469472341782243,2.9047619047619047
sphere:representative:singleton,2,231,0.56340320416906542,-0.060169764693241645,3.5844155844155843
sphere:representative:singleton,3,231,0.72798292287433308,0.34072933807526939,2.4891774891774894
