task_id,annotator_id,active_time,iou,boundary_rmse_px,layout_used,layout_gate_reason,scope,difficulty,model_issue
479,4,32.612,0.9211248221283116,122.94258377897384,False,low_coverage,normal,,
475,4,32.645,0.5165761659834641,111.61902454610951,True,,normal,,fail
475,2,1622.9589999999998,0.4937043604887164,101.17947968523558,True,,normal,occlusion;low_quality;residual,fail
475,3,82.489,0.4897527954083675,98.22996475904132,True,,normal,occlusion;low_texture;residual,fail
475,1,176.504,0.4161883959106334,97.03971883332105,True,,normal,,fail
493,1,178.971,0.8692310488908669,71.4388089064253,False,n_pairs_mismatch,normal,,
500,4,29.42,0.885411899909876,45.91803903253873,False,n_pairs_mismatch,normal,,
498,3,76.731,0.9905036585529432,37.37583284502668,False,out_of_scope,oos_split_level,,overextend_adjacent
493,3,121.734,0.8051130063025252,33.43592468543845,False,n_pairs_mismatch,normal,occlusion;low_quality,overextend_adjacent;corner_duplicate
493,2,78.599,0.7777833479382942,32.964413962493325,False,n_pairs_mismatch,(empty),,
496,2,66.204,0.862920431382895,31.499067989064176,False,out_of_scope,oos_split_level,occlusion;low_texture,
476,2,1665.756,0.9435030593246246,31.081432076432304,False,out_of_scope,oos_split_level,residual,
496,3,90.995,0.8653936170671135,28.01421540304917,False,out_of_scope,oos_split_level,,corner_drift
502,4,16.613,0.8453549668037589,24.951179137107555,True,,normal,,
505,3,216.681,0.8329934895081764,23.943670926602007,False,n_pairs_mismatch,normal,occlusion;low_texture,corner_duplicate;corner_mismatch
495,3,111.666,0.9700252659053626,12.474126053587131,False,out_of_scope,oos_split_level,,
480,4,11.828,1.0,12.13152082829774,True,,normal,,
503,3,284.11,0.9719617698347048,11.786077426088376,True,,normal,occlusion;residual,corner_drift
499,4,18.817,0.9220578210928426,10.784952517543324,True,,normal,,
498,2,56.963,0.6394223538380952,10.711087794122427,False,out_of_scope,oos_split_level,occlusion,overextend_adjacent
