image_id,code,condition,building,N_observed,N_geometry,N_unavailable,development_image,method,omitted_worker,ARI,changed_pairs,total_pairs
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A0_legacy,W008,1.0,0,1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A0_legacy,W031,1.0,0,1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A0_legacy,W034,1.0,0,1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A1_mask,W008,1.0,0,1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A1_mask,W031,1.0,0,1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A1_mask,W034,1.0,0,1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic,W008,1.0,0,1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic,W031,1.0,0,1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic,W034,1.0,0,1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut08,W008,1.0,0,1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut08,W031,1.0,0,1
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut08,W034,1.0,0,1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A0_legacy,W008,1.0,0,1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A0_legacy,W031,1.0,0,1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A0_legacy,W034,1.0,0,1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A1_mask,W008,1.0,0,1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A1_mask,W031,1.0,0,1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A1_mask,W034,1.0,0,1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic,W008,1.0,0,1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic,W031,1.0,0,1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic,W034,1.0,0,1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut08,W008,1.0,0,1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut08,W031,1.0,0,1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,2t7WUuJeko7,3,3,0,False,A3_cyclic_cut08,W034,1.0,0,1
