image_id,building,bi_enclosed_corners,bi_extended_corners,hohonet_corners,gap_bi_enclosed__bi_extended,gap_bi_enclosed__hohonet,gap_bi_enclosed__ulayout_boundary,gap_bi_extended__hohonet,gap_bi_extended__ulayout_boundary,gap_hohonet__ulayout_boundary,rotation_bi_enclosed,rotation_bi_extended,rotation_hohonet,rotation_ulayout_boundary
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,4,4,4,0.0010808053360858993,0.012929458535956506,0.007049627987015028,0.01237720990019242,0.006765936355958124,0.012544520931825343,0.004811951649225654,0.006664700585071663,0.0006422953047808081,0.00029242005756435763
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,4,4,4,3.8433208480626035e-05,0.011938519197536301,0.016287320273323136,0.01191811167915613,0.01628566248909169,0.010352339628978968,0.007233311408825771,0.007221554928552883,0.0010545456811064853,0.00041759439631594564
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,4,4,4,0.000348017642034848,0.02986803991360687,0.01743106719189169,0.029963473441286692,0.01752733999104128,0.018795558393389422,0.010929221635431011,0.009837816559039888,0.0009861142724913636,0.0004656785158895967
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,4,4,4,0.018277257966018534,0.05209620269067383,0.046157761329722935,0.03539151458784007,0.04199697349622,0.04166347158076067,0.027827599255741742,0.023622504646055753,0.0025160865844875793,0.002135290519224194
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,4,4,4,0.00010186530806710614,0.0050306599351852554,0.012504908764241707,0.004956489252250007,0.012443652299288899,0.01253917319918374,0.00435561710272588,0.0046092558601835325,0.000734778529679847,0.00027158386083214747
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,10,10,10,0.00034589441766519347,0.09691838350538495,0.049118204792511166,0.09695675466028086,0.04908044884777818,0.060083434271649305,0.03466299471124327,0.03470896294198974,0.0026001945291213024,0.0011120410553690692
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,6,6,6,0.0003261594479293528,0.03515388466403646,0.0234182883910794,0.03536333051267526,0.023611719772745343,0.018282225301395894,0.022080009846272636,0.0242932708931252,0.0014076835016905154,0.0003971434115918049
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,4,4,6,0.006287571563203587,0.02577473795538232,0.0187430135299691,0.021171135889117232,0.022052543476544173,0.019187544860639782,0.0257060814802668,0.028291251440125415,0.0021165525086314085,0.0008394461128110228
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,6,6,6,0.00025973465978046395,0.04948071721800995,0.028351626799356322,0.049471447016701475,0.028255771170082822,0.034828991575292956,0.021530100263747614,0.0213980522866792,0.00188870535745637,0.0004976590211840382
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,8,10,10,0.06968172565787101,0.1569304423092721,0.11068542487313027,0.1776901901046959,0.13655022272699435,0.13835229957413497,0.05706808899519561,,0.1572906464341748,0.001306001782356736
