image_id,code,condition,N,method,clusters,supported,singletons,singleton_mass,largest_share,entropy_bits,sizes
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,3,OSPA30_c3_gate0,1,1,0,0.0,1.0,-0.0,3
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,3,OSPA30_c6_gate0,1,1,0,0.0,1.0,-0.0,3
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,3,OSPA30_c9_gate0,1,1,0,0.0,1.0,-0.0,3
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,3,OSPA30_c3_gate1,1,1,0,0.0,1.0,-0.0,3
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,3,OSPA30_c6_gate1,1,1,0,0.0,1.0,-0.0,3
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7-06,manual,3,OSPA30_c9_gate1,1,1,0,0.0,1.0,-0.0,3
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,3,OSPA30_c3_gate0,2,1,1,0.3333333333333333,0.6666666666666666,0.9182958340544896,2;1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,3,OSPA30_c6_gate0,1,1,0,0.0,1.0,-0.0,3
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,3,OSPA30_c9_gate0,1,1,0,0.0,1.0,-0.0,3
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,3,OSPA30_c3_gate1,2,1,1,0.3333333333333333,0.6666666666666666,0.9182958340544896,2;1
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,3,OSPA30_c6_gate1,1,1,0,0.0,1.0,-0.0,3
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7-09,manual,3,OSPA30_c9_gate1,1,1,0,0.0,1.0,-0.0,3
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,1,OSPA30_c3_gate0,1,0,1,1.0,1.0,-0.0,1
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,1,OSPA30_c6_gate0,1,0,1,1.0,1.0,-0.0,1
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,1,OSPA30_c9_gate0,1,0,1,1.0,1.0,-0.0,1
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,1,OSPA30_c3_gate1,1,0,1,1.0,1.0,-0.0,1
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,1,OSPA30_c6_gate1,1,0,1,1.0,1.0,-0.0,1
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7-13,manual,1,OSPA30_c9_gate1,1,0,1,1.0,1.0,-0.0,1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,5,OSPA30_c3_gate0,3,1,2,0.4,0.6,1.3709505944546687,3;1;1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,5,OSPA30_c6_gate0,2,1,1,0.2,0.8,0.7219280948873623,4;1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,5,OSPA30_c9_gate0,2,1,1,0.2,0.8,0.7219280948873623,4;1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,5,OSPA30_c3_gate1,3,1,2,0.4,0.6,1.3709505944546687,3;1;1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,5,OSPA30_c6_gate1,2,1,1,0.2,0.8,0.7219280948873623,4;1
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va-03,manual,5,OSPA30_c9_gate1,2,1,1,0.2,0.8,0.7219280948873623,4;1
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,24,OSPA30_c3_gate0,1,1,0,0.0,1.0,-0.0,24
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,24,OSPA30_c6_gate0,1,1,0,0.0,1.0,-0.0,24
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,24,OSPA30_c9_gate0,1,1,0,0.0,1.0,-0.0,24
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,24,OSPA30_c3_gate1,1,1,0,0.0,1.0,-0.0,24
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,24,OSPA30_c6_gate1,1,1,0,0.0,1.0,-0.0,24
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va-04,manual,24,OSPA30_c9_gate1,1,1,0,0.0,1.0,-0.0,24
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,24,OSPA30_c3_gate0,13,4,9,0.375,0.2916666666666667,3.2865766899407327,7;3;3;2;1;1;1;1;1;1;1;1;1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,24,OSPA30_c6_gate0,9,3,6,0.25,0.375,2.5791722720787553,9;5;4;1;1;1;1;1;1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,24,OSPA30_c9_gate0,5,4,1,0.041666666666666664,0.625,1.6431558784658322,15;4;2;2;1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,24,OSPA30_c3_gate1,13,4,9,0.375,0.2916666666666667,3.2865766899407327,7;3;3;2;1;1;1;1;1;1;1;1;1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,24,OSPA30_c6_gate1,9,2,7,0.2916666666666667,0.5416666666666666,2.247224320061398,13;4;1;1;1;1;1;1;1
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va-08,oos,24,OSPA30_c9_gate1,8,3,5,0.20833333333333334,0.5416666666666666,2.1638909867280645,13;4;2;1;1;1;1;1
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,24,OSPA30_c3_gate0,14,6,8,0.3333333333333333,0.16666666666666666,3.584962500721156,4;4;2;2;2;2;1;1;1;1;1;1;1;1
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,24,OSPA30_c6_gate0,9,6,3,0.125,0.25,2.8443609377704338,6;6;3;2;2;2;1;1;1
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,24,OSPA30_c9_gate0,5,5,0,0.0,0.5416666666666666,1.9028633822909644,13;3;3;3;2
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,24,OSPA30_c3_gate1,14,6,8,0.3333333333333333,0.16666666666666666,3.584962500721156,4;4;2;2;2;2;1;1;1;1;1;1;1;1
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,24,OSPA30_c6_gate1,9,6,3,0.125,0.25,2.8443609377704338,6;6;3;2;2;2;1;1;1
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,oos,24,OSPA30_c9_gate1,6,5,1,0.041666666666666664,0.5416666666666666,2.0176503615477754,13;3;3;2;2;1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,24,OSPA30_c3_gate0,9,4,5,0.20833333333333334,0.5,2.427694271103767,12;3;2;2;1;1;1;1;1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,24,OSPA30_c6_gate0,5,3,2,0.08333333333333333,0.75,1.2908520829727552,18;2;2;1;1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,24,OSPA30_c9_gate0,4,3,1,0.041666666666666664,0.75,1.176065103715944,18;3;2;1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,24,OSPA30_c3_gate1,9,4,5,0.20833333333333334,0.5,2.427694271103767,12;3;2;2;1;1;1;1;1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,24,OSPA30_c6_gate1,5,3,2,0.08333333333333333,0.75,1.2908520829727552,18;2;2;1;1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va-13,semi,24,OSPA30_c9_gate1,5,3,2,0.08333333333333333,0.75,1.2908520829727552,18;2;2;1;1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va-17,manual,5,OSPA30_c3_gate0,4,1,3,0.6,0.4,1.9219280948873623,2;1;1;1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va-17,manual,5,OSPA30_c6_gate0,4,1,3,0.6,0.4,1.9219280948873623,2;1;1;1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va-17,manual,5,OSPA30_c9_gate0,4,1,3,0.6,0.4,1.9219280948873623,2;1;1;1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va-17,manual,5,OSPA30_c3_gate1,4,1,3,0.6,0.4,1.9219280948873623,2;1;1;1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va-17,manual,5,OSPA30_c6_gate1,4,1,3,0.6,0.4,1.9219280948873623,2;1;1;1
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va-17,manual,5,OSPA30_c9_gate1,4,1,3,0.6,0.4,1.9219280948873623,2;1;1;1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va-18,manual,6,OSPA30_c3_gate0,5,1,4,0.6666666666666666,0.3333333333333333,2.2516291673878226,2;1;1;1;1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va-18,manual,6,OSPA30_c6_gate0,4,2,2,0.3333333333333333,0.3333333333333333,1.9182958340544893,2;2;1;1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va-18,manual,6,OSPA30_c9_gate0,3,2,1,0.16666666666666666,0.5,1.4591479170272448,3;2;1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va-18,manual,6,OSPA30_c3_gate1,5,1,4,0.6666666666666666,0.3333333333333333,2.2516291673878226,2;1;1;1;1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va-18,manual,6,OSPA30_c6_gate1,4,2,2,0.3333333333333333,0.3333333333333333,1.9182958340544893,2;2;1;1
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va-18,manual,6,OSPA30_c9_gate1,3,2,1,0.16666666666666666,0.5,1.4591479170272448,3;2;1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va-19,manual,6,OSPA30_c3_gate0,3,1,2,0.3333333333333333,0.6666666666666666,1.2516291673878228,4;1;1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va-19,manual,6,OSPA30_c6_gate0,3,1,2,0.3333333333333333,0.6666666666666666,1.2516291673878228,4;1;1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va-19,manual,6,OSPA30_c9_gate0,3,1,2,0.3333333333333333,0.6666666666666666,1.2516291673878228,4;1;1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va-19,manual,6,OSPA30_c3_gate1,3,1,2,0.3333333333333333,0.6666666666666666,1.2516291673878228,4;1;1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va-19,manual,6,OSPA30_c6_gate1,3,1,2,0.3333333333333333,0.6666666666666666,1.2516291673878228,4;1;1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va-19,manual,6,OSPA30_c9_gate1,3,1,2,0.3333333333333333,0.6666666666666666,1.2516291673878228,4;1;1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va-19,semi,4,OSPA30_c3_gate0,1,1,0,0.0,1.0,-0.0,4
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va-19,semi,4,OSPA30_c6_gate0,1,1,0,0.0,1.0,-0.0,4
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va-19,semi,4,OSPA30_c9_gate0,1,1,0,0.0,1.0,-0.0,4
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va-19,semi,4,OSPA30_c3_gate1,1,1,0,0.0,1.0,-0.0,4
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va-19,semi,4,OSPA30_c6_gate1,1,1,0,0.0,1.0,-0.0,4
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va-19,semi,4,OSPA30_c9_gate1,1,1,0,0.0,1.0,-0.0,4
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va-21,manual,5,OSPA30_c3_gate0,3,1,2,0.4,0.6,1.3709505944546687,3;1;1
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va-21,manual,5,OSPA30_c6_gate0,3,1,2,0.4,0.6,1.3709505944546687,3;1;1
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va-21,manual,5,OSPA30_c9_gate0,2,2,0,0.0,0.6,0.9709505944546686,3;2
