stage,condition,selected_or_auditable_record_count,worker_count,base_task_count,building_count,geometry_computable_count,active_time_observed_count,active_time_formal_eligible_count,lead_time_observed_count,administrative_exclusion_record_count,historical_retained_record_count,outside_assignment_record_count,raw_annotation_version_count,raw_worker_count,raw_base_task_count,raw_lead_time_observed_count
C1,manual,674.0,23.0,87.0,13.0,668.0,607.0,607.0,0.0,28.0,56.0,0.0,680.0,23.0,87.0,680.0
C1,semi,106.0,23.0,25.0,9.0,105.0,94.0,94.0,0.0,4.0,9.0,0.0,108.0,23.0,25.0,108.0
C2-A-RP-B1,manual,40.0,20.0,28.0,8.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,,,,
C2-A-RP-B2,manual,40.0,20.0,27.0,8.0,39.0,40.0,40.0,40.0,0.0,0.0,0.0,,,,
C2-B,manual,160.0,20.0,46.0,8.0,160.0,160.0,160.0,160.0,0.0,0.0,0.0,160.0,20.0,46.0,160.0
C2A-RP-B1,manual,,,,,,,,,,,,40.0,20.0,28.0,40.0
C2A-RP-B2,manual,,,,,,,,,,,,40.0,20.0,27.0,40.0
P1,manual,779.0,26.0,30.0,12.0,741.0,779.0,599.0,779.0,30.0,60.0,0.0,782.0,26.0,30.0,782.0
P1,oos,234.0,26.0,9.0,6.0,221.0,234.0,180.0,234.0,9.0,18.0,0.0,234.0,26.0,9.0,234.0
P1,semi,468.0,26.0,18.0,10.0,464.0,468.0,349.0,468.0,18.0,36.0,0.0,469.0,26.0,18.0,469.0
