stage,stage_zh,grouping,group_value,condition,condition_zh,base_task_id,worker_id,building_id,n,missing,rate,jeffreys_lower,jeffreys_upper,missing_definition
C1,校准一阶段,condition,manual,manual,纯人工,,,,674,67,0.09940652818991098,0.07853469086255234,0.12370888783146229,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,condition,semi,semi,模型预标注辅助,,,,106,12,0.11320754716981132,0.06339880967651831,0.1837652843099924,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,,,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,,,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,,,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,,,6,1,0.16666666666666666,0.018620127119442168,0.5580567736092483,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,,,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,,,10,1,0.1,0.011011673763161133,0.3813147710666164,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,,,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,,,9,1,0.1111111111111111,0.012264087621619449,0.4144692774405326,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,,,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,,,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,,,5,0,0.0,9.342060003954474e-05,0.37937714229903935,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,,,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,,,5,1,0.2,0.02251276599915512,0.6286264006319943,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,,,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,,,9,1,0.1111111111111111,0.012264087621619449,0.4144692774405326,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,,,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,,,9,0,0.0,5.3064053418492834e-05,0.23761009863290306,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,task,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,,,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,,,10,1,0.1,0.011011673763161133,0.3813147710666164,active_time_measurement_class=missing; no lead-time backfill
