audit_level,semi_task_count,proxy_task_count,matched_task_count,missing_proxy_task_count,missing_proxy_filled_as_zero,note,base_task_id,building_id,join_status
summary,25.0,22.0,22,3,False,missing proxy predictors remain NA and are excluded per test; no zero imputation,,,
task,,,22,3,,,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,wc2JMjhGNzB,matched
task,,,22,3,,,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,wc2JMjhGNzB,matched
task,,,22,3,,,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,matched
task,,,22,3,,,yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,yqstnuAEVhm,matched
task,,,22,3,,,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,matched
task,,,22,3,,,uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,uNb9QFRL6hY,missing_proxy
task,,,22,3,,,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,matched
task,,,22,3,,,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,missing_proxy
task,,,22,3,,,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,matched
task,,,22,3,,,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,wc2JMjhGNzB,matched
task,,,22,3,,,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,matched
task,,,22,3,,,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,matched
task,,,22,3,,,uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY,matched
task,,,22,3,,,uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY,matched
task,,,22,3,,,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,matched
task,,,22,3,,,uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,matched
task,,,22,3,,,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,matched
task,,,22,3,,,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,matched
task,,,22,3,,,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,yqstnuAEVhm,matched
task,,,22,3,,,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,matched
task,,,22,3,,,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,matched
task,,,22,3,,,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY,missing_proxy
task,,,22,3,,,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,matched
task,,,22,3,,,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,matched
task,,,22,3,,,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,matched
