stage,stage_zh,condition,condition_zh,base_task_id,building_id,observed_worker_count,available_record_count,geometry_computable_worker_count,geometry_missing_worker_count,topology_counts_json,topology_mode_count,topology_shannon_entropy,topology_gini_simpson,largest_topology_share,different_topology_pair_share,same_topology_pair_count,same_topology_cyclic_rmse_median,same_topology_cyclic_rmse_q25,same_topology_cyclic_rmse_q75,geometry_uncertainty_class,geometry_uncertainty_class_zh,measurement_lane,measurement_lane_zh,pair_row_count,worker_id_left,worker_id_right,same_topology,cyclic_rmse_diagonal_normalized,n_corners_left,n_corners_right,image_reference,topology_agreement_class,coordinate_disagreement_band,sensitivity_role
C2-A-RP-B1,校准二阶段风险精度块一,manual,纯人工,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,2,2,2,0,"{""8"": 2}",1,-0.0,0.0,1.0,0.0,1,0.1787481675389207,0.1787481675389207,0.1787481675389207,single_topology_continuous_dispersion,原始码：single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,31,34,True,0.1787481675389207,8,8,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f.jpg,same_topology,upper_third,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B1,校准二阶段风险精度块一,manual,纯人工,S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,2,2,2,0,"{""8"": 2}",1,-0.0,0.0,1.0,0.0,1,0.0436963062398133,0.0436963062398133,0.0436963062398133,single_topology_continuous_dispersion,原始码：single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,10,28,True,0.0436963062398133,8,8,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/S9hNv5qa7GM_53d54b73e58940019b731673e65c1902.jpg,same_topology,middle_third,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B1,校准二阶段风险精度块一,manual,纯人工,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom,2,2,2,0,"{""8"": 2}",1,-0.0,0.0,1.0,0.0,1,0.0117297340023628,0.0117297340023628,0.0117297340023628,single_topology_continuous_dispersion,原始码：single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,17,30,True,0.0117297340023628,8,8,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85.jpg,same_topology,lower_third,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B1,校准二阶段风险精度块一,manual,纯人工,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,VFuaQ6m2Qom,2,2,2,0,"{""14"": 1, ""26"": 1}",2,0.6931471805599453,0.5,0.5,1.0,0,,,,multiple_topologies,原始码：multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,11,37,False,,26,14,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8.jpg,different_topology,nan,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B1,校准二阶段风险精度块一,manual,纯人工,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,jh4fc5c5qoQ,2,2,2,0,"{""10"": 1, ""8"": 1}",2,0.6931471805599453,0.5,0.5,1.0,0,,,,multiple_topologies,原始码：multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,12,13,False,,10,8,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec.jpg,different_topology,nan,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B1,校准二阶段风险精度块一,manual,纯人工,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,jtcxE69GiFV,2,2,2,0,"{""8"": 2}",1,-0.0,0.0,1.0,0.0,1,0.1563144732898272,0.1563144732898272,0.1563144732898272,single_topology_continuous_dispersion,原始码：single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,15,8,True,0.1563144732898272,8,8,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037.jpg,same_topology,upper_third,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B1,校准二阶段风险精度块一,manual,纯人工,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,pRbA3pwrgk9,2,2,2,0,"{""8"": 2}",1,-0.0,0.0,1.0,0.0,1,0.15857225495531,0.15857225495531,0.15857225495531,single_topology_continuous_dispersion,原始码：single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,1,31,True,0.15857225495531,8,8,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78.jpg,same_topology,upper_third,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B1,校准二阶段风险精度块一,manual,纯人工,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,pRbA3pwrgk9,2,2,2,0,"{""8"": 2}",1,-0.0,0.0,1.0,0.0,1,0.1101941042423284,0.1101941042423284,0.1101941042423284,single_topology_continuous_dispersion,原始码：single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,33,34,True,0.1101941042423284,8,8,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1.jpg,same_topology,middle_third,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B1,校准二阶段风险精度块一,manual,纯人工,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,pa4otMbVnkk,2,2,2,0,"{""6"": 1, ""8"": 1}",2,0.6931471805599453,0.5,0.5,1.0,0,,,,multiple_topologies,原始码：multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,29,32,False,,8,6,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3.jpg,different_topology,nan,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B1,校准二阶段风险精度块一,manual,纯人工,zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b,zsNo4HB9uLZ,2,2,2,0,"{""8"": 2}",1,-0.0,0.0,1.0,0.0,1,0.0223192640045271,0.0223192640045271,0.0223192640045271,single_topology_continuous_dispersion,原始码：single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,2,35,True,0.0223192640045271,8,8,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b.jpg,same_topology,middle_third,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B1,校准二阶段风险精度块一,manual,纯人工,zsNo4HB9uLZ_65eefaf93e6249908e6389eb4eabf0f5,zsNo4HB9uLZ,2,2,2,0,"{""6"": 1, ""8"": 1}",2,0.6931471805599453,0.5,0.5,1.0,0,,,,multiple_topologies,原始码：multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,15,32,False,,8,6,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/zsNo4HB9uLZ_65eefaf93e6249908e6389eb4eabf0f5.jpg,different_topology,nan,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B1,校准二阶段风险精度块一,manual,纯人工,zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,zsNo4HB9uLZ,2,2,2,0,"{""16"": 1, ""8"": 1}",2,0.6931471805599453,0.5,0.5,1.0,0,,,,multiple_topologies,原始码：multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,36,6,False,,8,16,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602.jpg,different_topology,nan,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B2,校准二阶段风险精度块二,manual,纯人工,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,2,2,2,0,"{""8"": 2}",1,-0.0,0.0,1.0,0.0,1,0.1599706239962578,0.1599706239962578,0.1599706239962578,single_topology_continuous_dispersion,原始码：single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,31,34,True,0.1599706239962578,8,8,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/2t7WUuJeko7_7b017f053981438a9c075e599f2c5866.jpg,same_topology,upper_third,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B2,校准二阶段风险精度块二,manual,纯人工,S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,S9hNv5qa7GM,2,2,2,0,"{""10"": 1, ""16"": 1}",2,0.6931471805599453,0.5,0.5,1.0,0,,,,multiple_topologies,原始码：multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,30,37,False,,16,10,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/S9hNv5qa7GM_53d54b73e58940019b731673e65c1902.jpg,different_topology,nan,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B2,校准二阶段风险精度块二,manual,纯人工,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom,2,2,2,0,"{""18"": 1, ""8"": 1}",2,0.6931471805599453,0.5,0.5,1.0,0,,,,multiple_topologies,原始码：multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,10,31,False,,8,18,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85.jpg,different_topology,nan,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B2,校准二阶段风险精度块二,manual,纯人工,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,jh4fc5c5qoQ,2,2,2,0,"{""8"": 2}",1,-0.0,0.0,1.0,0.0,1,0.1444433989957859,0.1444433989957859,0.1444433989957859,single_topology_continuous_dispersion,原始码：single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,11,15,True,0.1444433989957859,8,8,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec.jpg,same_topology,upper_third,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B2,校准二阶段风险精度块二,manual,纯人工,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,jtcxE69GiFV,2,2,2,0,"{""8"": 2}",1,-0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,single_topology_continuous_dispersion,原始码：single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,12,13,True,0.0,8,8,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037.jpg,same_topology,lower_third,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B2,校准二阶段风险精度块二,manual,纯人工,pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,pRbA3pwrgk9,2,2,2,0,"{""8"": 2}",1,-0.0,0.0,1.0,0.0,1,0.0037136821449151,0.0037136821449151,0.0037136821449151,single_topology_continuous_dispersion,原始码：single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,32,35,True,0.0037136821449151,8,8,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78.jpg,same_topology,lower_third,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B2,校准二阶段风险精度块二,manual,纯人工,pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,pRbA3pwrgk9,2,2,2,0,"{""8"": 2}",1,-0.0,0.0,1.0,0.0,1,0.1938980877230023,0.1938980877230023,0.1938980877230023,single_topology_continuous_dispersion,原始码：single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,29,6,True,0.1938980877230023,8,8,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1.jpg,same_topology,upper_third,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B2,校准二阶段风险精度块二,manual,纯人工,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,pa4otMbVnkk,2,2,2,0,"{""18"": 1, ""8"": 1}",2,0.6931471805599453,0.5,0.5,1.0,0,,,,multiple_topologies,原始码：multiple_topologies,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,2,28,False,,8,18,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3.jpg,different_topology,nan,two_annotator_pairwise_sensitivity_without_GT_majority_claim
C2-A-RP-B2,校准二阶段风险精度块二,manual,纯人工,zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a,zsNo4HB9uLZ,2,2,2,0,"{""8"": 2}",1,-0.0,0.0,1.0,0.0,1,0.1203826092925531,0.1203826092925531,0.1203826092925531,single_topology_continuous_dispersion,原始码：single_topology_continuous_dispersion,cross_stage_topology_and_cyclic_rmse_descriptive,原始码：cross_stage_topology_and_cyclic_rmse_descriptive,1,15,32,True,0.1203826092925531,8,8,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a.jpg,same_topology,middle_third,two_annotator_pairwise_sensitivity_without_GT_majority_claim
