fact_type,project_id,task_id,annotator_id,session_id,event_count,raw_event_count,sandbox_event_n,timestamp_ms_n,observed_start_timestamp_ms,observed_end_timestamp_ms,observed_span_seconds,max_gap_seconds,gap_gt_60,max_events_per_60_seconds,multi_session_fact,formal_event_n,outside_or_stage_mismatch_n,observed_outside_or_stage_mismatch_n,clock_offset_median_seconds,clock_offset_p95_seconds,clock_offset_audit_only,observed_behavior_event_fields,coverage_field,field_name,observed_n,coverage_rate,description
session_sequence,,,,,0.0,4.0,4.0,0.0,,,,0.0,False,0.0,False,0.0,4.0,0.0,,,True,,,,,,
session_sequence,14,3083,19,5b921592-c934-41ec-9c7d-f18c3058bbdc,1.0,1.0,0.0,1.0,1782624150728.0,1782624150728.0,0.0,0.0,False,1.0,False,0.0,1.0,1.0,28799.77206993103,28799.77206993103,True,,,,,,
session_sequence,2,2083,19,5b921592-c934-41ec-9c7d-f18c3058bbdc,1.0,1.0,0.0,1.0,1782624155802.0,1782624155802.0,0.0,0.0,False,1.0,False,0.0,1.0,1.0,28799.771827936172,28799.771827936172,True,,,,,,
session_sequence,2,3305,2,1783035270202-4d9c8d9172b1c,5.0,5.0,0.0,5.0,1783073263603.0,1783073267601.0,3.998,1.007,False,5.0,False,0.0,5.0,5.0,28802.53815484047,28802.547263240813,True,,,,,,
session_sequence,2,459,1,1785415307823-980826a4cb9d1,1.0,1.0,0.0,1.0,1785415409015.0,1785415409015.0,0.0,0.0,False,1.0,False,0.0,1.0,1.0,28800.567703962326,28800.567703962326,True,,,,,,
session_sequence,2,460,1,1785676324985-5e18caee0a8448,3.0,3.0,0.0,3.0,1785676354992.0,1785676373014.0,18.022,14.923,False,3.0,False,0.0,3.0,3.0,28800.258430957794,28800.36544187069,True,,,,,,
session_sequence,2,460,19,5b921592-c934-41ec-9c7d-f18c3058bbdc,1.0,1.0,0.0,1.0,1782624156737.0,1782624156737.0,0.0,0.0,False,1.0,False,0.0,1.0,1.0,28799.772744178772,28799.772744178772,True,,,,,,
session_sequence,2,461,1,1782787799787-3d378a601a2c5,1.0,1.0,0.0,1.0,1782792848362.0,1782792848362.0,0.0,0.0,False,1.0,True,0.0,1.0,1.0,28800.215590000153,28800.215590000153,True,,,,,,
session_sequence,2,461,1,1785676324985-5e18caee0a8448,1.0,1.0,0.0,1.0,1785676360986.0,1785676360986.0,0.0,0.0,False,1.0,True,0.0,1.0,1.0,28800.276009082794,28800.276009082794,True,,,,,,
session_sequence,2,462,1,1785676324985-5e18caee0a8448,1.0,1.0,0.0,1.0,1785676369211.0,1785676369211.0,0.0,0.0,False,1.0,False,0.0,1.0,1.0,28800.304025888443,28800.304025888443,True,,,,,,
session_sequence,2,463,1,1782787886183-6211dd23ee3018,13.0,13.0,0.0,13.0,1782788531811.0,1782788808757.0,276.946,31.683,False,4.0,True,0.0,13.0,13.0,28800.285096883774,28800.38701276779,True,,,,,,
