reason_code,reason_zh,population,population_zh,record_count,worker_count,task_count,geometry_computable_rate,quality_computable_rate,iou_to_gt_mean,iou_to_gt_median,active_time_median_seconds,lead_time_median_seconds,n_corners_median,interpretation
administrative_exclusion,行政退出/行政排除,reason_present,原始码：reason_present,89,1,89,1.0,0.33707865168539325,0.8450870511167781,0.8836370665987056,,5.32,8.0,descriptive subgroup; overlapping reasons and non-random composition
administrative_exclusion,行政退出/行政排除,reason_absent,原始码：reason_absent,2412,25,214,0.9738805970149254,0.2848258706467662,0.890316018779377,0.9228772287921048,128.0,114.849,8.0,descriptive subgroup; overlapping reasons and non-random composition
outside_assignment,任务分配之外的提交,reason_present,原始码：reason_present,9,3,8,0.8888888888888888,0.8888888888888888,0.9204286335649104,0.9522940180730535,,79.92,8.0,descriptive subgroup; overlapping reasons and non-random composition
outside_assignment,任务分配之外的提交,reason_absent,原始码：reason_absent,2492,26,214,0.9751203852327448,0.2845104333868379,0.8880624645506574,0.9209814704942724,128.0,110.1,8.0,descriptive subgroup; overlapping reasons and non-random composition
formal_assignment_ineligible,正式分配资格不足,reason_present,原始码：reason_present,9,3,8,0.8888888888888888,0.8888888888888888,0.9204286335649104,0.9522940180730535,,79.92,8.0,descriptive subgroup; overlapping reasons and non-random composition
formal_assignment_ineligible,正式分配资格不足,reason_absent,原始码：reason_absent,2492,26,214,0.9751203852327448,0.2845104333868379,0.8880624645506574,0.9209814704942724,128.0,110.1,8.0,descriptive subgroup; overlapping reasons and non-random composition
independence_ineligible,独立性条件不足,reason_present,原始码：reason_present,41,4,38,0.975609756097561,0.926829268292683,0.8609484368953324,0.8981683328917186,,6.139,8.0,descriptive subgroup; overlapping reasons and non-random composition
independence_ineligible,独立性条件不足,reason_absent,原始码：reason_absent,2460,26,214,0.9747967479674797,0.2760162601626016,0.8899612309763074,0.9225406807050068,128.0,111.9525,8.0,descriptive subgroup; overlapping reasons and non-random composition
scope_oos_or_ineligible,范围外或 Scope 不满足,reason_present,原始码：reason_present,53,23,8,0.9622641509433962,0.0,,,130.0,129.42,8.0,descriptive subgroup; overlapping reasons and non-random composition
scope_oos_or_ineligible,范围外或 Scope 不满足,reason_absent,原始码：reason_absent,2448,26,206,0.9750816993464052,0.2928921568627451,0.8884235933541638,0.9220021340576195,127.5,109.0775,8.0,descriptive subgroup; overlapping reasons and non-random composition
geometry_not_computable,几何不可计算,reason_present,原始码：reason_present,66,16,46,0.045454545454545456,0.045454545454545456,0.8198084300880194,0.8548740206685173,155.0,24.287,4.5,descriptive subgroup; overlapping reasons and non-random composition
geometry_not_computable,几何不可计算,reason_absent,原始码：reason_absent,2435,26,214,1.0,0.29322381930184804,0.8887118923594837,0.9221165981950712,127.0,111.199,8.0,descriptive subgroup; overlapping reasons and non-random composition
quality_not_computable,GT/质量指标不可计算,reason_present,原始码：reason_present,1784,26,142,0.9658071748878924,0.0,,,136.0,104.92,8.0,descriptive subgroup; overlapping reasons and non-random composition
quality_not_computable,GT/质量指标不可计算,reason_absent,原始码：reason_absent,717,23,79,0.99721059972106,1.0,0.8884235933541638,0.9220021340576195,113.0,116.036,8.0,descriptive subgroup; overlapping reasons and non-random composition
active_time_not_computable,Active time 不可计算,reason_present,原始码：reason_present,432,12,112,0.9189814814814815,0.1712962962962963,0.8626317585454152,0.8868949449425721,,95.7485,8.0,descriptive subgroup; overlapping reasons and non-random composition
active_time_not_computable,Active time 不可计算,reason_absent,原始码：reason_absent,2069,24,214,0.9864668922184631,0.3107781536974384,0.8913918605016713,0.9244697498828542,128.0,111.978,8.0,descriptive subgroup; overlapping reasons and non-random composition
manual_only_no_semi_candidate,只有 Manual、没有 Semi 候选,reason_present,原始码：reason_present,539,23,62,0.9944341372912802,0.9461966604823747,0.8749521120748854,0.9108001006065574,122.0,126.748,8.0,descriptive subgroup; overlapping reasons and non-random composition
manual_only_no_semi_candidate,只有 Manual、没有 Semi 候选,reason_absent,原始码：reason_absent,1962,26,152,0.9694189602446484,0.10550458715596331,0.9216141994045596,0.9358440003082998,130.0,104.42850000000001,8.0,descriptive subgroup; overlapping reasons and non-random composition
historical_retained_worker,历史状态工人但仍保留,reason_present,原始码：reason_present,179,2,108,0.994413407821229,0.33519553072625696,0.8986418661180189,0.9496325306195108,163.0,72.931,8.0,descriptive subgroup; overlapping reasons and non-random composition
historical_retained_worker,历史状态工人但仍保留,reason_absent,原始码：reason_absent,2322,24,214,0.9732988802756245,0.28294573643410853,0.8874904177592912,0.9197563472964072,124.0,113.1115,8.0,descriptive subgroup; overlapping reasons and non-random composition
noncanonical_or_raw_only_role,非 canonical 或仅 raw 可审计记录,reason_present,原始码：reason_present,0,0,0,,,,,,,,descriptive subgroup; overlapping reasons and non-random composition
noncanonical_or_raw_only_role,非 canonical 或仅 raw 可审计记录,reason_absent,原始码：reason_absent,2501,26,214,0.9748100759696121,0.2866853258696521,0.8884235933541638,0.9220021340576195,128.0,110.061,8.0,descriptive subgroup; overlapping reasons and non-random composition
