predictor,outcome,predictor_duplicate_alias,task_count,building_count,rank_effect_spearman,effect_rank_transformed,effect,cluster_bootstrap_rank_ci_lower,cluster_bootstrap_rank_ci_upper,ci_lower,ci_upper,wild_cluster_exact_or_mc_p,p_value,inference_unit,q_bh_global_unique,q_bh_within_outcome_unique,q_bh_global_unique_predictors,q_bh_within_outcome_unique_predictors
mean_luma,delta_shannon_entropy,False,25,9,-0.267621431596806,-0.267621431596806,-0.267621431596806,-0.6200269472067278,0.046069809267596656,-0.6200269472067278,0.046069809267596656,0.125,0.125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.59375,0.738671875,0.59375
mean_luma,delta_gini_simpson,False,25,9,-0.2711496084506061,-0.2711496084506061,-0.2711496084506061,-0.6306785979176753,0.03603842857945676,-0.6306785979176753,0.03603842857945676,0.1640625,0.1640625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.5859375,0.738671875,0.5859375
mean_luma,delta_largest_mode_share,False,25,9,0.28184892278789225,0.28184892278789225,0.28184892278789225,-0.05216270531767204,0.6545919060063787,-0.05216270531767204,0.6545919060063787,0.1328125,0.1328125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.546875,0.738671875,0.546875
mean_luma,delta_supported_multimodality,False,25,9,-0.287464172495481,-0.287464172495481,-0.287464172495481,-0.6264284353049575,0.02330578327564141,-0.6264284353049575,0.02330578327564141,0.12109375,0.12109375,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.2119140625,0.738671875,0.2119140625
mean_luma,delta_pairwise_metric_dissimilarity_all,False,25,9,-0.18923076923076923,-0.18923076923076923,-0.18923076923076923,-0.6638445626477542,0.2769085351907169,-0.6638445626477542,0.2769085351907169,0.42578125,0.42578125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.833984375,0.738671875,0.833984375
mean_luma,delta_quality_iou,False,22,9,0.5561829474872955,0.5561829474872955,0.5561829474872955,0.2528788798491743,0.7664011457173938,0.2528788798491743,0.7664011457173938,0.01171875,0.01171875,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.60546875,0.08203125,0.60546875,0.08203125
mean_luma,edit_rate,False,25,9,0.05233305650412706,0.05233305650412706,0.05233305650412706,-0.33147591518267905,0.4149082822221899,-0.33147591518267905,0.4149082822221899,0.828125,0.828125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.9007675438596491,0.828125,0.9007675438596491,0.828125
mean_luma,edit_rmse_mean,False,21,9,-0.14853498994887981,-0.14853498994887981,-0.14853498994887981,-0.6704306362696586,0.2699478752063534,-0.6704306362696586,0.2699478752063534,0.62890625,0.62890625,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.8123372395833334,0.8296875,0.8123372395833334,0.8296875
mean_luma,delta_metric_mean,False,21,9,0.09090909090909091,0.09090909090909091,0.09090909090909091,-0.3457016333103289,0.453632889078606,-0.3457016333103289,0.453632889078606,0.703125,0.703125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.8383413461538461,0.8795572916666666,0.8383413461538461,0.8795572916666666
horizontal_gradient_mean_wrap,delta_shannon_entropy,False,25,9,0.12241846149522007,0.12241846149522007,0.12241846149522007,-0.16577200196040842,0.4738953265387664,-0.16577200196040842,0.4738953265387664,0.453125,0.453125,"building_cluster; rank(x), rank(y); exact signflip when clusters <= 12",0.738671875,0.59375,0.738671875,0.59375
