base_task_id,meta_group,manual_mean_pairwise_jaccard_disagreement,oos_mean_pairwise_jaccard_disagreement,semi_mean_pairwise_jaccard_disagreement,manual_modal_response_share,oos_modal_response_share,semi_modal_response_share,manual_response_pattern_entropy,oos_response_pattern_entropy,semi_response_pattern_entropy,manual_response_version_count,oos_response_version_count,semi_response_version_count,manual_worker_count,oos_worker_count,semi_worker_count,delta_response_pattern_entropy,delta_mean_pairwise_jaccard_disagreement,delta_modal_response_share
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,difficulty,0.5333333333333333,,0.6666666666666666,0.6666666666666666,,0.5,0.6365141682948128,,0.6931471805599453,6.0,,4.0,6.0,,4.0,0.05663301226513251,0.1333333333333333,-0.16666666666666663
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,scope,0.0,,0.0,1.0,,1.0,-0.0,,-0.0,6.0,,4.0,6.0,,4.0,0.0,0.0,0.0
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,difficulty,0.2,,0.3333333333333333,0.8,,0.75,0.5004024235381879,,0.5623351446188083,5.0,,4.0,5.0,,4.0,0.06193272108062042,0.1333333333333333,-0.050000000000000044
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,scope,0.7,,0.5,0.6,,0.75,0.9502705392332347,,0.5623351446188083,5.0,,4.0,5.0,,4.0,-0.3879353946144264,-0.19999999999999996,0.15000000000000002
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,difficulty,0.9166666666666667,,0.7666666666666666,0.2,,0.5,1.6094379124341005,,1.0397207708399179,5.0,,4.0,5.0,,4.0,-0.5697171415941826,-0.15000000000000013,0.3
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,scope,0.4,,0.5,0.8,,0.75,0.5004024235381879,,0.5623351446188083,5.0,,4.0,5.0,,4.0,0.06193272108062042,0.09999999999999998,-0.050000000000000044
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,difficulty,0.55,,0.5,0.6,,0.75,0.9502705392332347,,0.5623351446188083,5.0,,4.0,5.0,,4.0,-0.3879353946144264,-0.050000000000000044,0.15000000000000002
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,scope,0.0,,0.5,1.0,,0.75,-0.0,,0.5623351446188083,5.0,,4.0,5.0,,4.0,0.5623351446188083,0.5,-0.25
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,difficulty,0.8200000000000001,,0.7777777777777778,0.3333333333333333,,0.25,1.329661348854758,,1.3862943611198906,6.0,,4.0,6.0,,4.0,0.05663301226513262,-0.04222222222222227,-0.08333333333333331
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,scope,0.6,,0.0,0.6666666666666666,,1.0,0.8675632284814612,,-0.0,6.0,,4.0,6.0,,4.0,-0.8675632284814612,-0.6,0.33333333333333337
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,difficulty,0.6000000000000001,,0.6944444444444445,0.4,,0.25,1.0549201679861442,,1.3862943611198906,5.0,,4.0,5.0,,4.0,0.3313741931337464,0.09444444444444444,-0.15000000000000002
UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,scope,0.8,,0.5,0.4,,0.75,1.0549201679861442,,0.5623351446188083,5.0,,4.0,5.0,,4.0,-0.4925850233673359,-0.30000000000000004,0.35
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,difficulty,0.6222222222222222,,0.25,0.3333333333333333,,0.75,1.3296613488547582,,0.5623351446188083,6.0,,4.0,6.0,,4.0,-0.7673262042359499,-0.37222222222222223,0.4166666666666667
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,scope,0.7333333333333333,,0.0,0.5,,1.0,1.0114042647073516,,-0.0,6.0,,4.0,6.0,,4.0,-1.0114042647073516,-0.7333333333333333,0.5
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,difficulty,0.6,,0.75,0.6,,0.5,0.6730116670092565,,1.0397207708399179,5.0,,4.0,5.0,,4.0,0.36670910383066135,0.15000000000000002,-0.09999999999999998
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,scope,0.4,,0.0,0.8,,1.0,0.5004024235381879,,-0.0,5.0,,4.0,5.0,,4.0,-0.5004024235381879,-0.4,0.19999999999999996
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,difficulty,0.4,,0.5,0.8,,0.75,0.5004024235381879,,0.5623351446188083,5.0,,4.0,5.0,,4.0,0.06193272108062042,0.09999999999999998,-0.050000000000000044
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,scope,0.4,,0.0,0.8,,1.0,0.5004024235381879,,-0.0,5.0,,4.0,5.0,,4.0,-0.5004024235381879,-0.4,0.19999999999999996
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,difficulty,0.55,,0.6,0.6,,0.6,0.9502705392332347,,0.6730116670092565,5.0,,5.0,5.0,,5.0,-0.27725887222397816,0.04999999999999993,0.0
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,scope,0.4,,0.0,0.8,,1.0,0.5004024235381879,,-0.0,5.0,,5.0,5.0,,5.0,-0.5004024235381879,-0.4,0.19999999999999996
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,difficulty,0.4,,0.5,0.8,,0.75,0.5004024235381879,,0.5623351446188083,5.0,,4.0,5.0,,4.0,0.06193272108062042,0.09999999999999998,-0.050000000000000044
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,scope,0.0,,0.6666666666666666,1.0,,0.5,-0.0,,0.6931471805599453,5.0,,4.0,5.0,,4.0,0.6931471805599453,0.6666666666666666,-0.5
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,difficulty,0.0,,0.25,1.0,,0.75,-0.0,,0.5623351446188083,6.0,,4.0,6.0,,4.0,0.5623351446188083,0.25,-0.25
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,scope,0.0,,0.5,1.0,,0.75,-0.0,,0.5623351446188083,6.0,,4.0,6.0,,4.0,0.5623351446188083,0.5,-0.25
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,difficulty,0.8333333333333334,,0.6,0.4,,0.6,1.3321790402101223,,0.6730116670092565,5.0,,5.0,5.0,,5.0,-0.6591673732008658,-0.2333333333333334,0.19999999999999996
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,scope,0.4,,0.0,0.8,,1.0,0.5004024235381879,,-0.0,5.0,,5.0,5.0,,5.0,-0.5004024235381879,-0.4,0.19999999999999996
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,difficulty,0.3333333333333333,,0.75,0.8333333333333334,,0.5,0.45056120886630463,,1.0397207708399179,6.0,,4.0,6.0,,4.0,0.5891595619736132,0.4166666666666667,-0.33333333333333337
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,scope,0.3333333333333333,,0.0,0.8333333333333334,,1.0,0.45056120886630463,,-0.0,6.0,,4.0,6.0,,4.0,-0.45056120886630463,-0.3333333333333333,0.16666666666666663
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,difficulty,0.55,,0.8333333333333334,0.6,,0.5,0.9502705392332347,,1.0397207708399179,5.0,,4.0,5.0,,4.0,0.0894502316066832,0.2833333333333333,-0.09999999999999998
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,scope,0.0,,0.0,1.0,,1.0,-0.0,,-0.0,5.0,,4.0,5.0,,4.0,0.0,0.0,0.0
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,difficulty,0.7916666666666667,,0.55,0.4,,0.6,1.3321790402101223,,0.9502705392332347,5.0,,5.0,5.0,,5.0,-0.38190850097688767,-0.2416666666666667,0.19999999999999996
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,scope,0.0,,0.0,1.0,,1.0,-0.0,,-0.0,5.0,,5.0,5.0,,5.0,0.0,0.0,0.0
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,difficulty,0.0,,0.5,1.0,,0.75,-0.0,,0.5623351446188083,6.0,,4.0,6.0,,4.0,0.5623351446188083,0.5,-0.25
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,scope,0.0,,0.6666666666666666,1.0,,0.5,-0.0,,0.6931471805599453,6.0,,4.0,6.0,,4.0,0.6931471805599453,0.6666666666666666,-0.5
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,difficulty,0.6,,0.6,0.6,,0.6,0.6730116670092565,,0.6730116670092565,5.0,,5.0,5.0,,5.0,0.0,0.0,0.0
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,scope,0.0,,0.0,1.0,,1.0,-0.0,,-0.0,5.0,,5.0,5.0,,5.0,0.0,0.0,0.0
uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,difficulty,0.55,,0.6666666666666666,0.6,,0.5,0.9502705392332347,,1.0397207708399179,5.0,,4.0,5.0,,4.0,0.0894502316066832,0.11666666666666659,-0.09999999999999998
uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,scope,0.4,,0.6666666666666666,0.8,,0.5,0.5004024235381879,,0.6931471805599453,5.0,,4.0,5.0,,4.0,0.19274475702175742,0.2666666666666666,-0.30000000000000004
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,difficulty,0.45000000000000007,,0.6666666666666666,0.5,,0.5,1.242453324894,,0.6931471805599453,6.0,,4.0,6.0,,4.0,-0.5493061443340547,0.21666666666666656,0.0
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,scope,0.0,,0.0,1.0,,1.0,-0.0,,-0.0,6.0,,4.0,6.0,,4.0,0.0,0.0,0.0
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,difficulty,0.6428571428571429,,0.0,0.42857142857142855,,1.0,1.0042424730540764,,-0.0,7.0,,5.0,7.0,,5.0,-1.0042424730540764,-0.6428571428571429,0.5714285714285714
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,scope,0.0,,0.0,1.0,,1.0,-0.0,,-0.0,7.0,,5.0,7.0,,5.0,0.0,0.0,0.0
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,difficulty,0.55,,0.6666666666666666,0.6,,0.5,0.9502705392332347,,1.0397207708399179,5.0,,4.0,5.0,,4.0,0.0894502316066832,0.11666666666666659,-0.09999999999999998
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,scope,0.0,,0.0,1.0,,1.0,-0.0,,-0.0,5.0,,4.0,5.0,,4.0,0.0,0.0,0.0
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,difficulty,0.7,,0.5,0.6,,0.75,0.9502705392332347,,0.5623351446188083,5.0,,4.0,5.0,,4.0,-0.3879353946144264,-0.19999999999999996,0.15000000000000002
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,scope,0.0,,0.0,1.0,,1.0,-0.0,,-0.0,5.0,,4.0,5.0,,4.0,0.0,0.0,0.0
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,difficulty,0.4,,0.4,0.8,,0.8,0.5004024235381879,,0.5004024235381879,5.0,,5.0,5.0,,5.0,0.0,0.0,0.0
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,scope,0.0,,0.4,1.0,,0.8,-0.0,,0.5004024235381879,5.0,,5.0,5.0,,5.0,0.5004024235381879,0.4,-0.19999999999999996
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,difficulty,0.65,,0.0,0.6,,1.0,0.9502705392332347,,-0.0,5.0,,4.0,5.0,,4.0,-0.9502705392332347,-0.65,0.4
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,scope,0.4,,0.0,0.8,,1.0,0.5004024235381879,,-0.0,5.0,,4.0,5.0,,4.0,-0.5004024235381879,-0.4,0.19999999999999996
