stage,stage_zh,scenario,support_band,task_count,strong_at_all_thresholds_count,strong_at_all_thresholds_rate,strong_at_any_threshold_count,strong_at_any_threshold_rate,not_evaluable_at_any_threshold_count,not_evaluable_at_any_threshold_rate,status,status_zh
Calibration,原始码：Calibration,current20_frozen_geometry_pool,all_k_ge_5,50,7,0.14,13,0.26,9,0.18,development_threshold_robustness,原始码：development_threshold_robustness
Calibration,原始码：Calibration,current20_frozen_geometry_pool,cap5_only,38,5,0.131578947368421,5,0.131578947368421,3,0.0789473684210526,development_threshold_robustness,原始码：development_threshold_robustness
Calibration,原始码：Calibration,current20_frozen_geometry_pool,high_support_k_ge_20,12,2,0.1666666666666666,8,0.6666666666666666,6,0.5,development_threshold_robustness,原始码：development_threshold_robustness
Calibration,原始码：Calibration,frozen_geometry_pool,all_k_ge_5,78,14,0.1794871794871795,21,0.2692307692307692,10,0.1282051282051282,development_threshold_robustness,原始码：development_threshold_robustness
Calibration,原始码：Calibration,frozen_geometry_pool,cap5_only,66,12,0.1818181818181818,13,0.1969696969696969,5,0.0757575757575757,development_threshold_robustness,原始码：development_threshold_robustness
Calibration,原始码：Calibration,frozen_geometry_pool,high_support_k_ge_20,12,2,0.1666666666666666,8,0.6666666666666666,5,0.4166666666666667,development_threshold_robustness,原始码：development_threshold_robustness
PreScreen,原始码：PreScreen,c1_eligible_chinese,all_k_ge_5,29,4,0.1379310344827586,10,0.3448275862068966,4,0.1379310344827586,development_threshold_robustness,原始码：development_threshold_robustness
PreScreen,原始码：PreScreen,c1_eligible_chinese,intermediate_k6_to_19,29,4,0.1379310344827586,10,0.3448275862068966,4,0.1379310344827586,development_threshold_robustness,原始码：development_threshold_robustness
PreScreen,原始码：PreScreen,c1_eligible_combined,all_k_ge_5,29,4,0.1379310344827586,13,0.4482758620689655,12,0.4137931034482758,development_threshold_robustness,原始码：development_threshold_robustness
PreScreen,原始码：PreScreen,c1_eligible_combined,high_support_k_ge_20,29,4,0.1379310344827586,13,0.4482758620689655,12,0.4137931034482758,development_threshold_robustness,原始码：development_threshold_robustness
PreScreen,原始码：PreScreen,c1_eligible_english,all_k_ge_5,29,4,0.1379310344827586,11,0.3793103448275862,11,0.3793103448275862,development_threshold_robustness,原始码：development_threshold_robustness
PreScreen,原始码：PreScreen,c1_eligible_english,intermediate_k6_to_19,29,4,0.1379310344827586,11,0.3793103448275862,11,0.3793103448275862,development_threshold_robustness,原始码：development_threshold_robustness
PreScreen,原始码：PreScreen,c1_eligible_excluding_copy_risk,all_k_ge_5,29,5,0.1724137931034483,13,0.4482758620689655,10,0.3448275862068966,development_threshold_robustness,原始码：development_threshold_robustness
PreScreen,原始码：PreScreen,c1_eligible_excluding_copy_risk,high_support_k_ge_20,25,5,0.2,10,0.4,7,0.28,development_threshold_robustness,原始码：development_threshold_robustness
PreScreen,原始码：PreScreen,c1_eligible_excluding_copy_risk,intermediate_k6_to_19,4,0,0.0,3,0.75,3,0.75,development_threshold_robustness,原始码：development_threshold_robustness
PreScreen,原始码：PreScreen,current20_combined,all_k_ge_5,29,4,0.1379310344827586,12,0.4137931034482758,11,0.3793103448275862,development_threshold_robustness,原始码：development_threshold_robustness
PreScreen,原始码：PreScreen,current20_combined,high_support_k_ge_20,25,4,0.16,9,0.36,8,0.32,development_threshold_robustness,原始码：development_threshold_robustness
PreScreen,原始码：PreScreen,current20_combined,intermediate_k6_to_19,4,0,0.0,3,0.75,3,0.75,development_threshold_robustness,原始码：development_threshold_robustness
