source_path,record_type,field_path,observed_count,non_null_count,unique_value_count,role,used_in_current_relations,usage_note
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,active_seconds,442,442,87,timing,False,raw_preserved_not_primary_active_time
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,active_seconds_fragment,442,442,70,timing,True,raw_preserved_not_primary_active_time
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,active_time_alias_from,409,4,2,timing,False,raw_preserved_not_primary_active_time
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,active_time_alias_reason,409,4,1,timing,False,raw_preserved_not_primary_active_time
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,active_time_key,409,409,99,timing,False,raw_preserved_not_primary_active_time
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,annotation_id,409,409,68,identity,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,annotation_id_source,409,409,3,provenance_or_other,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,annotation_match_status,409,409,2,provenance_or_other,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,annotator_id,442,442,4,identity,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,foreign_https_script_version,83,83,2,provenance_or_other,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,is_manual_flush,442,442,2,provenance_or_other,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,late_binding_status,409,7,3,provenance_or_other,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,page_type,442,442,1,provenance_or_other,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,project_id,442,442,13,identity,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,project_id_source,409,409,1,provenance_or_other,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,project_name,442,442,9,provenance_or_other,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,script_version,442,442,2,provenance_or_other,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,selected_annotation_id,409,159,71,provenance_or_other,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,selected_annotation_owner_id,409,159,6,provenance_or_other,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,selected_annotation_owner_source,409,159,1,provenance_or_other,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,server_received_at,442,442,442,provenance_or_other,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,session_id,442,442,7,identity,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,task_id,442,442,35,identity,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,task_id_source,409,409,2,provenance_or_other,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-03.jsonl,active_log_event,timestamp,442,442,426,timing,False,raw_preserved_not_primary_active_time
active_logs/c1/active_times_2026-07-04.jsonl,active_log_event,active_seconds,951,951,443,timing,False,raw_preserved_not_primary_active_time
active_logs/c1/active_times_2026-07-04.jsonl,active_log_event,active_seconds_fragment,951,951,355,timing,True,raw_preserved_not_primary_active_time
active_logs/c1/active_times_2026-07-04.jsonl,active_log_event,active_time_alias_from,949,7,6,timing,False,raw_preserved_not_primary_active_time
active_logs/c1/active_times_2026-07-04.jsonl,active_log_event,active_time_alias_reason,949,7,1,timing,False,raw_preserved_not_primary_active_time
active_logs/c1/active_times_2026-07-04.jsonl,active_log_event,active_time_key,949,949,174,timing,False,raw_preserved_not_primary_active_time
active_logs/c1/active_times_2026-07-04.jsonl,active_log_event,annotation_id,949,949,141,identity,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-04.jsonl,active_log_event,annotation_id_source,949,949,3,provenance_or_other,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-04.jsonl,active_log_event,annotation_match_status,949,949,2,provenance_or_other,False,raw_preserved_for_objective_scan
active_logs/c1/active_times_2026-07-04.jsonl,active_log_event,annotator_id,951,951,4,identity,False,raw_preserved_for_objective_scan
