time_metric,time_value_seconds,within_stage_mode_percentile,stage,stage_zh,condition,condition_zh,base_task_id,building_id,worker_id,annotation_id,canonical_annotation_id,active_time_lane,lead_time_lane,active_time_source,active_time_source_file,timing_status,active_to_lead_ratio,assignment_provenance,worker_status_class,source_artifact,model_lane,status,status_zh,outcome,term,log_scale_estimate,standard_error,ci_lower,ci_upper,multiplicative_ratio_exp_beta,p_value,n_rows,worker_count,task_count,building_count,covariance,formula,interpretation
active_time,5522.0,1.0,C1,校准一阶段,semi,模型预标注辅助,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,wc2JMjhGNzB,27.0,5816.0,b5e0d24f44539999b6ed,formal_frozen,label_studio_elapsed_observed,c1_task_worker_active_time_v1,,eligible,1.0266161675128227,original_assignment,historical_retained,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_annotations.csv,,,,,,,,,,,,,,,,,,
active_time,4389.0,1.0,C1,校准一阶段,manual,纯人工,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY,36.0,6013.0,b93da0bbe5ffb848a0c6,formal_frozen,label_studio_elapsed_observed,c1_task_worker_active_time_v1,,eligible,0.9294932070120512,original_assignment,observed_worker,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_annotations.csv,,,,,,,,,,,,,,,,,,
active_time,4008.0,1.0,P1,预筛,manual,纯人工,q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,36.0,4611.0,680d9cdf96eaadf7,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-27.jsonl,project+task+annotator,0.879875289532316,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,,
active_time,3474.0,1.0,C2-A-RP-B2,校准二阶段风险精度块二,manual,纯人工,jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,jtcxE69GiFV,36.0,6801.0,f9644fa62fdb22170582,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-08-11.jsonl,auxiliary_available,1.0236774773569557,not_recorded,observed_worker,analysis_results/c2a_rp_block2_reestimate_20260814_v1/c2a_rp_block2_canonical_submissions.csv,,,,,,,,,,,,,,,,,,
active_time,3447.0,0.998330550918197,P1,预筛,manual,纯人工,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,36.0,4529.0,1b8adc7d1227c62b,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-21.jsonl;active_times_2026-06-23.jsonl;active_times_2026-06-24.jsonl;active_times_2026-06-26.jsonl;active_times_2026-06-28.jsonl,project+task+annotator,0.863354976902061,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,,
active_time,2486.0,1.0,C2-A-RP-B1,校准二阶段风险精度块一,manual,纯人工,jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,jtcxE69GiFV,36.0,6746.0,adb6425249fda2c7f4fb,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-08-07.jsonl,auxiliary_available,0.944406877531018,not_recorded,observed_worker,analysis_results/c2a_rp_block1_reestimate_20260810_v1/c2a_rp_block1_canonical_submissions.csv,,,,,,,,,,,,,,,,,,
active_time,2455.0,0.996661101836394,P1,预筛,manual,纯人工,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,36.0,4601.0,63f4a9a7ba3739c1,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-26.jsonl,project+task+annotator,0.939753566374354,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,,
active_time,2334.0,1.0,C2-B,校准二阶段B,manual,纯人工,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,37.0,6639.0,9f1b2668af9bbb8c27ab,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-08-04.jsonl,auxiliary_mixed_or_legacy,0.939290598159892,not_recorded,observed_worker,analysis_results/c2b_closeout_20260806_final/c2b_canonical_submissions.csv,,,,,,,,,,,,,,,,,,
active_time,2329.0,0.994991652754591,P1,预筛,manual,纯人工,uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,uNb9QFRL6hY,36.0,4678.0,43b2e89e9fd7c38f,formal_frozen,label_studio_elapsed_observed,log,active_times_2026-06-28.jsonl,project+task+annotator,0.9092335812872,not_recorded,observed_worker,analysis_results/prescreen_closeout_final_gold_v2_20260701/prescreen_canonical_annotations.csv,,,,,,,,,,,,,,,,,,
active_time,2244.0,0.99835255354201,C1,校准一阶段,manual,纯人工,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,yqstnuAEVhm,36.0,6098.0,a1f8bda6422774a397a9,formal_frozen,label_studio_elapsed_observed,c1_task_worker_active_time_v1,,eligible,0.9764919569960602,original_assignment,observed_worker,analysis_results/c1_formal_audit_20260802_v16_final/c1_formal_audit_20260802_7fcacc5c2d6c_bf5def46_6bc67c03/c1_canonical_annotations.csv,,,,,,,,,,,,,,,,,,
