base_task_id,building_id,stage,quality_eligible_k,individual_quality_mean,individual_quality_median,individual_quality_q25,individual_quality_q75,individual_quality_min,individual_quality_max
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,P1,16,0.973690865,0.975798265,0.9690357350000001,0.9869110075,0.92347931,0.99502672
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,P1,17,0.8639120805882352,0.89285177,0.84187487,0.91961425,0.64304724,0.99173216
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,P1,18,0.7817031877777778,0.7692997850000001,0.7021871024999999,0.8628499125,0.65880583,0.97727016
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,P1,17,0.6641004182352941,0.65672456,0.575,0.75280453,0.47818767,0.98715307
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,P1,17,0.8281455276470587,0.81609033,0.7754671,0.83416672,0.75495851,0.99625071
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,P1,17,0.8714820435294117,0.88363368,0.83472588,0.90165845,0.78866758,0.99154546
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1,22,0.9666320581558243,0.9790562406352536,0.9639985655575125,0.984395156256502,0.8420532582382293,0.9997067030913495
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,P1,18,0.963311157777778,0.97156973,0.9598081425,0.9793073050000001,0.87499014,0.99608959
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,P1,19,0.8102428042105262,0.84047341,0.73128053,0.861207045,0.65385682,0.99322521
q9vSo1VnCiC_2a8ef249ec0e4ad5bfe138a65f50964e,q9vSo1VnCiC,P1,17,0.9729298752941176,0.97532685,0.9649152,0.97938857,0.94013522,0.99576544
q9vSo1VnCiC_9c9fb1fccf4e46a597a9510a1938c8b4,q9vSo1VnCiC,P1,20,0.7728415254999998,0.766615245,0.7502965775,0.7844379125000001,0.57584153,0.99176478
q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,q9vSo1VnCiC,P1,18,0.9572468266666666,0.960495,0.9551402675,0.97542887,0.89297943,0.99236106
q9vSo1VnCiC_e74e843601574864a14517f990c748a0,q9vSo1VnCiC,P1,18,0.9330364377777778,0.944535145,0.91991147,0.966583335,0.82589784,0.99297997
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,C1,22,0.9782594023386779,0.9799452045732262,0.9694356358153526,0.9869165391559581,0.9518942317177191,0.9989206153399608
rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,rPc6DW4iMge,P1,19,0.8751710010526317,0.86913842,0.8537288599999999,0.88262297,0.82446504,0.9951561
rPc6DW4iMge_1f14902595544e389c9c910c444e79e7,rPc6DW4iMge,P1,13,0.9397349253846154,0.94906882,0.94393226,0.95842029,0.81095875,0.99752254
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,C1,22,0.9539837726196138,0.9659402496300429,0.9364041026759286,0.9737062615819823,0.8596645272124264,1.0
rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,P1,15,0.9368526673333334,0.96537951,0.94864982,0.980443,0.71554933,0.99401125
rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge,P1,18,0.8128780755555556,0.83587603,0.7364415325,0.8675017125,0.66518477,0.99541864
uNb9QFRL6hY_07a43087f1e54e3f828851d8e457a283,uNb9QFRL6hY,P1,18,0.9025666433333333,0.91863439,0.9011796975,0.9448226725,0.73597168,0.9994023
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,C1,22,0.947756891432537,0.9593982867887736,0.943107086757832,0.9694118210489794,0.7771522091941866,0.9875788677928649
