image_id,design,training_stratum_available,field,value,building
2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,within_coarse,True,scene_category,厨房与用餐,2t7WUuJeko7
2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,within_coarse,True,scene_category,厨房与用餐,2t7WUuJeko7
2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,within_coarse,True,scene_category,厨房与用餐,2t7WUuJeko7
2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,within_coarse,True,scene_category,厨房与用餐,2t7WUuJeko7
2t7WUuJeko7_edc7b2c25f054ce8992ae3fb66e80881,within_coarse,True,scene_category,厨房与用餐,2t7WUuJeko7
7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,within_coarse,False,scene_category,开放复合空间,7y3sRwLe3Va
7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861,within_coarse,False,scene_category,开放复合空间,7y3sRwLe3Va
7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b,within_coarse,False,scene_category,开放复合空间,7y3sRwLe3Va
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,within_coarse,False,scene_category,开放复合空间,7y3sRwLe3Va
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,within_coarse,False,scene_category,通行与连接,B6ByNegPMKs
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,within_coarse,False,scene_category,通行与连接,B6ByNegPMKs
B6ByNegPMKs_dbc3c79b1ce74d209239b1572bd249bb,within_coarse,False,scene_category,通行与连接,B6ByNegPMKs
S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636,within_coarse,True,scene_category,卧室,S9hNv5qa7GM
S9hNv5qa7GM_674b3b6705604a4c8b89182edee11e54,within_coarse,True,scene_category,卧室,S9hNv5qa7GM
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,within_coarse,True,scene_category,卧室,S9hNv5qa7GM
S9hNv5qa7GM_dbcf0a37c275473094e1160770291679,within_coarse,True,scene_category,卧室,S9hNv5qa7GM
S9hNv5qa7GM_e5e6c99e38014827b50ad33cd22e3c9d,within_coarse,True,scene_category,卧室,S9hNv5qa7GM
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,within_coarse,True,scene_category,卫浴,VFuaQ6m2Qom
VFuaQ6m2Qom_24d1e0ee55a542b68d600b81eae4f4d4,within_coarse,True,scene_category,卫浴,VFuaQ6m2Qom
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,within_coarse,True,scene_category,卫浴,VFuaQ6m2Qom
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,within_coarse,True,scene_category,卫浴,VFuaQ6m2Qom
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,within_coarse,True,scene_category,卫浴,VFuaQ6m2Qom
VFuaQ6m2Qom_f75a440593bb4140b899730917096859,within_coarse,True,scene_category,卫浴,VFuaQ6m2Qom
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,within_coarse,True,scene_category,厨房与用餐,Z6MFQCViBuw
Z6MFQCViBuw_543e6efcc1e24215b18c4060255a9719,within_coarse,True,scene_category,厨房与用餐,Z6MFQCViBuw
Z6MFQCViBuw_bc4ec1f735f3446aa4b56165d9508b45,within_coarse,True,scene_category,厨房与用餐,Z6MFQCViBuw
Z6MFQCViBuw_d9913cc77dc14f17b7228ac8de469b06,within_coarse,True,scene_category,厨房与用餐,Z6MFQCViBuw
e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,within_coarse,True,scene_category,卧室,e9zR4mvMWw7
e9zR4mvMWw7_192fb2a16486430a96b34dffc2e8cbbc,within_coarse,True,scene_category,卧室,e9zR4mvMWw7
e9zR4mvMWw7_1cbe7276fcee411c8695f5f11ac45eb5,within_coarse,True,scene_category,卧室,e9zR4mvMWw7
e9zR4mvMWw7_1f8ee74dbb254dff85771776279eae94,within_coarse,True,scene_category,复合／待定,e9zR4mvMWw7
e9zR4mvMWw7_2e52341d21b940b5b38a9e26c4cf4200,within_coarse,True,scene_category,卧室,e9zR4mvMWw7
e9zR4mvMWw7_83347153d2184d33869626c6c83318f9,within_coarse,True,scene_category,卧室,e9zR4mvMWw7
