building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,all,bilayout__fc__global,global,3,0.19127671420574188,101,"[47, 38, 16]",ridge,0,0.1,0
2t7WUuJeko7,all,bilayout__fc__global,global,6,0.22495028376579285,101,"[47, 38, 16]",knn,0,0.0,5
2t7WUuJeko7,all,bilayout__fc__global,coarse,3,0.10113967210054398,101,"[47, 38, 16]",ridge,0,0.1,0
2t7WUuJeko7,all,bilayout__fc__global,coarse,6,0.10849928110837936,101,"[47, 38, 16]",knn,0,0.0,5
2t7WUuJeko7,all,bilayout__fc__global,main,0,0.09895052015781403,101,"[47, 38, 16]",ridge,0,100.0,0
2t7WUuJeko7,all,bilayout__fc__global,main,6,0.10269314050674438,101,"[47, 38, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,bilayout__fc__global,global,3,0.19224263727664948,102,"[49, 37, 16]",ridge,0,0.1,0
7y3sRwLe3Va,all,bilayout__fc__global,global,6,0.2223527580499649,102,"[49, 37, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,bilayout__fc__global,coarse,3,0.10668575018644333,102,"[49, 37, 16]",ridge,0,0.1,0
7y3sRwLe3Va,all,bilayout__fc__global,coarse,13,0.1258101910352707,102,"[49, 37, 16]",knn,16,0.0,5
7y3sRwLe3Va,all,bilayout__fc__global,main,3,0.09631741046905518,102,"[49, 37, 16]",ridge,0,0.1,0
7y3sRwLe3Va,all,bilayout__fc__global,main,13,0.11690430343151093,102,"[49, 37, 16]",knn,16,0.0,5
B6ByNegPMKs,all,bilayout__fc__global,global,3,0.19475354254245758,103,"[46, 41, 16]",ridge,0,0.1,0
B6ByNegPMKs,all,bilayout__fc__global,global,6,0.22524254024028778,103,"[46, 41, 16]",knn,0,0.0,5
B6ByNegPMKs,all,bilayout__fc__global,coarse,3,0.10990393906831741,103,"[46, 41, 16]",ridge,0,0.1,0
B6ByNegPMKs,all,bilayout__fc__global,coarse,6,0.1289895474910736,103,"[46, 41, 16]",knn,0,0.0,5
B6ByNegPMKs,all,bilayout__fc__global,main,3,0.09787093102931976,103,"[46, 41, 16]",ridge,0,0.1,0
B6ByNegPMKs,all,bilayout__fc__global,main,6,0.11190477758646011,103,"[46, 41, 16]",knn,0,0.0,5
S9hNv5qa7GM,all,bilayout__fc__global,global,3,0.19509927928447723,101,"[44, 41, 16]",ridge,0,0.1,0
S9hNv5qa7GM,all,bilayout__fc__global,global,20,0.2275245636701584,101,"[44, 41, 16]",knn,32,0.0,5
S9hNv5qa7GM,all,bilayout__fc__global,coarse,3,0.11397460103034973,101,"[44, 41, 16]",ridge,0,0.1,0
S9hNv5qa7GM,all,bilayout__fc__global,coarse,6,0.13674581050872803,101,"[44, 41, 16]",knn,0,0.0,5
S9hNv5qa7GM,all,bilayout__fc__global,main,3,0.09932829439640045,101,"[44, 41, 16]",ridge,0,0.1,0
S9hNv5qa7GM,all,bilayout__fc__global,main,6,0.11940959841012955,101,"[44, 41, 16]",knn,0,0.0,5
VFuaQ6m2Qom,all,bilayout__fc__global,global,3,0.15625107288360596,100,"[49, 41, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,all,bilayout__fc__global,global,13,0.2013998180627823,100,"[49, 41, 10]",knn,16,0.0,5
VFuaQ6m2Qom,all,bilayout__fc__global,coarse,3,0.11081137508153915,100,"[49, 41, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,all,bilayout__fc__global,coarse,13,0.13789919018745422,100,"[49, 41, 10]",knn,16,0.0,5
VFuaQ6m2Qom,all,bilayout__fc__global,main,3,0.09753996133804321,100,"[49, 41, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,all,bilayout__fc__global,main,13,0.11835809797048569,100,"[49, 41, 10]",knn,16,0.0,5
Z6MFQCViBuw,all,bilayout__fc__global,global,3,0.17416688799858093,102,"[45, 41, 16]",ridge,0,0.1,0
Z6MFQCViBuw,all,bilayout__fc__global,global,20,0.21039201319217682,102,"[45, 41, 16]",knn,32,0.0,5
Z6MFQCViBuw,all,bilayout__fc__global,coarse,3,0.10457412153482437,102,"[45, 41, 16]",ridge,0,0.1,0
Z6MFQCViBuw,all,bilayout__fc__global,coarse,6,0.1319645494222641,102,"[45, 41, 16]",knn,0,0.0,5
Z6MFQCViBuw,all,bilayout__fc__global,main,3,0.09718341380357742,102,"[45, 41, 16]",ridge,0,0.1,0
Z6MFQCViBuw,all,bilayout__fc__global,main,6,0.12066590785980225,102,"[45, 41, 16]",knn,0,0.0,5
e9zR4mvMWw7,all,bilayout__fc__global,global,3,0.19217641651630402,99,"[42, 41, 16]",ridge,0,0.1,0
e9zR4mvMWw7,all,bilayout__fc__global,global,6,0.21777766942977905,99,"[42, 41, 16]",knn,0,0.0,5
e9zR4mvMWw7,all,bilayout__fc__global,coarse,3,0.10975650697946548,99,"[42, 41, 16]",ridge,0,0.1,0
e9zR4mvMWw7,all,bilayout__fc__global,coarse,13,0.1363154798746109,99,"[42, 41, 16]",knn,16,0.0,5
e9zR4mvMWw7,all,bilayout__fc__global,main,3,0.09523719549179077,99,"[42, 41, 16]",ridge,0,0.1,0
e9zR4mvMWw7,all,bilayout__fc__global,main,13,0.11491180211305618,99,"[42, 41, 16]",knn,16,0.0,5
jtcxE69GiFV,all,bilayout__fc__global,global,3,0.1954861879348755,101,"[49, 36, 16]",ridge,0,0.1,0
jtcxE69GiFV,all,bilayout__fc__global,global,6,0.21445530652999878,101,"[49, 36, 16]",knn,0,0.0,5
jtcxE69GiFV,all,bilayout__fc__global,coarse,7,0.09544898569583893,101,"[49, 36, 16]",ridge,16,100.0,0
jtcxE69GiFV,all,bilayout__fc__global,coarse,6,0.11310143023729324,101,"[49, 36, 16]",knn,0,0.0,5
jtcxE69GiFV,all,bilayout__fc__global,main,0,0.08061793446540833,101,"[49, 36, 16]",ridge,0,100.0,0
jtcxE69GiFV,all,bilayout__fc__global,main,6,0.09526727348566055,101,"[49, 36, 16]",knn,0,0.0,5
pa4otMbVnkk,all,bilayout__fc__global,global,3,0.18904472887516022,100,"[49, 35, 16]",ridge,0,0.1,0
pa4otMbVnkk,all,bilayout__fc__global,global,6,0.22519981861114502,100,"[49, 35, 16]",knn,0,0.0,5
pa4otMbVnkk,all,bilayout__fc__global,coarse,3,0.13134630024433136,100,"[49, 35, 16]",ridge,0,0.1,0
pa4otMbVnkk,all,bilayout__fc__global,coarse,6,0.14601920545101166,100,"[49, 35, 16]",knn,0,0.0,5
pa4otMbVnkk,all,bilayout__fc__global,main,2,0.10398446768522263,100,"[49, 35, 16]",ridge,0,1.0,0
pa4otMbVnkk,all,bilayout__fc__global,main,6,0.11586160957813263,100,"[49, 35, 16]",knn,0,0.0,5
rPc6DW4iMge,all,bilayout__fc__global,global,3,0.18578466773033142,103,"[46, 41, 16]",ridge,0,0.1,0
rPc6DW4iMge,all,bilayout__fc__global,global,6,0.21087364852428436,103,"[46, 41, 16]",knn,0,0.0,5
rPc6DW4iMge,all,bilayout__fc__global,coarse,3,0.11610496789216995,103,"[46, 41, 16]",ridge,0,0.1,0
