building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,all,bilayout__fg_enclosed__global,global,3,0.1628151386976242,101,"[47, 38, 16]",ridge,0,0.1,0
2t7WUuJeko7,all,bilayout__fg_enclosed__global,global,13,0.15801967680454254,101,"[47, 38, 16]",knn,16,0.0,5
2t7WUuJeko7,all,bilayout__fg_enclosed__global,coarse,3,0.09041149169206619,101,"[47, 38, 16]",ridge,0,0.1,0
2t7WUuJeko7,all,bilayout__fg_enclosed__global,coarse,13,0.0828055888414383,101,"[47, 38, 16]",knn,16,0.0,5
2t7WUuJeko7,all,bilayout__fg_enclosed__global,main,3,0.08530847728252411,101,"[47, 38, 16]",ridge,0,0.1,0
2t7WUuJeko7,all,bilayout__fg_enclosed__global,main,13,0.0766410380601883,101,"[47, 38, 16]",knn,16,0.0,5
7y3sRwLe3Va,all,bilayout__fg_enclosed__global,global,1,0.16790688037872314,102,"[49, 37, 16]",ridge,0,10.0,0
7y3sRwLe3Va,all,bilayout__fg_enclosed__global,global,13,0.15490181744098663,102,"[49, 37, 16]",knn,16,0.0,5
7y3sRwLe3Va,all,bilayout__fg_enclosed__global,coarse,3,0.1027175784111023,102,"[49, 37, 16]",ridge,0,0.1,0
7y3sRwLe3Va,all,bilayout__fg_enclosed__global,coarse,13,0.09390424937009811,102,"[49, 37, 16]",knn,16,0.0,5
7y3sRwLe3Va,all,bilayout__fg_enclosed__global,main,3,0.09440697729587555,102,"[49, 37, 16]",ridge,0,0.1,0
7y3sRwLe3Va,all,bilayout__fg_enclosed__global,main,13,0.0844610258936882,102,"[49, 37, 16]",knn,16,0.0,5
B6ByNegPMKs,all,bilayout__fg_enclosed__global,global,0,0.15502306818962097,103,"[46, 41, 16]",ridge,0,100.0,0
B6ByNegPMKs,all,bilayout__fg_enclosed__global,global,13,0.15766975283622742,103,"[46, 41, 16]",knn,16,0.0,5
B6ByNegPMKs,all,bilayout__fg_enclosed__global,coarse,0,0.10308974981307983,103,"[46, 41, 16]",ridge,0,100.0,0
B6ByNegPMKs,all,bilayout__fg_enclosed__global,coarse,13,0.10033450275659561,103,"[46, 41, 16]",knn,16,0.0,5
B6ByNegPMKs,all,bilayout__fg_enclosed__global,main,0,0.0854387953877449,103,"[46, 41, 16]",ridge,0,100.0,0
B6ByNegPMKs,all,bilayout__fg_enclosed__global,main,13,0.08230160921812057,103,"[46, 41, 16]",knn,16,0.0,5
S9hNv5qa7GM,all,bilayout__fg_enclosed__global,global,1,0.17539454996585846,101,"[44, 41, 16]",ridge,0,10.0,0
S9hNv5qa7GM,all,bilayout__fg_enclosed__global,global,13,0.16891075670719147,101,"[44, 41, 16]",knn,16,0.0,5
S9hNv5qa7GM,all,bilayout__fg_enclosed__global,coarse,3,0.11284415423870087,101,"[44, 41, 16]",ridge,0,0.1,0
S9hNv5qa7GM,all,bilayout__fg_enclosed__global,coarse,5,0.1056208536028862,101,"[44, 41, 16]",knn,0,0.0,3
S9hNv5qa7GM,all,bilayout__fg_enclosed__global,main,3,0.0982377752661705,101,"[44, 41, 16]",ridge,0,0.1,0
S9hNv5qa7GM,all,bilayout__fg_enclosed__global,main,5,0.08852802962064743,101,"[44, 41, 16]",knn,0,0.0,3
VFuaQ6m2Qom,all,bilayout__fg_enclosed__global,global,0,0.16279488801956177,100,"[49, 41, 10]",ridge,0,100.0,0
VFuaQ6m2Qom,all,bilayout__fg_enclosed__global,global,12,0.1661108136177063,100,"[49, 41, 10]",knn,16,0.0,3
VFuaQ6m2Qom,all,bilayout__fg_enclosed__global,coarse,3,0.11624939739704132,100,"[49, 41, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,all,bilayout__fg_enclosed__global,coarse,12,0.10937030613422394,100,"[49, 41, 10]",knn,16,0.0,3
VFuaQ6m2Qom,all,bilayout__fg_enclosed__global,main,3,0.10092708468437195,100,"[49, 41, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,all,bilayout__fg_enclosed__global,main,12,0.09403219074010849,100,"[49, 41, 10]",knn,16,0.0,3
Z6MFQCViBuw,all,bilayout__fg_enclosed__global,global,14,0.1597854197025299,102,"[45, 41, 16]",ridge,32,100.0,0
Z6MFQCViBuw,all,bilayout__fg_enclosed__global,global,13,0.15137241780757904,102,"[45, 41, 16]",knn,16,0.0,5
Z6MFQCViBuw,all,bilayout__fg_enclosed__global,coarse,1,0.10922394692897797,102,"[45, 41, 16]",ridge,0,10.0,0
Z6MFQCViBuw,all,bilayout__fg_enclosed__global,coarse,5,0.10358616709709167,102,"[45, 41, 16]",knn,0,0.0,3
Z6MFQCViBuw,all,bilayout__fg_enclosed__global,main,10,0.09901703894138336,102,"[45, 41, 16]",ridge,16,0.1,0
Z6MFQCViBuw,all,bilayout__fg_enclosed__global,main,5,0.09273198246955872,102,"[45, 41, 16]",knn,0,0.0,3
e9zR4mvMWw7,all,bilayout__fg_enclosed__global,global,1,0.17433331906795502,99,"[42, 41, 16]",ridge,0,10.0,0
e9zR4mvMWw7,all,bilayout__fg_enclosed__global,global,13,0.17050498723983765,99,"[42, 41, 16]",knn,16,0.0,5
e9zR4mvMWw7,all,bilayout__fg_enclosed__global,coarse,0,0.11865052580833435,99,"[42, 41, 16]",ridge,0,100.0,0
e9zR4mvMWw7,all,bilayout__fg_enclosed__global,coarse,13,0.11281775683164597,99,"[42, 41, 16]",knn,16,0.0,5
e9zR4mvMWw7,all,bilayout__fg_enclosed__global,main,3,0.09861814230680466,99,"[42, 41, 16]",ridge,0,0.1,0
e9zR4mvMWw7,all,bilayout__fg_enclosed__global,main,13,0.09136426448822021,99,"[42, 41, 16]",knn,16,0.0,5
jtcxE69GiFV,all,bilayout__fg_enclosed__global,global,0,0.16461840271949768,101,"[49, 36, 16]",ridge,0,100.0,0
jtcxE69GiFV,all,bilayout__fg_enclosed__global,global,12,0.15951572358608246,101,"[49, 36, 16]",knn,16,0.0,3
jtcxE69GiFV,all,bilayout__fg_enclosed__global,coarse,0,0.09468523412942886,101,"[49, 36, 16]",ridge,0,100.0,0
jtcxE69GiFV,all,bilayout__fg_enclosed__global,coarse,12,0.0917883962392807,101,"[49, 36, 16]",knn,16,0.0,3
jtcxE69GiFV,all,bilayout__fg_enclosed__global,main,0,0.08000758290290833,101,"[49, 36, 16]",ridge,0,100.0,0
jtcxE69GiFV,all,bilayout__fg_enclosed__global,main,12,0.07379862666130066,101,"[49, 36, 16]",knn,16,0.0,3
pa4otMbVnkk,all,bilayout__fg_enclosed__global,global,3,0.1677970141172409,100,"[49, 35, 16]",ridge,0,0.1,0
pa4otMbVnkk,all,bilayout__fg_enclosed__global,global,13,0.16259990632534027,100,"[49, 35, 16]",knn,16,0.0,5
pa4otMbVnkk,all,bilayout__fg_enclosed__global,coarse,3,0.1202901303768158,100,"[49, 35, 16]",ridge,0,0.1,0
pa4otMbVnkk,all,bilayout__fg_enclosed__global,coarse,13,0.11756942421197891,100,"[49, 35, 16]",knn,16,0.0,5
pa4otMbVnkk,all,bilayout__fg_enclosed__global,main,3,0.09463067352771759,100,"[49, 35, 16]",ridge,0,0.1,0
pa4otMbVnkk,all,bilayout__fg_enclosed__global,main,13,0.08825430274009705,100,"[49, 35, 16]",knn,16,0.0,5
rPc6DW4iMge,all,bilayout__fg_enclosed__global,global,1,0.1680344194173813,103,"[46, 41, 16]",ridge,0,10.0,0
rPc6DW4iMge,all,bilayout__fg_enclosed__global,global,13,0.15475717186927795,103,"[46, 41, 16]",knn,16,0.0,5
rPc6DW4iMge,all,bilayout__fg_enclosed__global,coarse,3,0.10676358640193939,103,"[46, 41, 16]",ridge,0,0.1,0
rPc6DW4iMge,all,bilayout__fg_enclosed__global,coarse,13,0.10248152166604996,103,"[46, 41, 16]",knn,16,0.0,5
rPc6DW4iMge,all,bilayout__fg_enclosed__global,main,3,0.09414415806531906,103,"[46, 41, 16]",ridge,0,0.1,0
rPc6DW4iMge,all,bilayout__fg_enclosed__global,main,13,0.08495642244815826,103,"[46, 41, 16]",knn,16,0.0,5
uNb9QFRL6hY,all,bilayout__fg_enclosed__global,global,7,0.20485973358154297,66,"[37, 21, 8]",ridge,16,100.0,0
uNb9QFRL6hY,all,bilayout__fg_enclosed__global,global,13,0.20575737953186035,66,"[37, 21, 8]",knn,16,0.0,5
uNb9QFRL6hY,all,bilayout__fg_enclosed__global,coarse,17,0.15659910440444946,66,"[37, 21, 8]",ridge,32,0.1,0
uNb9QFRL6hY,all,bilayout__fg_enclosed__global,coarse,13,0.13910458981990814,66,"[37, 21, 8]",knn,16,0.0,5
uNb9QFRL6hY,all,bilayout__fg_enclosed__global,main,3,0.1286841332912445,66,"[37, 21, 8]",ridge,0,0.1,0
uNb9QFRL6hY,all,bilayout__fg_enclosed__global,main,13,0.10584349930286407,66,"[37, 21, 8]",knn,16,0.0,5
wc2JMjhGNzB,all,bilayout__fg_enclosed__global,global,0,0.1870611160993576,92,"[40, 38, 14]",ridge,0,100.0,0
wc2JMjhGNzB,all,bilayout__fg_enclosed__global,global,13,0.16130425035953522,92,"[40, 38, 14]",knn,16,0.0,5
wc2JMjhGNzB,all,bilayout__fg_enclosed__global,coarse,2,0.11630424112081528,92,"[40, 38, 14]",ridge,0,1.0,0
wc2JMjhGNzB,all,bilayout__fg_enclosed__global,coarse,12,0.10216645896434784,92,"[40, 38, 14]",knn,16,0.0,3
wc2JMjhGNzB,all,bilayout__fg_enclosed__global,main,0,0.0945110023021698,92,"[40, 38, 14]",ridge,0,100.0,0
wc2JMjhGNzB,all,bilayout__fg_enclosed__global,main,12,0.08180586248636246,92,"[40, 38, 14]",knn,16,0.0,3
yqstnuAEVhm,all,bilayout__fg_enclosed__global,global,1,0.1581079065799713,102,"[45, 41, 16]",ridge,0,10.0,0
yqstnuAEVhm,all,bilayout__fg_enclosed__global,global,13,0.15078414976596832,102,"[45, 41, 16]",knn,16,0.0,5
yqstnuAEVhm,all,bilayout__fg_enclosed__global,coarse,3,0.10444360971450806,102,"[45, 41, 16]",ridge,0,0.1,0
yqstnuAEVhm,all,bilayout__fg_enclosed__global,coarse,13,0.10163173824548721,102,"[45, 41, 16]",knn,16,0.0,5
yqstnuAEVhm,all,bilayout__fg_enclosed__global,main,3,0.09739439934492111,102,"[45, 41, 16]",ridge,0,0.1,0
yqstnuAEVhm,all,bilayout__fg_enclosed__global,main,12,0.09119202941656113,102,"[45, 41, 16]",knn,16,0.0,3
