building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,all,bilayout__fg_extended__global,global,1,0.1708824783563614,101,"[47, 38, 16]",ridge,0,10.0,0
2t7WUuJeko7,all,bilayout__fg_extended__global,global,13,0.15267314016819,101,"[47, 38, 16]",knn,16,0.0,5
2t7WUuJeko7,all,bilayout__fg_extended__global,coarse,1,0.09658297896385193,101,"[47, 38, 16]",ridge,0,10.0,0
2t7WUuJeko7,all,bilayout__fg_extended__global,coarse,13,0.08049570024013519,101,"[47, 38, 16]",knn,16,0.0,5
2t7WUuJeko7,all,bilayout__fg_extended__global,main,3,0.09060432016849518,101,"[47, 38, 16]",ridge,0,0.1,0
2t7WUuJeko7,all,bilayout__fg_extended__global,main,11,0.07127957046031952,101,"[47, 38, 16]",knn,16,0.0,1
7y3sRwLe3Va,all,bilayout__fg_extended__global,global,7,0.17472702264785767,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,bilayout__fg_extended__global,global,12,0.15522849559783936,102,"[49, 37, 16]",knn,16,0.0,3
7y3sRwLe3Va,all,bilayout__fg_extended__global,coarse,0,0.10667766630649567,102,"[49, 37, 16]",ridge,0,100.0,0
7y3sRwLe3Va,all,bilayout__fg_extended__global,coarse,13,0.09388578683137894,102,"[49, 37, 16]",knn,16,0.0,5
7y3sRwLe3Va,all,bilayout__fg_extended__global,main,0,0.09874895215034485,102,"[49, 37, 16]",ridge,0,100.0,0
7y3sRwLe3Va,all,bilayout__fg_extended__global,main,13,0.08371319621801376,102,"[49, 37, 16]",knn,16,0.0,5
B6ByNegPMKs,all,bilayout__fg_extended__global,global,0,0.16119146347045898,103,"[46, 41, 16]",ridge,0,100.0,0
B6ByNegPMKs,all,bilayout__fg_extended__global,global,13,0.1549512892961502,103,"[46, 41, 16]",knn,16,0.0,5
B6ByNegPMKs,all,bilayout__fg_extended__global,coarse,0,0.10603630542755127,103,"[46, 41, 16]",ridge,0,100.0,0
B6ByNegPMKs,all,bilayout__fg_extended__global,coarse,13,0.09328766912221909,103,"[46, 41, 16]",knn,16,0.0,5
B6ByNegPMKs,all,bilayout__fg_extended__global,main,0,0.08826831728219986,103,"[46, 41, 16]",ridge,0,100.0,0
