building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,all,da3__layer11__faces_concat,global,10,0.23471859097480774,101,"[47, 38, 16]",ridge,16,0.1,0
2t7WUuJeko7,all,da3__layer11__faces_concat,global,6,0.23782159388065338,101,"[47, 38, 16]",knn,0,0.0,5
2t7WUuJeko7,all,da3__layer11__faces_concat,coarse,7,0.11948070675134659,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,da3__layer11__faces_concat,coarse,6,0.11802655458450317,101,"[47, 38, 16]",knn,0,0.0,5
2t7WUuJeko7,all,da3__layer11__faces_concat,main,7,0.11458573490381241,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,da3__layer11__faces_concat,main,6,0.1155843511223793,101,"[47, 38, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,da3__layer11__faces_concat,global,14,0.2283758968114853,102,"[49, 37, 16]",ridge,32,100.0,0
7y3sRwLe3Va,all,da3__layer11__faces_concat,global,6,0.23784294724464417,102,"[49, 37, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,da3__layer11__faces_concat,coarse,7,0.1259632557630539,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,da3__layer11__faces_concat,coarse,6,0.12915796041488647,102,"[49, 37, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,da3__layer11__faces_concat,main,7,0.11753448098897934,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,da3__layer11__faces_concat,main,6,0.12147600203752518,102,"[49, 37, 16]",knn,0,0.0,5
B6ByNegPMKs,all,da3__layer11__faces_concat,global,14,0.22742347419261932,103,"[46, 41, 16]",ridge,32,100.0,0
B6ByNegPMKs,all,da3__layer11__faces_concat,global,6,0.23825223743915558,103,"[46, 41, 16]",knn,0,0.0,5
B6ByNegPMKs,all,da3__layer11__faces_concat,coarse,7,0.13210324943065643,103,"[46, 41, 16]",ridge,16,100.0,0
B6ByNegPMKs,all,da3__layer11__faces_concat,coarse,6,0.1334271878004074,103,"[46, 41, 16]",knn,0,0.0,5
B6ByNegPMKs,all,da3__layer11__faces_concat,main,7,0.11910537630319595,103,"[46, 41, 16]",ridge,16,100.0,0
B6ByNegPMKs,all,da3__layer11__faces_concat,main,6,0.1206291988492012,103,"[46, 41, 16]",knn,0,0.0,5
S9hNv5qa7GM,all,da3__layer11__faces_concat,global,10,0.22266149520874023,101,"[44, 41, 16]",ridge,16,0.1,0
S9hNv5qa7GM,all,da3__layer11__faces_concat,global,6,0.24435624480247498,101,"[44, 41, 16]",knn,0,0.0,5
S9hNv5qa7GM,all,da3__layer11__faces_concat,coarse,7,0.13361164927482605,101,"[44, 41, 16]",ridge,16,100.0,0
S9hNv5qa7GM,all,da3__layer11__faces_concat,coarse,6,0.13882020115852356,101,"[44, 41, 16]",knn,0,0.0,5
S9hNv5qa7GM,all,da3__layer11__faces_concat,main,7,0.11916334927082062,101,"[44, 41, 16]",ridge,16,100.0,0
S9hNv5qa7GM,all,da3__layer11__faces_concat,main,6,0.12696070969104767,101,"[44, 41, 16]",knn,0,0.0,5
VFuaQ6m2Qom,all,da3__layer11__faces_concat,global,10,0.20162393152713776,100,"[49, 41, 10]",ridge,16,0.1,0
VFuaQ6m2Qom,all,da3__layer11__faces_concat,global,6,0.20759983360767365,100,"[49, 41, 10]",knn,0,0.0,5
VFuaQ6m2Qom,all,da3__layer11__faces_concat,coarse,7,0.13175928592681885,100,"[49, 41, 10]",ridge,16,100.0,0
VFuaQ6m2Qom,all,da3__layer11__faces_concat,coarse,6,0.13841041922569275,100,"[49, 41, 10]",knn,0,0.0,5
VFuaQ6m2Qom,all,da3__layer11__faces_concat,main,7,0.11536084860563278,100,"[49, 41, 10]",ridge,16,100.0,0
VFuaQ6m2Qom,all,da3__layer11__faces_concat,main,6,0.1260811686515808,100,"[49, 41, 10]",knn,0,0.0,5
Z6MFQCViBuw,all,da3__layer11__faces_concat,global,0,0.21713852882385254,102,"[45, 41, 16]",ridge,0,100.0,0
Z6MFQCViBuw,all,da3__layer11__faces_concat,global,6,0.2286272943019867,102,"[45, 41, 16]",knn,0,0.0,5
Z6MFQCViBuw,all,da3__layer11__faces_concat,coarse,7,0.1362108737230301,102,"[45, 41, 16]",ridge,16,100.0,0
Z6MFQCViBuw,all,da3__layer11__faces_concat,coarse,13,0.13540863990783691,102,"[45, 41, 16]",knn,16,0.0,5
Z6MFQCViBuw,all,da3__layer11__faces_concat,main,7,0.12568508088588715,102,"[45, 41, 16]",ridge,16,100.0,0
Z6MFQCViBuw,all,da3__layer11__faces_concat,main,6,0.13121500611305237,102,"[45, 41, 16]",knn,0,0.0,5
e9zR4mvMWw7,all,da3__layer11__faces_concat,global,0,0.22473527491092682,99,"[42, 41, 16]",ridge,0,100.0,0
e9zR4mvMWw7,all,da3__layer11__faces_concat,global,6,0.2434341311454773,99,"[42, 41, 16]",knn,0,0.0,5
e9zR4mvMWw7,all,da3__layer11__faces_concat,coarse,0,0.13218118250370026,99,"[42, 41, 16]",ridge,0,100.0,0
e9zR4mvMWw7,all,da3__layer11__faces_concat,coarse,6,0.13891790807247162,99,"[42, 41, 16]",knn,0,0.0,5
e9zR4mvMWw7,all,da3__layer11__faces_concat,main,0,0.11838027089834213,99,"[42, 41, 16]",ridge,0,100.0,0
e9zR4mvMWw7,all,da3__layer11__faces_concat,main,6,0.12300743907690048,99,"[42, 41, 16]",knn,0,0.0,5
jtcxE69GiFV,all,da3__layer11__faces_concat,global,14,0.21570368111133575,101,"[49, 36, 16]",ridge,32,100.0,0
jtcxE69GiFV,all,da3__layer11__faces_concat,global,6,0.23623743653297424,101,"[49, 36, 16]",knn,0,0.0,5
jtcxE69GiFV,all,da3__layer11__faces_concat,coarse,7,0.10663367807865143,101,"[49, 36, 16]",ridge,16,100.0,0
jtcxE69GiFV,all,da3__layer11__faces_concat,coarse,6,0.11182840913534164,101,"[49, 36, 16]",knn,0,0.0,5
jtcxE69GiFV,all,da3__layer11__faces_concat,main,7,0.08861443400382996,101,"[49, 36, 16]",ridge,16,100.0,0
jtcxE69GiFV,all,da3__layer11__faces_concat,main,6,0.09669163823127747,101,"[49, 36, 16]",knn,0,0.0,5
pa4otMbVnkk,all,da3__layer11__faces_concat,global,0,0.2309119999408722,100,"[49, 35, 16]",ridge,0,100.0,0
pa4otMbVnkk,all,da3__layer11__faces_concat,global,6,0.23639987409114838,100,"[49, 35, 16]",knn,0,0.0,5
pa4otMbVnkk,all,da3__layer11__faces_concat,coarse,7,0.1609855443239212,100,"[49, 35, 16]",ridge,16,100.0,0
pa4otMbVnkk,all,da3__layer11__faces_concat,coarse,6,0.145921990275383,100,"[49, 35, 16]",knn,0,0.0,5
pa4otMbVnkk,all,da3__layer11__faces_concat,main,7,0.12493078410625458,100,"[49, 35, 16]",ridge,16,100.0,0
pa4otMbVnkk,all,da3__layer11__faces_concat,main,20,0.12402711063623428,100,"[49, 35, 16]",knn,32,0.0,5
rPc6DW4iMge,all,da3__layer11__faces_concat,global,0,0.20835749804973602,103,"[46, 41, 16]",ridge,0,100.0,0
rPc6DW4iMge,all,da3__layer11__faces_concat,global,13,0.22640757262706757,103,"[46, 41, 16]",knn,16,0.0,5
rPc6DW4iMge,all,da3__layer11__faces_concat,coarse,7,0.12837651371955872,103,"[46, 41, 16]",ridge,16,100.0,0
rPc6DW4iMge,all,da3__layer11__faces_concat,coarse,13,0.13244718313217163,103,"[46, 41, 16]",knn,16,0.0,5
rPc6DW4iMge,all,da3__layer11__faces_concat,main,7,0.11399433016777039,103,"[46, 41, 16]",ridge,16,100.0,0
rPc6DW4iMge,all,da3__layer11__faces_concat,main,13,0.1234143078327179,103,"[46, 41, 16]",knn,16,0.0,5
