building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,all,da3__layer7__faces_global,global,10,0.18734875321388245,101,"[47, 38, 16]",ridge,16,0.1,0
2t7WUuJeko7,all,da3__layer7__faces_global,global,20,0.2334650754928589,101,"[47, 38, 16]",knn,32,0.0,5
2t7WUuJeko7,all,da3__layer7__faces_global,coarse,7,0.10953100770711899,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,da3__layer7__faces_global,coarse,6,0.11406368762254715,101,"[47, 38, 16]",knn,0,0.0,5
2t7WUuJeko7,all,da3__layer7__faces_global,main,7,0.10329922288656235,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,da3__layer7__faces_global,main,6,0.11018523573875427,101,"[47, 38, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,da3__layer7__faces_global,global,7,0.19239360094070435,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,da3__layer7__faces_global,global,6,0.2290193736553192,102,"[49, 37, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,da3__layer7__faces_global,coarse,7,0.11841556429862976,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,da3__layer7__faces_global,coarse,6,0.12711963057518005,102,"[49, 37, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,da3__layer7__faces_global,main,7,0.1084546446800232,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,da3__layer7__faces_global,main,6,0.12111586332321167,102,"[49, 37, 16]",knn,0,0.0,5
B6ByNegPMKs,all,da3__layer7__faces_global,global,7,0.1859963834285736,103,"[46, 41, 16]",ridge,16,100.0,0
B6ByNegPMKs,all,da3__layer7__faces_global,global,6,0.22776679694652557,103,"[46, 41, 16]",knn,0,0.0,5
B6ByNegPMKs,all,da3__layer7__faces_global,coarse,7,0.12011599540710449,103,"[46, 41, 16]",ridge,16,100.0,0
B6ByNegPMKs,all,da3__layer7__faces_global,coarse,6,0.1272820681333542,103,"[46, 41, 16]",knn,0,0.0,5
B6ByNegPMKs,all,da3__layer7__faces_global,main,7,0.10195665806531906,103,"[46, 41, 16]",ridge,16,100.0,0
B6ByNegPMKs,all,da3__layer7__faces_global,main,6,0.11473160237073898,103,"[46, 41, 16]",knn,0,0.0,5
S9hNv5qa7GM,all,da3__layer7__faces_global,global,10,0.1880975067615509,101,"[44, 41, 16]",ridge,16,0.1,0
S9hNv5qa7GM,all,da3__layer7__faces_global,global,20,0.24098984897136688,101,"[44, 41, 16]",knn,32,0.0,5
S9hNv5qa7GM,all,da3__layer7__faces_global,coarse,7,0.12777520716190338,101,"[44, 41, 16]",ridge,16,100.0,0
S9hNv5qa7GM,all,da3__layer7__faces_global,coarse,13,0.13189978897571564,101,"[44, 41, 16]",knn,16,0.0,5
S9hNv5qa7GM,all,da3__layer7__faces_global,main,7,0.11312152445316315,101,"[44, 41, 16]",ridge,16,100.0,0
S9hNv5qa7GM,all,da3__layer7__faces_global,main,13,0.1232881173491478,101,"[44, 41, 16]",knn,16,0.0,5
VFuaQ6m2Qom,all,da3__layer7__faces_global,global,7,0.18421438336372375,100,"[49, 41, 10]",ridge,16,100.0,0
VFuaQ6m2Qom,all,da3__layer7__faces_global,global,13,0.23139972984790802,100,"[49, 41, 10]",knn,16,0.0,5
VFuaQ6m2Qom,all,da3__layer7__faces_global,coarse,7,0.12587004899978638,100,"[49, 41, 10]",ridge,16,100.0,0
VFuaQ6m2Qom,all,da3__layer7__faces_global,coarse,13,0.13381734490394592,100,"[49, 41, 10]",knn,16,0.0,5
VFuaQ6m2Qom,all,da3__layer7__faces_global,main,7,0.10948732495307922,100,"[49, 41, 10]",ridge,16,100.0,0
VFuaQ6m2Qom,all,da3__layer7__faces_global,main,13,0.1228732019662857,100,"[49, 41, 10]",knn,16,0.0,5
Z6MFQCViBuw,all,da3__layer7__faces_global,global,10,0.16841939091682434,102,"[45, 41, 16]",ridge,16,0.1,0
Z6MFQCViBuw,all,da3__layer7__faces_global,global,6,0.21372532844543457,102,"[45, 41, 16]",knn,0,0.0,5
Z6MFQCViBuw,all,da3__layer7__faces_global,coarse,7,0.12167001515626907,102,"[45, 41, 16]",ridge,16,100.0,0
Z6MFQCViBuw,all,da3__layer7__faces_global,coarse,6,0.12955324351787567,102,"[45, 41, 16]",knn,0,0.0,5
Z6MFQCViBuw,all,da3__layer7__faces_global,main,7,0.11086738854646683,102,"[45, 41, 16]",ridge,16,100.0,0
Z6MFQCViBuw,all,da3__layer7__faces_global,main,6,0.12470526993274689,102,"[45, 41, 16]",knn,0,0.0,5
e9zR4mvMWw7,all,da3__layer7__faces_global,global,10,0.18686701357364655,99,"[42, 41, 16]",ridge,16,0.1,0
e9zR4mvMWw7,all,da3__layer7__faces_global,global,6,0.24222201108932495,99,"[42, 41, 16]",knn,0,0.0,5
e9zR4mvMWw7,all,da3__layer7__faces_global,coarse,7,0.12730351090431213,99,"[42, 41, 16]",ridge,16,100.0,0
e9zR4mvMWw7,all,da3__layer7__faces_global,coarse,6,0.1371493637561798,99,"[42, 41, 16]",knn,0,0.0,5
e9zR4mvMWw7,all,da3__layer7__faces_global,main,7,0.11065071076154709,99,"[42, 41, 16]",ridge,16,100.0,0
e9zR4mvMWw7,all,da3__layer7__faces_global,main,6,0.12189421057701111,99,"[42, 41, 16]",knn,0,0.0,5
jtcxE69GiFV,all,da3__layer7__faces_global,global,10,0.17802032828330994,101,"[49, 36, 16]",ridge,16,0.1,0
jtcxE69GiFV,all,da3__layer7__faces_global,global,6,0.22019781172275543,101,"[49, 36, 16]",knn,0,0.0,5
jtcxE69GiFV,all,da3__layer7__faces_global,coarse,7,0.10323859006166458,101,"[49, 36, 16]",ridge,16,100.0,0
