building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,all,da3__layer9__faces_local96,global,14,0.2418111264705658,101,"[47, 38, 16]",ridge,32,100.0,0
2t7WUuJeko7,all,da3__layer9__faces_local96,global,6,0.2643561363220215,101,"[47, 38, 16]",knn,0,0.0,5
2t7WUuJeko7,all,da3__layer9__faces_local96,coarse,0,0.11427733302116394,101,"[47, 38, 16]",ridge,0,100.0,0
2t7WUuJeko7,all,da3__layer9__faces_local96,coarse,6,0.11559531092643738,101,"[47, 38, 16]",knn,0,0.0,5
2t7WUuJeko7,all,da3__layer9__faces_local96,main,7,0.11030948162078857,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,da3__layer9__faces_local96,main,6,0.11096304655075073,101,"[47, 38, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,da3__layer9__faces_local96,global,7,0.237726092338562,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,da3__layer9__faces_local96,global,6,0.2611761689186096,102,"[49, 37, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,da3__layer9__faces_local96,coarse,7,0.12204086035490036,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,da3__layer9__faces_local96,coarse,6,0.12651145458221436,102,"[49, 37, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,da3__layer9__faces_local96,main,7,0.11196509748697281,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,da3__layer9__faces_local96,main,6,0.11630795150995255,102,"[49, 37, 16]",knn,0,0.0,5
B6ByNegPMKs,all,da3__layer9__faces_local96,global,14,0.22943037748336792,103,"[46, 41, 16]",ridge,32,100.0,0
B6ByNegPMKs,all,da3__layer9__faces_local96,global,20,0.2539803087711334,103,"[46, 41, 16]",knn,32,0.0,5
B6ByNegPMKs,all,da3__layer9__faces_local96,coarse,14,0.12370117753744125,103,"[46, 41, 16]",ridge,32,100.0,0
B6ByNegPMKs,all,da3__layer9__faces_local96,coarse,6,0.12628476321697235,103,"[46, 41, 16]",knn,0,0.0,5
B6ByNegPMKs,all,da3__layer9__faces_local96,main,14,0.10933733731508255,103,"[46, 41, 16]",ridge,32,100.0,0
B6ByNegPMKs,all,da3__layer9__faces_local96,main,6,0.11026091128587723,103,"[46, 41, 16]",knn,0,0.0,5
