building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,all,dinov3__block11__faces_local16,global,17,0.14966416358947754,101,"[47, 38, 16]",ridge,32,0.1,0
2t7WUuJeko7,all,dinov3__block11__faces_local16,global,20,0.18277212977409363,101,"[47, 38, 16]",knn,32,0.0,5
2t7WUuJeko7,all,dinov3__block11__faces_local16,coarse,14,0.09518101811408997,101,"[47, 38, 16]",ridge,32,100.0,0
2t7WUuJeko7,all,dinov3__block11__faces_local16,coarse,6,0.11730389297008514,101,"[47, 38, 16]",knn,0,0.0,5
2t7WUuJeko7,all,dinov3__block11__faces_local16,main,14,0.0916205421090126,101,"[47, 38, 16]",ridge,32,100.0,0
2t7WUuJeko7,all,dinov3__block11__faces_local16,main,6,0.1146586611866951,101,"[47, 38, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,dinov3__block11__faces_local16,global,14,0.16332325339317322,102,"[49, 37, 16]",ridge,32,100.0,0
7y3sRwLe3Va,all,dinov3__block11__faces_local16,global,20,0.19019591808319092,102,"[49, 37, 16]",knn,32,0.0,5
7y3sRwLe3Va,all,dinov3__block11__faces_local16,coarse,14,0.11200281232595444,102,"[49, 37, 16]",ridge,32,100.0,0
7y3sRwLe3Va,all,dinov3__block11__faces_local16,coarse,13,0.1310030072927475,102,"[49, 37, 16]",knn,16,0.0,5
7y3sRwLe3Va,all,dinov3__block11__faces_local16,main,14,0.10218191146850586,102,"[49, 37, 16]",ridge,32,100.0,0
7y3sRwLe3Va,all,dinov3__block11__faces_local16,main,20,0.12562674283981323,102,"[49, 37, 16]",knn,32,0.0,5
B6ByNegPMKs,all,dinov3__block11__faces_local16,global,17,0.15584121644496918,103,"[46, 41, 16]",ridge,32,0.1,0
B6ByNegPMKs,all,dinov3__block11__faces_local16,global,13,0.18932023644447327,103,"[46, 41, 16]",knn,16,0.0,5
B6ByNegPMKs,all,dinov3__block11__faces_local16,coarse,14,0.11289536952972412,103,"[46, 41, 16]",ridge,32,100.0,0
B6ByNegPMKs,all,dinov3__block11__faces_local16,coarse,13,0.12463966757059097,103,"[46, 41, 16]",knn,16,0.0,5
B6ByNegPMKs,all,dinov3__block11__faces_local16,main,14,0.09702880680561066,103,"[46, 41, 16]",ridge,32,100.0,0
B6ByNegPMKs,all,dinov3__block11__faces_local16,main,13,0.11567165702581406,103,"[46, 41, 16]",knn,16,0.0,5
S9hNv5qa7GM,all,dinov3__block11__faces_local16,global,10,0.16240835189819336,101,"[44, 41, 16]",ridge,16,0.1,0
S9hNv5qa7GM,all,dinov3__block11__faces_local16,global,20,0.20118799805641174,101,"[44, 41, 16]",knn,32,0.0,5
S9hNv5qa7GM,all,dinov3__block11__faces_local16,coarse,7,0.11978575587272644,101,"[44, 41, 16]",ridge,16,100.0,0
S9hNv5qa7GM,all,dinov3__block11__faces_local16,coarse,13,0.1399121731519699,101,"[44, 41, 16]",knn,16,0.0,5
S9hNv5qa7GM,all,dinov3__block11__faces_local16,main,7,0.10385748744010925,101,"[44, 41, 16]",ridge,16,100.0,0
S9hNv5qa7GM,all,dinov3__block11__faces_local16,main,13,0.13188399374485016,101,"[44, 41, 16]",knn,16,0.0,5
VFuaQ6m2Qom,all,dinov3__block11__faces_local16,global,10,0.1577778309583664,100,"[49, 41, 10]",ridge,16,0.1,0
