building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,all,dinov3__block12__faces_concat,global,10,0.1647866815328598,101,"[47, 38, 16]",ridge,16,0.1,0
2t7WUuJeko7,all,dinov3__block12__faces_concat,global,6,0.20217803120613098,101,"[47, 38, 16]",knn,0,0.0,5
2t7WUuJeko7,all,dinov3__block12__faces_concat,coarse,7,0.09976516664028168,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,dinov3__block12__faces_concat,coarse,6,0.11551646143198013,101,"[47, 38, 16]",knn,0,0.0,5
2t7WUuJeko7,all,dinov3__block12__faces_concat,main,7,0.09710569679737091,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,dinov3__block12__faces_concat,main,6,0.11205344647169113,101,"[47, 38, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,dinov3__block12__faces_concat,global,10,0.18074877560138702,102,"[49, 37, 16]",ridge,16,0.1,0
7y3sRwLe3Va,all,dinov3__block12__faces_concat,global,13,0.21568605303764343,102,"[49, 37, 16]",knn,16,0.0,5
7y3sRwLe3Va,all,dinov3__block12__faces_concat,coarse,7,0.11679147928953171,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,dinov3__block12__faces_concat,coarse,13,0.12800203263759613,102,"[49, 37, 16]",knn,16,0.0,5
7y3sRwLe3Va,all,dinov3__block12__faces_concat,main,7,0.10610662400722504,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,dinov3__block12__faces_concat,main,13,0.12098753452301025,102,"[49, 37, 16]",knn,16,0.0,5
B6ByNegPMKs,all,dinov3__block12__faces_concat,global,10,0.16953107714653015,103,"[46, 41, 16]",ridge,16,0.1,0
B6ByNegPMKs,all,dinov3__block12__faces_concat,global,13,0.20077651739120483,103,"[46, 41, 16]",knn,16,0.0,5
B6ByNegPMKs,all,dinov3__block12__faces_concat,coarse,7,0.11794869601726532,103,"[46, 41, 16]",ridge,16,100.0,0
B6ByNegPMKs,all,dinov3__block12__faces_concat,coarse,13,0.12564398348331451,103,"[46, 41, 16]",knn,16,0.0,5
B6ByNegPMKs,all,dinov3__block12__faces_concat,main,7,0.10170363634824753,103,"[46, 41, 16]",ridge,16,100.0,0
B6ByNegPMKs,all,dinov3__block12__faces_concat,main,13,0.11485058814287186,103,"[46, 41, 16]",knn,16,0.0,5
S9hNv5qa7GM,all,dinov3__block12__faces_concat,global,10,0.17236283421516418,101,"[44, 41, 16]",ridge,16,0.1,0
