building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,all,dinov3__block3__faces_global,global,7,0.16361188888549805,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,dinov3__block3__faces_global,global,20,0.235049307346344,101,"[47, 38, 16]",knn,32,0.0,5
2t7WUuJeko7,all,dinov3__block3__faces_global,coarse,7,0.11138814687728882,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,dinov3__block3__faces_global,coarse,20,0.10438167303800583,101,"[47, 38, 16]",knn,32,0.0,5
2t7WUuJeko7,all,dinov3__block3__faces_global,main,7,0.10390803217887878,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,dinov3__block3__faces_global,main,20,0.09843670576810837,101,"[47, 38, 16]",knn,32,0.0,5
7y3sRwLe3Va,all,dinov3__block3__faces_global,global,10,0.16936315596103668,102,"[49, 37, 16]",ridge,16,0.1,0
7y3sRwLe3Va,all,dinov3__block3__faces_global,global,20,0.22509782016277313,102,"[49, 37, 16]",knn,32,0.0,5
7y3sRwLe3Va,all,dinov3__block3__faces_global,coarse,7,0.11230257153511047,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,dinov3__block3__faces_global,coarse,13,0.11903868615627289,102,"[49, 37, 16]",knn,16,0.0,5
7y3sRwLe3Va,all,dinov3__block3__faces_global,main,7,0.1045726016163826,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,dinov3__block3__faces_global,main,13,0.11105816066265106,102,"[49, 37, 16]",knn,16,0.0,5
B6ByNegPMKs,all,dinov3__block3__faces_global,global,7,0.1669521927833557,103,"[46, 41, 16]",ridge,16,100.0,0
B6ByNegPMKs,all,dinov3__block3__faces_global,global,20,0.23009689152240753,103,"[46, 41, 16]",knn,32,0.0,5
B6ByNegPMKs,all,dinov3__block3__faces_global,coarse,7,0.11671046167612076,103,"[46, 41, 16]",ridge,16,100.0,0
B6ByNegPMKs,all,dinov3__block3__faces_global,coarse,20,0.11657065153121948,103,"[46, 41, 16]",knn,32,0.0,5
B6ByNegPMKs,all,dinov3__block3__faces_global,main,7,0.10024547576904297,103,"[46, 41, 16]",ridge,16,100.0,0
B6ByNegPMKs,all,dinov3__block3__faces_global,main,20,0.10100486129522324,103,"[46, 41, 16]",knn,32,0.0,5
S9hNv5qa7GM,all,dinov3__block3__faces_global,global,7,0.17625011503696442,101,"[44, 41, 16]",ridge,16,100.0,0
S9hNv5qa7GM,all,dinov3__block3__faces_global,global,13,0.24930670857429504,101,"[44, 41, 16]",knn,16,0.0,5
S9hNv5qa7GM,all,dinov3__block3__faces_global,coarse,7,0.13036440312862396,101,"[44, 41, 16]",ridge,16,100.0,0
S9hNv5qa7GM,all,dinov3__block3__faces_global,coarse,13,0.12887799739837646,101,"[44, 41, 16]",knn,16,0.0,5
S9hNv5qa7GM,all,dinov3__block3__faces_global,main,7,0.11228249222040176,101,"[44, 41, 16]",ridge,16,100.0,0
S9hNv5qa7GM,all,dinov3__block3__faces_global,main,13,0.11083303391933441,101,"[44, 41, 16]",knn,16,0.0,5
VFuaQ6m2Qom,all,dinov3__block3__faces_global,global,7,0.15375708043575287,100,"[49, 41, 10]",ridge,16,100.0,0
VFuaQ6m2Qom,all,dinov3__block3__faces_global,global,20,0.21379975974559784,100,"[49, 41, 10]",knn,32,0.0,5
VFuaQ6m2Qom,all,dinov3__block3__faces_global,coarse,7,0.12146145850419998,100,"[49, 41, 10]",ridge,16,100.0,0
