building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,all,dinov3__block3__panorama_global,global,14,0.16732726991176605,101,"[47, 38, 16]",ridge,32,100.0,0
2t7WUuJeko7,all,dinov3__block3__panorama_global,global,20,0.22673241794109344,101,"[47, 38, 16]",knn,32,0.0,5
2t7WUuJeko7,all,dinov3__block3__panorama_global,coarse,7,0.09816774725914001,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,dinov3__block3__panorama_global,coarse,20,0.10828682035207748,101,"[47, 38, 16]",knn,32,0.0,5
2t7WUuJeko7,all,dinov3__block3__panorama_global,main,7,0.09253638982772827,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,dinov3__block3__panorama_global,main,20,0.10324349999427795,101,"[47, 38, 16]",knn,32,0.0,5
7y3sRwLe3Va,all,dinov3__block3__panorama_global,global,14,0.1645367443561554,102,"[49, 37, 16]",ridge,32,100.0,0
7y3sRwLe3Va,all,dinov3__block3__panorama_global,global,20,0.2209801822900772,102,"[49, 37, 16]",knn,32,0.0,5
7y3sRwLe3Va,all,dinov3__block3__panorama_global,coarse,7,0.10208628326654434,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,dinov3__block3__panorama_global,coarse,20,0.13310900330543518,102,"[49, 37, 16]",knn,32,0.0,5
7y3sRwLe3Va,all,dinov3__block3__panorama_global,main,7,0.09703993052244186,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,dinov3__block3__panorama_global,main,6,0.12129617482423782,102,"[49, 37, 16]",knn,0,0.0,5
B6ByNegPMKs,all,dinov3__block3__panorama_global,global,14,0.17224113643169403,103,"[46, 41, 16]",ridge,32,100.0,0
B6ByNegPMKs,all,dinov3__block3__panorama_global,global,20,0.23844632506370544,103,"[46, 41, 16]",knn,32,0.0,5
B6ByNegPMKs,all,dinov3__block3__panorama_global,coarse,7,0.10850744694471359,103,"[46, 41, 16]",ridge,16,100.0,0
B6ByNegPMKs,all,dinov3__block3__panorama_global,coarse,13,0.13199400901794434,103,"[46, 41, 16]",knn,16,0.0,5
B6ByNegPMKs,all,dinov3__block3__panorama_global,main,7,0.09771226346492767,103,"[46, 41, 16]",ridge,16,100.0,0
