building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,all,dinov3__block3__panorama_local16,global,3,0.18591201305389404,101,"[47, 38, 16]",ridge,0,0.1,0
2t7WUuJeko7,all,dinov3__block3__panorama_local16,global,6,0.21386119723320007,101,"[47, 38, 16]",knn,0,0.0,5
2t7WUuJeko7,all,dinov3__block3__panorama_local16,coarse,0,0.09792499989271164,101,"[47, 38, 16]",ridge,0,100.0,0
2t7WUuJeko7,all,dinov3__block3__panorama_local16,coarse,6,0.11026056855916977,101,"[47, 38, 16]",knn,0,0.0,5
2t7WUuJeko7,all,dinov3__block3__panorama_local16,main,3,0.09246936440467834,101,"[47, 38, 16]",ridge,0,0.1,0
2t7WUuJeko7,all,dinov3__block3__panorama_local16,main,6,0.10440840572118759,101,"[47, 38, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,dinov3__block3__panorama_local16,global,3,0.18408766388893127,102,"[49, 37, 16]",ridge,0,0.1,0
7y3sRwLe3Va,all,dinov3__block3__panorama_local16,global,6,0.21568606793880463,102,"[49, 37, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,dinov3__block3__panorama_local16,coarse,3,0.10350583493709564,102,"[49, 37, 16]",ridge,0,0.1,0
7y3sRwLe3Va,all,dinov3__block3__panorama_local16,coarse,6,0.1236029639840126,102,"[49, 37, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,dinov3__block3__panorama_local16,main,3,0.09749208390712738,102,"[49, 37, 16]",ridge,0,0.1,0
7y3sRwLe3Va,all,dinov3__block3__panorama_local16,main,6,0.11155634373426437,102,"[49, 37, 16]",knn,0,0.0,5
B6ByNegPMKs,all,dinov3__block3__panorama_local16,global,3,0.1859857439994812,103,"[46, 41, 16]",ridge,0,0.1,0
B6ByNegPMKs,all,dinov3__block3__panorama_local16,global,6,0.23203858733177185,103,"[46, 41, 16]",knn,0,0.0,5
B6ByNegPMKs,all,dinov3__block3__panorama_local16,coarse,3,0.10722121596336365,103,"[46, 41, 16]",ridge,0,0.1,0
B6ByNegPMKs,all,dinov3__block3__panorama_local16,coarse,6,0.1274145245552063,103,"[46, 41, 16]",knn,0,0.0,5
B6ByNegPMKs,all,dinov3__block3__panorama_local16,main,0,0.09662960469722748,103,"[46, 41, 16]",ridge,0,100.0,0
B6ByNegPMKs,all,dinov3__block3__panorama_local16,main,6,0.10689053684473038,103,"[46, 41, 16]",knn,0,0.0,5
S9hNv5qa7GM,all,dinov3__block3__panorama_local16,global,3,0.19515997171401978,101,"[44, 41, 16]",ridge,0,0.1,0
S9hNv5qa7GM,all,dinov3__block3__panorama_local16,global,6,0.23207902908325195,101,"[44, 41, 16]",knn,0,0.0,5
S9hNv5qa7GM,all,dinov3__block3__panorama_local16,coarse,3,0.1145390048623085,101,"[44, 41, 16]",ridge,0,0.1,0
S9hNv5qa7GM,all,dinov3__block3__panorama_local16,coarse,6,0.1350950002670288,101,"[44, 41, 16]",knn,0,0.0,5
S9hNv5qa7GM,all,dinov3__block3__panorama_local16,main,0,0.1044435128569603,101,"[44, 41, 16]",ridge,0,100.0,0
S9hNv5qa7GM,all,dinov3__block3__panorama_local16,main,6,0.11320817470550537,101,"[44, 41, 16]",knn,0,0.0,5
VFuaQ6m2Qom,all,dinov3__block3__panorama_local16,global,3,0.1607019603252411,100,"[49, 41, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,all,dinov3__block3__panorama_local16,global,6,0.20359981060028076,100,"[49, 41, 10]",knn,0,0.0,5
VFuaQ6m2Qom,all,dinov3__block3__panorama_local16,coarse,3,0.1088641956448555,100,"[49, 41, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,all,dinov3__block3__panorama_local16,coarse,6,0.1331602931022644,100,"[49, 41, 10]",knn,0,0.0,5
VFuaQ6m2Qom,all,dinov3__block3__panorama_local16,main,0,0.09752439707517624,100,"[49, 41, 10]",ridge,0,100.0,0
