building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,all,dinov3__cls__faces_global,global,10,0.11149707436561584,101,"[47, 38, 16]",ridge,16,0.1,0
2t7WUuJeko7,all,dinov3__cls__faces_global,global,13,0.10990090668201447,101,"[47, 38, 16]",knn,16,0.0,5
2t7WUuJeko7,all,dinov3__cls__faces_global,coarse,7,0.08603844046592712,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,dinov3__cls__faces_global,coarse,13,0.08015456050634384,101,"[47, 38, 16]",knn,16,0.0,5
2t7WUuJeko7,all,dinov3__cls__faces_global,main,7,0.08190646022558212,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,dinov3__cls__faces_global,main,13,0.07609239965677261,101,"[47, 38, 16]",knn,16,0.0,5
7y3sRwLe3Va,all,dinov3__cls__faces_global,global,7,0.15086527168750763,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,dinov3__cls__faces_global,global,20,0.16078414022922516,102,"[49, 37, 16]",knn,32,0.0,5
7y3sRwLe3Va,all,dinov3__cls__faces_global,coarse,7,0.10625766962766647,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,dinov3__cls__faces_global,coarse,13,0.10253072530031204,102,"[49, 37, 16]",knn,16,0.0,5
7y3sRwLe3Va,all,dinov3__cls__faces_global,main,7,0.0986190065741539,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,dinov3__cls__faces_global,main,13,0.09239190816879272,102,"[49, 37, 16]",knn,16,0.0,5
B6ByNegPMKs,all,dinov3__cls__faces_global,global,7,0.13621149957180023,103,"[46, 41, 16]",ridge,16,100.0,0
B6ByNegPMKs,all,dinov3__cls__faces_global,global,13,0.11708724498748779,103,"[46, 41, 16]",knn,16,0.0,5
B6ByNegPMKs,all,dinov3__cls__faces_global,coarse,7,0.10788031667470932,103,"[46, 41, 16]",ridge,16,100.0,0
