building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,all,feedback__bi_scope,global,1,0.2180807888507843,101,"[47, 38, 16]",ridge,0,10.0,0
2t7WUuJeko7,all,feedback__bi_scope,global,6,0.26455411314964294,101,"[47, 38, 16]",knn,0,0.0,5
2t7WUuJeko7,all,feedback__bi_scope,coarse,0,0.09996911883354187,101,"[47, 38, 16]",ridge,0,100.0,0
2t7WUuJeko7,all,feedback__bi_scope,coarse,6,0.11298564076423645,101,"[47, 38, 16]",knn,0,0.0,5
2t7WUuJeko7,all,feedback__bi_scope,main,0,0.09575559943914413,101,"[47, 38, 16]",ridge,0,100.0,0
2t7WUuJeko7,all,feedback__bi_scope,main,6,0.1090761199593544,101,"[47, 38, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,feedback__bi_scope,global,1,0.21678072214126587,102,"[49, 37, 16]",ridge,0,10.0,0
7y3sRwLe3Va,all,feedback__bi_scope,global,6,0.27235254645347595,102,"[49, 37, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,feedback__bi_scope,coarse,0,0.108775794506073,102,"[49, 37, 16]",ridge,0,100.0,0
7y3sRwLe3Va,all,feedback__bi_scope,coarse,6,0.13297608494758606,102,"[49, 37, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,feedback__bi_scope,main,0,0.10162819921970367,102,"[49, 37, 16]",ridge,0,100.0,0
7y3sRwLe3Va,all,feedback__bi_scope,main,6,0.11844851821660995,102,"[49, 37, 16]",knn,0,0.0,5
B6ByNegPMKs,all,feedback__bi_scope,global,1,0.21271492540836334,103,"[46, 41, 16]",ridge,0,10.0,0
B6ByNegPMKs,all,feedback__bi_scope,global,6,0.2697083652019501,103,"[46, 41, 16]",knn,0,0.0,5
B6ByNegPMKs,all,feedback__bi_scope,coarse,0,0.1099078506231308,103,"[46, 41, 16]",ridge,0,100.0,0
B6ByNegPMKs,all,feedback__bi_scope,coarse,6,0.13439972698688507,103,"[46, 41, 16]",knn,0,0.0,5
B6ByNegPMKs,all,feedback__bi_scope,main,0,0.09742617607116699,103,"[46, 41, 16]",ridge,0,100.0,0
B6ByNegPMKs,all,feedback__bi_scope,main,6,0.1143745556473732,103,"[46, 41, 16]",knn,0,0.0,5
S9hNv5qa7GM,all,feedback__bi_scope,global,0,0.2138981968164444,101,"[44, 41, 16]",ridge,0,100.0,0
S9hNv5qa7GM,all,feedback__bi_scope,global,6,0.2784155011177063,101,"[44, 41, 16]",knn,0,0.0,5
S9hNv5qa7GM,all,feedback__bi_scope,coarse,0,0.11487173289060593,101,"[44, 41, 16]",ridge,0,100.0,0
S9hNv5qa7GM,all,feedback__bi_scope,coarse,6,0.14807797968387604,101,"[44, 41, 16]",knn,0,0.0,5
S9hNv5qa7GM,all,feedback__bi_scope,main,0,0.10295694321393967,101,"[44, 41, 16]",ridge,0,100.0,0
S9hNv5qa7GM,all,feedback__bi_scope,main,6,0.1275573968887329,101,"[44, 41, 16]",knn,0,0.0,5
VFuaQ6m2Qom,all,feedback__bi_scope,global,3,0.195489764213562,100,"[49, 41, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,all,feedback__bi_scope,global,6,0.21639975905418396,100,"[49, 41, 10]",knn,0,0.0,5
VFuaQ6m2Qom,all,feedback__bi_scope,coarse,0,0.11624637246131897,100,"[49, 41, 10]",ridge,0,100.0,0
VFuaQ6m2Qom,all,feedback__bi_scope,coarse,6,0.13591164350509644,100,"[49, 41, 10]",knn,0,0.0,5
