building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,all,hohonet__refined__global,global,7,0.16349291801452637,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,hohonet__refined__global,global,20,0.21267299354076385,101,"[47, 38, 16]",knn,32,0.0,5
2t7WUuJeko7,all,hohonet__refined__global,coarse,7,0.10664395987987518,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,hohonet__refined__global,coarse,20,0.10383093357086182,101,"[47, 38, 16]",knn,32,0.0,5
2t7WUuJeko7,all,hohonet__refined__global,main,7,0.10244259238243103,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,hohonet__refined__global,main,20,0.09919040650129318,101,"[47, 38, 16]",knn,32,0.0,5
7y3sRwLe3Va,all,hohonet__refined__global,global,14,0.16903269290924072,102,"[49, 37, 16]",ridge,32,100.0,0
7y3sRwLe3Va,all,hohonet__refined__global,global,6,0.22411735355854034,102,"[49, 37, 16]",knn,0,0.0,5
7y3sRwLe3Va,all,hohonet__refined__global,coarse,14,0.12292294204235077,102,"[49, 37, 16]",ridge,32,100.0,0
7y3sRwLe3Va,all,hohonet__refined__global,coarse,20,0.11809263378381729,102,"[49, 37, 16]",knn,32,0.0,5
7y3sRwLe3Va,all,hohonet__refined__global,main,14,0.11270491033792496,102,"[49, 37, 16]",ridge,32,100.0,0
7y3sRwLe3Va,all,hohonet__refined__global,main,20,0.10955758392810822,102,"[49, 37, 16]",knn,32,0.0,5
B6ByNegPMKs,all,hohonet__refined__global,global,7,0.17725872993469238,103,"[46, 41, 16]",ridge,16,100.0,0
B6ByNegPMKs,all,hohonet__refined__global,global,5,0.21952500939369202,103,"[46, 41, 16]",knn,0,0.0,3
B6ByNegPMKs,all,hohonet__refined__global,coarse,0,0.12735937535762787,103,"[46, 41, 16]",ridge,0,100.0,0
B6ByNegPMKs,all,hohonet__refined__global,coarse,20,0.1229497566819191,103,"[46, 41, 16]",knn,32,0.0,5
B6ByNegPMKs,all,hohonet__refined__global,main,0,0.10995881259441376,103,"[46, 41, 16]",ridge,0,100.0,0
B6ByNegPMKs,all,hohonet__refined__global,main,20,0.10852831602096558,103,"[46, 41, 16]",knn,32,0.0,5
S9hNv5qa7GM,all,hohonet__refined__global,global,7,0.17806430160999298,101,"[44, 41, 16]",ridge,16,100.0,0
S9hNv5qa7GM,all,hohonet__refined__global,global,5,0.22222188115119934,101,"[44, 41, 16]",knn,0,0.0,3
S9hNv5qa7GM,all,hohonet__refined__global,coarse,14,0.12490818649530411,101,"[44, 41, 16]",ridge,32,100.0,0
S9hNv5qa7GM,all,hohonet__refined__global,coarse,20,0.12314512580633163,101,"[44, 41, 16]",knn,32,0.0,5
S9hNv5qa7GM,all,hohonet__refined__global,main,14,0.11068757623434067,101,"[44, 41, 16]",ridge,32,100.0,0
S9hNv5qa7GM,all,hohonet__refined__global,main,20,0.10889334976673126,101,"[44, 41, 16]",knn,32,0.0,5
VFuaQ6m2Qom,all,hohonet__refined__global,global,7,0.17023397982120514,100,"[49, 41, 10]",ridge,16,100.0,0
VFuaQ6m2Qom,all,hohonet__refined__global,global,6,0.20559969544410706,100,"[49, 41, 10]",knn,0,0.0,5
VFuaQ6m2Qom,all,hohonet__refined__global,coarse,7,0.13442640006542206,100,"[49, 41, 10]",ridge,16,100.0,0
VFuaQ6m2Qom,all,hohonet__refined__global,coarse,20,0.13286176323890686,100,"[49, 41, 10]",knn,32,0.0,5
VFuaQ6m2Qom,all,hohonet__refined__global,main,7,0.11533891409635544,100,"[49, 41, 10]",ridge,16,100.0,0
VFuaQ6m2Qom,all,hohonet__refined__global,main,20,0.1165781021118164,100,"[49, 41, 10]",knn,32,0.0,5
Z6MFQCViBuw,all,hohonet__refined__global,global,7,0.14834804832935333,102,"[45, 41, 16]",ridge,16,100.0,0
Z6MFQCViBuw,all,hohonet__refined__global,global,12,0.20043548941612244,102,"[45, 41, 16]",knn,16,0.0,3
Z6MFQCViBuw,all,hohonet__refined__global,coarse,7,0.12356936931610107,102,"[45, 41, 16]",ridge,16,100.0,0
Z6MFQCViBuw,all,hohonet__refined__global,coarse,12,0.12050005793571472,102,"[45, 41, 16]",knn,16,0.0,3
Z6MFQCViBuw,all,hohonet__refined__global,main,7,0.11342577636241913,102,"[45, 41, 16]",ridge,16,100.0,0
Z6MFQCViBuw,all,hohonet__refined__global,main,12,0.11239707469940186,102,"[45, 41, 16]",knn,16,0.0,3
e9zR4mvMWw7,all,hohonet__refined__global,global,7,0.18289145827293396,99,"[42, 41, 16]",ridge,16,100.0,0
e9zR4mvMWw7,all,hohonet__refined__global,global,6,0.24080781638622284,99,"[42, 41, 16]",knn,0,0.0,5
e9zR4mvMWw7,all,hohonet__refined__global,coarse,7,0.14083822071552277,99,"[42, 41, 16]",ridge,16,100.0,0
e9zR4mvMWw7,all,hohonet__refined__global,coarse,13,0.13820257782936096,99,"[42, 41, 16]",knn,16,0.0,5
e9zR4mvMWw7,all,hohonet__refined__global,main,7,0.11773822456598282,99,"[42, 41, 16]",ridge,16,100.0,0
e9zR4mvMWw7,all,hohonet__refined__global,main,6,0.11907216906547546,99,"[42, 41, 16]",knn,0,0.0,5
jtcxE69GiFV,all,hohonet__refined__global,global,7,0.16737784445285797,101,"[49, 36, 16]",ridge,16,100.0,0
jtcxE69GiFV,all,hohonet__refined__global,global,5,0.20792049169540405,101,"[49, 36, 16]",knn,0,0.0,3
jtcxE69GiFV,all,hohonet__refined__global,coarse,7,0.10691791772842407,101,"[49, 36, 16]",ridge,16,100.0,0
jtcxE69GiFV,all,hohonet__refined__global,coarse,20,0.106450654566288,101,"[49, 36, 16]",knn,32,0.0,5
jtcxE69GiFV,all,hohonet__refined__global,main,7,0.08798792213201523,101,"[49, 36, 16]",ridge,16,100.0,0
jtcxE69GiFV,all,hohonet__refined__global,main,20,0.09064243733882904,101,"[49, 36, 16]",knn,32,0.0,5
pa4otMbVnkk,all,hohonet__refined__global,global,7,0.17212262749671936,100,"[49, 35, 16]",ridge,16,100.0,0
pa4otMbVnkk,all,hohonet__refined__global,global,6,0.2367997169494629,100,"[49, 35, 16]",knn,0,0.0,5
pa4otMbVnkk,all,hohonet__refined__global,coarse,14,0.14100730419158936,100,"[49, 35, 16]",ridge,32,100.0,0
pa4otMbVnkk,all,hohonet__refined__global,coarse,6,0.15093478560447693,100,"[49, 35, 16]",knn,0,0.0,5
pa4otMbVnkk,all,hohonet__refined__global,main,14,0.11267606914043427,100,"[49, 35, 16]",ridge,32,100.0,0
pa4otMbVnkk,all,hohonet__refined__global,main,20,0.11479546874761581,100,"[49, 35, 16]",knn,32,0.0,5
rPc6DW4iMge,all,hohonet__refined__global,global,7,0.17558562755584717,103,"[46, 41, 16]",ridge,16,100.0,0
rPc6DW4iMge,all,hohonet__refined__global,global,6,0.22465988993644714,103,"[46, 41, 16]",knn,0,0.0,5
rPc6DW4iMge,all,hohonet__refined__global,coarse,7,0.1317041665315628,103,"[46, 41, 16]",ridge,16,100.0,0
rPc6DW4iMge,all,hohonet__refined__global,coarse,6,0.12556192278862,103,"[46, 41, 16]",knn,0,0.0,5
rPc6DW4iMge,all,hohonet__refined__global,main,7,0.11225398629903793,103,"[46, 41, 16]",ridge,16,100.0,0
rPc6DW4iMge,all,hohonet__refined__global,main,6,0.11185973882675171,103,"[46, 41, 16]",knn,0,0.0,5
uNb9QFRL6hY,all,hohonet__refined__global,global,3,0.19263902306556702,66,"[37, 21, 8]",ridge,0,0.1,0
uNb9QFRL6hY,all,hohonet__refined__global,global,13,0.25484809279441833,66,"[37, 21, 8]",knn,16,0.0,5
uNb9QFRL6hY,all,hohonet__refined__global,coarse,3,0.13320627808570862,66,"[37, 21, 8]",ridge,0,0.1,0
uNb9QFRL6hY,all,hohonet__refined__global,coarse,20,0.16737379133701324,66,"[37, 21, 8]",knn,32,0.0,5
uNb9QFRL6hY,all,hohonet__refined__global,main,0,0.10525795817375183,66,"[37, 21, 8]",ridge,0,100.0,0
uNb9QFRL6hY,all,hohonet__refined__global,main,20,0.12274094671010971,66,"[37, 21, 8]",knn,32,0.0,5
wc2JMjhGNzB,all,hohonet__refined__global,global,7,0.17051024734973907,92,"[40, 38, 14]",ridge,16,100.0,0
wc2JMjhGNzB,all,hohonet__refined__global,global,5,0.20470984280109406,92,"[40, 38, 14]",knn,0,0.0,3
wc2JMjhGNzB,all,hohonet__refined__global,coarse,7,0.12820880115032196,92,"[40, 38, 14]",ridge,16,100.0,0
wc2JMjhGNzB,all,hohonet__refined__global,coarse,19,0.10666200518608093,92,"[40, 38, 14]",knn,32,0.0,3
wc2JMjhGNzB,all,hohonet__refined__global,main,7,0.10798123478889465,92,"[40, 38, 14]",ridge,16,100.0,0
wc2JMjhGNzB,all,hohonet__refined__global,main,5,0.0961388573050499,92,"[40, 38, 14]",knn,0,0.0,3
yqstnuAEVhm,all,hohonet__refined__global,global,14,0.16784831881523132,102,"[45, 41, 16]",ridge,32,100.0,0
yqstnuAEVhm,all,hohonet__refined__global,global,20,0.209215447306633,102,"[45, 41, 16]",knn,32,0.0,5
yqstnuAEVhm,all,hohonet__refined__global,coarse,14,0.13117843866348267,102,"[45, 41, 16]",ridge,32,100.0,0
yqstnuAEVhm,all,hohonet__refined__global,coarse,20,0.12412500381469727,102,"[45, 41, 16]",knn,32,0.0,5
yqstnuAEVhm,all,hohonet__refined__global,main,14,0.12252151966094971,102,"[45, 41, 16]",ridge,32,100.0,0
yqstnuAEVhm,all,hohonet__refined__global,main,20,0.11579453945159912,102,"[45, 41, 16]",knn,32,0.0,5
