building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,all,semantic__ai_fine_functions,global,1,0.12646256387233734,101,"[47, 38, 16]",ridge,0,10.0,0
2t7WUuJeko7,all,semantic__ai_fine_functions,global,4,0.1980191171169281,101,"[47, 38, 16]",knn,0,0.0,1
2t7WUuJeko7,all,semantic__ai_fine_functions,coarse,1,0.0932874009013176,101,"[47, 38, 16]",ridge,0,10.0,0
2t7WUuJeko7,all,semantic__ai_fine_functions,coarse,4,0.10915908962488174,101,"[47, 38, 16]",knn,0,0.0,1
2t7WUuJeko7,all,semantic__ai_fine_functions,main,1,0.0911322832107544,101,"[47, 38, 16]",ridge,0,10.0,0
2t7WUuJeko7,all,semantic__ai_fine_functions,main,4,0.1005028635263443,101,"[47, 38, 16]",knn,0,0.0,1
7y3sRwLe3Va,all,semantic__ai_fine_functions,global,1,0.1633932888507843,102,"[49, 37, 16]",ridge,0,10.0,0
7y3sRwLe3Va,all,semantic__ai_fine_functions,global,13,0.2019605189561844,102,"[49, 37, 16]",knn,16,0.0,5
7y3sRwLe3Va,all,semantic__ai_fine_functions,coarse,0,0.11038362979888916,102,"[49, 37, 16]",ridge,0,100.0,0
7y3sRwLe3Va,all,semantic__ai_fine_functions,coarse,4,0.1191888302564621,102,"[49, 37, 16]",knn,0,0.0,1
7y3sRwLe3Va,all,semantic__ai_fine_functions,main,0,0.09950275719165802,102,"[49, 37, 16]",ridge,0,100.0,0
7y3sRwLe3Va,all,semantic__ai_fine_functions,main,4,0.11029892414808273,102,"[49, 37, 16]",knn,0,0.0,1
B6ByNegPMKs,all,semantic__ai_fine_functions,global,0,0.1722198724746704,103,"[46, 41, 16]",ridge,0,100.0,0
B6ByNegPMKs,all,semantic__ai_fine_functions,global,13,0.1990288347005844,103,"[46, 41, 16]",knn,16,0.0,5
B6ByNegPMKs,all,semantic__ai_fine_functions,coarse,0,0.11506027728319168,103,"[46, 41, 16]",ridge,0,100.0,0
B6ByNegPMKs,all,semantic__ai_fine_functions,coarse,12,0.12268660962581635,103,"[46, 41, 16]",knn,16,0.0,3
B6ByNegPMKs,all,semantic__ai_fine_functions,main,0,0.09817692637443542,103,"[46, 41, 16]",ridge,0,100.0,0
B6ByNegPMKs,all,semantic__ai_fine_functions,main,12,0.10505305975675583,103,"[46, 41, 16]",knn,16,0.0,3
