building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,all,ulayout__transformer__global,global,7,0.2070699781179428,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,ulayout__transformer__global,global,13,0.19049495458602905,101,"[47, 38, 16]",knn,16,0.0,5
2t7WUuJeko7,all,ulayout__transformer__global,coarse,7,0.10462184995412827,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,ulayout__transformer__global,coarse,13,0.09596164524555206,101,"[47, 38, 16]",knn,16,0.0,5
2t7WUuJeko7,all,ulayout__transformer__global,main,7,0.0989559218287468,101,"[47, 38, 16]",ridge,16,100.0,0
2t7WUuJeko7,all,ulayout__transformer__global,main,13,0.09102103859186172,101,"[47, 38, 16]",knn,16,0.0,5
7y3sRwLe3Va,all,ulayout__transformer__global,global,3,0.2023557424545288,102,"[49, 37, 16]",ridge,0,0.1,0
7y3sRwLe3Va,all,ulayout__transformer__global,global,13,0.19098025560379028,102,"[49, 37, 16]",knn,16,0.0,5
7y3sRwLe3Va,all,ulayout__transformer__global,coarse,7,0.1115969568490982,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,ulayout__transformer__global,coarse,13,0.10163453966379166,102,"[49, 37, 16]",knn,16,0.0,5
7y3sRwLe3Va,all,ulayout__transformer__global,main,7,0.10277122259140015,102,"[49, 37, 16]",ridge,16,100.0,0
7y3sRwLe3Va,all,ulayout__transformer__global,main,13,0.09562642872333527,102,"[49, 37, 16]",knn,16,0.0,5
B6ByNegPMKs,all,ulayout__transformer__global,global,7,0.19119040668010712,103,"[46, 41, 16]",ridge,16,100.0,0
B6ByNegPMKs,all,ulayout__transformer__global,global,13,0.19242703914642334,103,"[46, 41, 16]",knn,16,0.0,5
B6ByNegPMKs,all,ulayout__transformer__global,coarse,7,0.1119866892695427,103,"[46, 41, 16]",ridge,16,100.0,0
B6ByNegPMKs,all,ulayout__transformer__global,coarse,13,0.10531014949083328,103,"[46, 41, 16]",knn,16,0.0,5
B6ByNegPMKs,all,ulayout__transformer__global,main,7,0.09595230966806412,103,"[46, 41, 16]",ridge,16,100.0,0
B6ByNegPMKs,all,ulayout__transformer__global,main,6,0.09206072241067886,103,"[46, 41, 16]",knn,0,0.0,5
S9hNv5qa7GM,all,ulayout__transformer__global,global,7,0.20983046293258667,101,"[44, 41, 16]",ridge,16,100.0,0
S9hNv5qa7GM,all,ulayout__transformer__global,global,13,0.1962375044822693,101,"[44, 41, 16]",knn,16,0.0,5
S9hNv5qa7GM,all,ulayout__transformer__global,coarse,7,0.11962763220071793,101,"[44, 41, 16]",ridge,16,100.0,0
S9hNv5qa7GM,all,ulayout__transformer__global,coarse,13,0.1098351776599884,101,"[44, 41, 16]",knn,16,0.0,5
S9hNv5qa7GM,all,ulayout__transformer__global,main,7,0.10485903173685074,101,"[44, 41, 16]",ridge,16,100.0,0
S9hNv5qa7GM,all,ulayout__transformer__global,main,13,0.09757333993911743,101,"[44, 41, 16]",knn,16,0.0,5
VFuaQ6m2Qom,all,ulayout__transformer__global,global,7,0.189455047249794,100,"[49, 41, 10]",ridge,16,100.0,0
VFuaQ6m2Qom,all,ulayout__transformer__global,global,13,0.19519977271556854,100,"[49, 41, 10]",knn,16,0.0,5
VFuaQ6m2Qom,all,ulayout__transformer__global,coarse,7,0.12284386903047562,100,"[49, 41, 10]",ridge,16,100.0,0
VFuaQ6m2Qom,all,ulayout__transformer__global,coarse,13,0.11986401677131653,100,"[49, 41, 10]",knn,16,0.0,5
VFuaQ6m2Qom,all,ulayout__transformer__global,main,7,0.10644817352294922,100,"[49, 41, 10]",ridge,16,100.0,0
VFuaQ6m2Qom,all,ulayout__transformer__global,main,19,0.10558418184518814,100,"[49, 41, 10]",knn,32,0.0,3
Z6MFQCViBuw,all,ulayout__transformer__global,global,7,0.18368610739707947,102,"[45, 41, 16]",ridge,16,100.0,0
Z6MFQCViBuw,all,ulayout__transformer__global,global,13,0.19980376958847046,102,"[45, 41, 16]",knn,16,0.0,5
Z6MFQCViBuw,all,ulayout__transformer__global,coarse,7,0.11771638691425323,102,"[45, 41, 16]",ridge,16,100.0,0
Z6MFQCViBuw,all,ulayout__transformer__global,coarse,13,0.11294045299291611,102,"[45, 41, 16]",knn,16,0.0,5
Z6MFQCViBuw,all,ulayout__transformer__global,main,7,0.10924362391233444,102,"[45, 41, 16]",ridge,16,100.0,0
Z6MFQCViBuw,all,ulayout__transformer__global,main,13,0.10443522781133652,102,"[45, 41, 16]",knn,16,0.0,5
e9zR4mvMWw7,all,ulayout__transformer__global,global,7,0.2167925387620926,99,"[42, 41, 16]",ridge,16,100.0,0
e9zR4mvMWw7,all,ulayout__transformer__global,global,13,0.20666654407978058,99,"[42, 41, 16]",knn,16,0.0,5
e9zR4mvMWw7,all,ulayout__transformer__global,coarse,7,0.12462304532527924,99,"[42, 41, 16]",ridge,16,100.0,0
e9zR4mvMWw7,all,ulayout__transformer__global,coarse,13,0.11591283977031708,99,"[42, 41, 16]",knn,16,0.0,5
e9zR4mvMWw7,all,ulayout__transformer__global,main,7,0.10778261721134186,99,"[42, 41, 16]",ridge,16,100.0,0
e9zR4mvMWw7,all,ulayout__transformer__global,main,13,0.10044384002685547,99,"[42, 41, 16]",knn,16,0.0,5
jtcxE69GiFV,all,ulayout__transformer__global,global,7,0.20126421749591827,101,"[49, 36, 16]",ridge,16,100.0,0
jtcxE69GiFV,all,ulayout__transformer__global,global,20,0.20534637570381165,101,"[49, 36, 16]",knn,32,0.0,5
jtcxE69GiFV,all,ulayout__transformer__global,coarse,7,0.10442952811717987,101,"[49, 36, 16]",ridge,16,100.0,0
jtcxE69GiFV,all,ulayout__transformer__global,coarse,20,0.10037253797054291,101,"[49, 36, 16]",knn,32,0.0,5
jtcxE69GiFV,all,ulayout__transformer__global,main,7,0.08852948248386383,101,"[49, 36, 16]",ridge,16,100.0,0
jtcxE69GiFV,all,ulayout__transformer__global,main,20,0.0854293629527092,101,"[49, 36, 16]",knn,32,0.0,5
pa4otMbVnkk,all,ulayout__transformer__global,global,7,0.20918013155460358,100,"[49, 35, 16]",ridge,16,100.0,0
pa4otMbVnkk,all,ulayout__transformer__global,global,13,0.20619983971118927,100,"[49, 35, 16]",knn,16,0.0,5
pa4otMbVnkk,all,ulayout__transformer__global,coarse,7,0.14134599268436432,100,"[49, 35, 16]",ridge,16,100.0,0
pa4otMbVnkk,all,ulayout__transformer__global,coarse,13,0.1353408843278885,100,"[49, 35, 16]",knn,16,0.0,5
pa4otMbVnkk,all,ulayout__transformer__global,main,7,0.10818051546812057,100,"[49, 35, 16]",ridge,16,100.0,0
pa4otMbVnkk,all,ulayout__transformer__global,main,13,0.1050231009721756,100,"[49, 35, 16]",knn,16,0.0,5
rPc6DW4iMge,all,ulayout__transformer__global,global,7,0.2041037529706955,103,"[46, 41, 16]",ridge,16,100.0,0
rPc6DW4iMge,all,ulayout__transformer__global,global,13,0.19592221081256866,103,"[46, 41, 16]",knn,16,0.0,5
rPc6DW4iMge,all,ulayout__transformer__global,coarse,7,0.11794045567512512,103,"[46, 41, 16]",ridge,16,100.0,0
rPc6DW4iMge,all,ulayout__transformer__global,coarse,13,0.11163405328989029,103,"[46, 41, 16]",knn,16,0.0,5
rPc6DW4iMge,all,ulayout__transformer__global,main,7,0.10402286052703857,103,"[46, 41, 16]",ridge,16,100.0,0
rPc6DW4iMge,all,ulayout__transformer__global,main,13,0.10024956613779068,103,"[46, 41, 16]",knn,16,0.0,5
uNb9QFRL6hY,all,ulayout__transformer__global,global,7,0.1825963705778122,66,"[37, 21, 8]",ridge,16,100.0,0
uNb9QFRL6hY,all,ulayout__transformer__global,global,19,0.2121208757162094,66,"[37, 21, 8]",knn,32,0.0,3
uNb9QFRL6hY,all,ulayout__transformer__global,coarse,0,0.13428616523742676,66,"[37, 21, 8]",ridge,0,100.0,0
uNb9QFRL6hY,all,ulayout__transformer__global,coarse,19,0.14613600075244904,66,"[37, 21, 8]",knn,32,0.0,3
uNb9QFRL6hY,all,ulayout__transformer__global,main,1,0.09642152488231659,66,"[37, 21, 8]",ridge,0,10.0,0
uNb9QFRL6hY,all,ulayout__transformer__global,main,19,0.10716865211725235,66,"[37, 21, 8]",knn,32,0.0,3
wc2JMjhGNzB,all,ulayout__transformer__global,global,7,0.210415780544281,92,"[40, 38, 14]",ridge,16,100.0,0
wc2JMjhGNzB,all,ulayout__transformer__global,global,13,0.21108680963516235,92,"[40, 38, 14]",knn,16,0.0,5
wc2JMjhGNzB,all,ulayout__transformer__global,coarse,7,0.12100767344236374,92,"[40, 38, 14]",ridge,16,100.0,0
wc2JMjhGNzB,all,ulayout__transformer__global,coarse,13,0.1064944863319397,92,"[40, 38, 14]",knn,16,0.0,5
wc2JMjhGNzB,all,ulayout__transformer__global,main,7,0.10195933282375336,92,"[40, 38, 14]",ridge,16,100.0,0
wc2JMjhGNzB,all,ulayout__transformer__global,main,20,0.0886177197098732,92,"[40, 38, 14]",knn,32,0.0,5
yqstnuAEVhm,all,ulayout__transformer__global,global,15,0.1960664689540863,102,"[45, 41, 16]",ridge,32,10.0,0
yqstnuAEVhm,all,ulayout__transformer__global,global,13,0.18117639422416687,102,"[45, 41, 16]",knn,16,0.0,5
yqstnuAEVhm,all,ulayout__transformer__global,coarse,14,0.12025122344493866,102,"[45, 41, 16]",ridge,32,100.0,0
yqstnuAEVhm,all,ulayout__transformer__global,coarse,13,0.10891910642385483,102,"[45, 41, 16]",knn,16,0.0,5
yqstnuAEVhm,all,ulayout__transformer__global,main,14,0.10952392220497131,102,"[45, 41, 16]",ridge,32,100.0,0
yqstnuAEVhm,all,ulayout__transformer__global,main,13,0.1009567454457283,102,"[45, 41, 16]",knn,16,0.0,5
