building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,厨房与用餐,da3__layer9__faces_concat,global,0,2.566835632933362e-12,8,"[8, 0, 0]",ridge,0,100.0,0
2t7WUuJeko7,厨房与用餐,da3__layer9__faces_concat,global,4,2.566835632933362e-12,8,"[8, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,厨房与用餐,da3__layer9__faces_concat,coarse,0,2.566835632933362e-12,8,"[8, 0, 0]",ridge,0,100.0,0
2t7WUuJeko7,厨房与用餐,da3__layer9__faces_concat,coarse,4,2.566835632933362e-12,8,"[8, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,厨房与用餐,da3__layer9__faces_concat,main,0,2.566835632933362e-12,8,"[8, 0, 0]",ridge,0,100.0,0
2t7WUuJeko7,厨房与用餐,da3__layer9__faces_concat,main,4,2.566835632933362e-12,8,"[8, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,开放复合空间,da3__layer9__faces_concat,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
7y3sRwLe3Va,开放复合空间,da3__layer9__faces_concat,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,开放复合空间,da3__layer9__faces_concat,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
7y3sRwLe3Va,开放复合空间,da3__layer9__faces_concat,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,开放复合空间,da3__layer9__faces_concat,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
7y3sRwLe3Va,开放复合空间,da3__layer9__faces_concat,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,通行与连接,da3__layer9__faces_concat,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,通行与连接,da3__layer9__faces_concat,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,通行与连接,da3__layer9__faces_concat,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,通行与连接,da3__layer9__faces_concat,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,通行与连接,da3__layer9__faces_concat,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,通行与连接,da3__layer9__faces_concat,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
S9hNv5qa7GM,卧室,da3__layer9__faces_concat,global,7,0.25547027587890625,28,"[18, 10, 0]",ridge,16,100.0,0
S9hNv5qa7GM,卧室,da3__layer9__faces_concat,global,6,0.22285676002502441,28,"[18, 10, 0]",knn,0,0.0,5
S9hNv5qa7GM,卧室,da3__layer9__faces_concat,coarse,7,0.25547027587890625,28,"[18, 10, 0]",ridge,16,100.0,0
S9hNv5qa7GM,卧室,da3__layer9__faces_concat,coarse,6,0.22285676002502441,28,"[18, 10, 0]",knn,0,0.0,5
S9hNv5qa7GM,卧室,da3__layer9__faces_concat,main,7,0.25547027587890625,28,"[18, 10, 0]",ridge,16,100.0,0
S9hNv5qa7GM,卧室,da3__layer9__faces_concat,main,6,0.22285676002502441,28,"[18, 10, 0]",knn,0,0.0,5
VFuaQ6m2Qom,卫浴,da3__layer9__faces_concat,global,3,0.12768280506134033,16,"[0, 6, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,卫浴,da3__layer9__faces_concat,global,5,0.14930561184883118,16,"[0, 6, 10]",knn,0,0.0,3
VFuaQ6m2Qom,卫浴,da3__layer9__faces_concat,coarse,3,0.12768280506134033,16,"[0, 6, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,卫浴,da3__layer9__faces_concat,coarse,5,0.14930561184883118,16,"[0, 6, 10]",knn,0,0.0,3
VFuaQ6m2Qom,卫浴,da3__layer9__faces_concat,main,3,0.12768280506134033,16,"[0, 6, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,卫浴,da3__layer9__faces_concat,main,5,0.14930561184883118,16,"[0, 6, 10]",knn,0,0.0,3
Z6MFQCViBuw,厨房与用餐,da3__layer9__faces_concat,global,0,0.2670441269874573,9,"[6, 3, 0]",ridge,0,100.0,0
Z6MFQCViBuw,厨房与用餐,da3__layer9__faces_concat,global,6,0.24666611850261688,9,"[6, 3, 0]",knn,0,0.0,5
Z6MFQCViBuw,厨房与用餐,da3__layer9__faces_concat,coarse,0,0.2670441269874573,9,"[6, 3, 0]",ridge,0,100.0,0
Z6MFQCViBuw,厨房与用餐,da3__layer9__faces_concat,coarse,6,0.24666611850261688,9,"[6, 3, 0]",knn,0,0.0,5
Z6MFQCViBuw,厨房与用餐,da3__layer9__faces_concat,main,0,0.23954489827156067,9,"[6, 3, 0]",ridge,0,100.0,0
Z6MFQCViBuw,厨房与用餐,da3__layer9__faces_concat,main,6,0.21888098120689392,9,"[6, 3, 0]",knn,0,0.0,5
e9zR4mvMWw7,卧室,da3__layer9__faces_concat,global,7,0.20269377529621124,27,"[17, 10, 0]",ridge,16,100.0,0
e9zR4mvMWw7,卧室,da3__layer9__faces_concat,global,13,0.19407369196414948,27,"[17, 10, 0]",knn,16,0.0,5
e9zR4mvMWw7,卧室,da3__layer9__faces_concat,coarse,7,0.20269377529621124,27,"[17, 10, 0]",ridge,16,100.0,0
e9zR4mvMWw7,卧室,da3__layer9__faces_concat,coarse,13,0.19407369196414948,27,"[17, 10, 0]",knn,16,0.0,5
e9zR4mvMWw7,卧室,da3__layer9__faces_concat,main,7,0.20269377529621124,27,"[17, 10, 0]",ridge,16,100.0,0
e9zR4mvMWw7,卧室,da3__layer9__faces_concat,main,13,0.19407369196414948,27,"[17, 10, 0]",knn,16,0.0,5
e9zR4mvMWw7,复合／待定,da3__layer9__faces_concat,global,1,inf,3,"[3, 0, 0]",ridge,0,10.0,0
e9zR4mvMWw7,复合／待定,da3__layer9__faces_concat,global,4,inf,3,"[3, 0, 0]",knn,0,0.0,1
e9zR4mvMWw7,复合／待定,da3__layer9__faces_concat,coarse,1,inf,3,"[3, 0, 0]",ridge,0,10.0,0
e9zR4mvMWw7,复合／待定,da3__layer9__faces_concat,coarse,4,inf,3,"[3, 0, 0]",knn,0,0.0,1
e9zR4mvMWw7,复合／待定,da3__layer9__faces_concat,main,1,inf,3,"[3, 0, 0]",ridge,0,10.0,0
e9zR4mvMWw7,复合／待定,da3__layer9__faces_concat,main,4,inf,3,"[3, 0, 0]",knn,0,0.0,1
jtcxE69GiFV,卧室,da3__layer9__faces_concat,global,7,0.12799391150474548,28,"[23, 5, 0]",ridge,16,100.0,0
jtcxE69GiFV,卧室,da3__layer9__faces_concat,global,6,0.11142831295728683,28,"[23, 5, 0]",knn,0,0.0,5
jtcxE69GiFV,卧室,da3__layer9__faces_concat,coarse,7,0.12799391150474548,28,"[23, 5, 0]",ridge,16,100.0,0
jtcxE69GiFV,卧室,da3__layer9__faces_concat,coarse,6,0.11142831295728683,28,"[23, 5, 0]",knn,0,0.0,5
jtcxE69GiFV,卧室,da3__layer9__faces_concat,main,7,0.12799391150474548,28,"[23, 5, 0]",ridge,16,100.0,0
jtcxE69GiFV,卧室,da3__layer9__faces_concat,main,6,0.11142831295728683,28,"[23, 5, 0]",knn,0,0.0,5
pa4otMbVnkk,起居与休闲,da3__layer9__faces_concat,global,1,inf,11,"[0, 11, 0]",ridge,0,10.0,0
pa4otMbVnkk,起居与休闲,da3__layer9__faces_concat,global,4,inf,11,"[0, 11, 0]",knn,0,0.0,1
pa4otMbVnkk,起居与休闲,da3__layer9__faces_concat,coarse,1,inf,11,"[0, 11, 0]",ridge,0,10.0,0
pa4otMbVnkk,起居与休闲,da3__layer9__faces_concat,coarse,4,inf,11,"[0, 11, 0]",knn,0,0.0,1
pa4otMbVnkk,起居与休闲,da3__layer9__faces_concat,main,1,inf,11,"[0, 11, 0]",ridge,0,10.0,0
pa4otMbVnkk,起居与休闲,da3__layer9__faces_concat,main,4,inf,11,"[0, 11, 0]",knn,0,0.0,1
rPc6DW4iMge,卧室,da3__layer9__faces_concat,global,7,0.24215121567249298,30,"[20, 10, 0]",ridge,16,100.0,0
rPc6DW4iMge,卧室,da3__layer9__faces_concat,global,6,0.19799967110157013,30,"[20, 10, 0]",knn,0,0.0,5
rPc6DW4iMge,卧室,da3__layer9__faces_concat,coarse,7,0.24215121567249298,30,"[20, 10, 0]",ridge,16,100.0,0
rPc6DW4iMge,卧室,da3__layer9__faces_concat,coarse,6,0.19799967110157013,30,"[20, 10, 0]",knn,0,0.0,5
rPc6DW4iMge,卧室,da3__layer9__faces_concat,main,7,0.24215121567249298,30,"[20, 10, 0]",ridge,16,100.0,0
rPc6DW4iMge,卧室,da3__layer9__faces_concat,main,6,0.19799967110157013,30,"[20, 10, 0]",knn,0,0.0,5
uNb9QFRL6hY,储藏与家务辅助,da3__layer9__faces_concat,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
uNb9QFRL6hY,储藏与家务辅助,da3__layer9__faces_concat,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
uNb9QFRL6hY,储藏与家务辅助,da3__layer9__faces_concat,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
uNb9QFRL6hY,储藏与家务辅助,da3__layer9__faces_concat,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
uNb9QFRL6hY,储藏与家务辅助,da3__layer9__faces_concat,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
uNb9QFRL6hY,储藏与家务辅助,da3__layer9__faces_concat,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
uNb9QFRL6hY,卧室,da3__layer9__faces_concat,global,3,0.13850942254066467,24,"[19, 5, 0]",ridge,0,0.1,0
uNb9QFRL6hY,卧室,da3__layer9__faces_concat,global,12,0.14583303034305573,24,"[19, 5, 0]",knn,16,0.0,3
uNb9QFRL6hY,卧室,da3__layer9__faces_concat,coarse,3,0.13850942254066467,24,"[19, 5, 0]",ridge,0,0.1,0
uNb9QFRL6hY,卧室,da3__layer9__faces_concat,coarse,12,0.14583303034305573,24,"[19, 5, 0]",knn,16,0.0,3
uNb9QFRL6hY,卧室,da3__layer9__faces_concat,main,3,0.13850942254066467,24,"[19, 5, 0]",ridge,0,0.1,0
uNb9QFRL6hY,卧室,da3__layer9__faces_concat,main,12,0.14583303034305573,24,"[19, 5, 0]",knn,16,0.0,3
uNb9QFRL6hY,卫浴,da3__layer9__faces_concat,global,0,0.24468058347702026,11,"[0, 3, 8]",ridge,0,100.0,0
uNb9QFRL6hY,卫浴,da3__layer9__faces_concat,global,6,0.2345450520515442,11,"[0, 3, 8]",knn,0,0.0,5
uNb9QFRL6hY,卫浴,da3__layer9__faces_concat,coarse,0,0.24468058347702026,11,"[0, 3, 8]",ridge,0,100.0,0
uNb9QFRL6hY,卫浴,da3__layer9__faces_concat,coarse,6,0.2345450520515442,11,"[0, 3, 8]",knn,0,0.0,5
uNb9QFRL6hY,卫浴,da3__layer9__faces_concat,main,0,0.24468058347702026,11,"[0, 3, 8]",ridge,0,100.0,0
uNb9QFRL6hY,卫浴,da3__layer9__faces_concat,main,6,0.2345450520515442,11,"[0, 3, 8]",knn,0,0.0,5
uNb9QFRL6hY,工作与学习,da3__layer9__faces_concat,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
uNb9QFRL6hY,工作与学习,da3__layer9__faces_concat,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
uNb9QFRL6hY,工作与学习,da3__layer9__faces_concat,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
uNb9QFRL6hY,工作与学习,da3__layer9__faces_concat,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
uNb9QFRL6hY,工作与学习,da3__layer9__faces_concat,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
uNb9QFRL6hY,工作与学习,da3__layer9__faces_concat,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
uNb9QFRL6hY,起居与休闲,da3__layer9__faces_concat,global,1,inf,6,"[0, 6, 0]",ridge,0,10.0,0
uNb9QFRL6hY,起居与休闲,da3__layer9__faces_concat,global,4,inf,6,"[0, 6, 0]",knn,0,0.0,1
uNb9QFRL6hY,起居与休闲,da3__layer9__faces_concat,coarse,1,inf,6,"[0, 6, 0]",ridge,0,10.0,0
uNb9QFRL6hY,起居与休闲,da3__layer9__faces_concat,coarse,4,inf,6,"[0, 6, 0]",knn,0,0.0,1
uNb9QFRL6hY,起居与休闲,da3__layer9__faces_concat,main,1,inf,6,"[0, 6, 0]",ridge,0,10.0,0
uNb9QFRL6hY,起居与休闲,da3__layer9__faces_concat,main,4,inf,6,"[0, 6, 0]",knn,0,0.0,1
wc2JMjhGNzB,卧室,da3__layer9__faces_concat,global,7,0.21426375210285187,28,"[18, 10, 0]",ridge,16,100.0,0
wc2JMjhGNzB,卧室,da3__layer9__faces_concat,global,5,0.2023804634809494,28,"[18, 10, 0]",knn,0,0.0,3
wc2JMjhGNzB,卧室,da3__layer9__faces_concat,coarse,7,0.21426375210285187,28,"[18, 10, 0]",ridge,16,100.0,0
wc2JMjhGNzB,卧室,da3__layer9__faces_concat,coarse,5,0.2023804634809494,28,"[18, 10, 0]",knn,0,0.0,3
wc2JMjhGNzB,卧室,da3__layer9__faces_concat,main,7,0.21426375210285187,28,"[18, 10, 0]",ridge,16,100.0,0
wc2JMjhGNzB,卧室,da3__layer9__faces_concat,main,5,0.2023804634809494,28,"[18, 10, 0]",knn,0,0.0,3
wc2JMjhGNzB,卫浴,da3__layer9__faces_concat,global,3,0.10201427340507507,17,"[0, 3, 14]",ridge,0,0.1,0
wc2JMjhGNzB,卫浴,da3__layer9__faces_concat,global,6,0.10117616504430771,17,"[0, 3, 14]",knn,0,0.0,5
wc2JMjhGNzB,卫浴,da3__layer9__faces_concat,coarse,3,0.10201427340507507,17,"[0, 3, 14]",ridge,0,0.1,0
wc2JMjhGNzB,卫浴,da3__layer9__faces_concat,coarse,6,0.10117616504430771,17,"[0, 3, 14]",knn,0,0.0,5
wc2JMjhGNzB,卫浴,da3__layer9__faces_concat,main,3,0.10201427340507507,17,"[0, 3, 14]",ridge,0,0.1,0
wc2JMjhGNzB,卫浴,da3__layer9__faces_concat,main,6,0.10117616504430771,17,"[0, 3, 14]",knn,0,0.0,5
wc2JMjhGNzB,复合／待定,da3__layer9__faces_concat,global,1,inf,1,"[1, 0, 0]",ridge,0,10.0,0
wc2JMjhGNzB,复合／待定,da3__layer9__faces_concat,global,4,inf,1,"[1, 0, 0]",knn,0,0.0,1
wc2JMjhGNzB,复合／待定,da3__layer9__faces_concat,coarse,1,inf,1,"[1, 0, 0]",ridge,0,10.0,0
wc2JMjhGNzB,复合／待定,da3__layer9__faces_concat,coarse,4,inf,1,"[1, 0, 0]",knn,0,0.0,1
wc2JMjhGNzB,复合／待定,da3__layer9__faces_concat,main,1,inf,1,"[1, 0, 0]",ridge,0,10.0,0
wc2JMjhGNzB,复合／待定,da3__layer9__faces_concat,main,4,inf,1,"[1, 0, 0]",knn,0,0.0,1
wc2JMjhGNzB,无法判断,da3__layer9__faces_concat,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
wc2JMjhGNzB,无法判断,da3__layer9__faces_concat,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
wc2JMjhGNzB,无法判断,da3__layer9__faces_concat,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
wc2JMjhGNzB,无法判断,da3__layer9__faces_concat,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
wc2JMjhGNzB,无法判断,da3__layer9__faces_concat,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
wc2JMjhGNzB,无法判断,da3__layer9__faces_concat,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
yqstnuAEVhm,厨房与用餐,da3__layer9__faces_concat,global,3,0.24602720141410828,9,"[6, 3, 0]",ridge,0,0.1,0
yqstnuAEVhm,厨房与用餐,da3__layer9__faces_concat,global,5,0.20987597107887268,9,"[6, 3, 0]",knn,0,0.0,3
yqstnuAEVhm,厨房与用餐,da3__layer9__faces_concat,coarse,3,0.24602720141410828,9,"[6, 3, 0]",ridge,0,0.1,0
yqstnuAEVhm,厨房与用餐,da3__layer9__faces_concat,coarse,5,0.20987597107887268,9,"[6, 3, 0]",knn,0,0.0,3
yqstnuAEVhm,厨房与用餐,da3__layer9__faces_concat,main,3,0.21821017563343048,9,"[6, 3, 0]",ridge,0,0.1,0
yqstnuAEVhm,厨房与用餐,da3__layer9__faces_concat,main,5,0.1813073754310608,9,"[6, 3, 0]",knn,0,0.0,3
