building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,厨房与用餐,dinov3__cls__panorama,global,0,2.566835632933362e-12,8,"[8, 0, 0]",ridge,0,100.0,0
2t7WUuJeko7,厨房与用餐,dinov3__cls__panorama,global,4,2.566835632933362e-12,8,"[8, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,厨房与用餐,dinov3__cls__panorama,coarse,0,2.566835632933362e-12,8,"[8, 0, 0]",ridge,0,100.0,0
2t7WUuJeko7,厨房与用餐,dinov3__cls__panorama,coarse,4,2.566835632933362e-12,8,"[8, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,厨房与用餐,dinov3__cls__panorama,main,0,2.566835632933362e-12,8,"[8, 0, 0]",ridge,0,100.0,0
2t7WUuJeko7,厨房与用餐,dinov3__cls__panorama,main,4,2.566835632933362e-12,8,"[8, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,开放复合空间,dinov3__cls__panorama,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
7y3sRwLe3Va,开放复合空间,dinov3__cls__panorama,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,开放复合空间,dinov3__cls__panorama,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
7y3sRwLe3Va,开放复合空间,dinov3__cls__panorama,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,开放复合空间,dinov3__cls__panorama,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
7y3sRwLe3Va,开放复合空间,dinov3__cls__panorama,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,通行与连接,dinov3__cls__panorama,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,通行与连接,dinov3__cls__panorama,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,通行与连接,dinov3__cls__panorama,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,通行与连接,dinov3__cls__panorama,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,通行与连接,dinov3__cls__panorama,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,通行与连接,dinov3__cls__panorama,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
S9hNv5qa7GM,卧室,dinov3__cls__panorama,global,10,0.12443089485168457,28,"[18, 10, 0]",ridge,16,0.1,0
S9hNv5qa7GM,卧室,dinov3__cls__panorama,global,12,0.1349203884601593,28,"[18, 10, 0]",knn,16,0.0,3
S9hNv5qa7GM,卧室,dinov3__cls__panorama,coarse,10,0.12443089485168457,28,"[18, 10, 0]",ridge,16,0.1,0
S9hNv5qa7GM,卧室,dinov3__cls__panorama,coarse,12,0.1349203884601593,28,"[18, 10, 0]",knn,16,0.0,3
S9hNv5qa7GM,卧室,dinov3__cls__panorama,main,10,0.12443089485168457,28,"[18, 10, 0]",ridge,16,0.1,0
S9hNv5qa7GM,卧室,dinov3__cls__panorama,main,12,0.1349203884601593,28,"[18, 10, 0]",knn,16,0.0,3
VFuaQ6m2Qom,卫浴,dinov3__cls__panorama,global,3,0.126874178647995,16,"[0, 6, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,卫浴,dinov3__cls__panorama,global,5,0.16666638851165771,16,"[0, 6, 10]",knn,0,0.0,3
VFuaQ6m2Qom,卫浴,dinov3__cls__panorama,coarse,3,0.126874178647995,16,"[0, 6, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,卫浴,dinov3__cls__panorama,coarse,5,0.16666638851165771,16,"[0, 6, 10]",knn,0,0.0,3
VFuaQ6m2Qom,卫浴,dinov3__cls__panorama,main,3,0.126874178647995,16,"[0, 6, 10]",ridge,0,0.1,0
VFuaQ6m2Qom,卫浴,dinov3__cls__panorama,main,5,0.16666638851165771,16,"[0, 6, 10]",knn,0,0.0,3
Z6MFQCViBuw,厨房与用餐,dinov3__cls__panorama,global,0,0.2649858593940735,9,"[6, 3, 0]",ridge,0,100.0,0
Z6MFQCViBuw,厨房与用餐,dinov3__cls__panorama,global,6,0.24666611850261688,9,"[6, 3, 0]",knn,0,0.0,5
Z6MFQCViBuw,厨房与用餐,dinov3__cls__panorama,coarse,0,0.2649858593940735,9,"[6, 3, 0]",ridge,0,100.0,0
Z6MFQCViBuw,厨房与用餐,dinov3__cls__panorama,coarse,6,0.24666611850261688,9,"[6, 3, 0]",knn,0,0.0,5
Z6MFQCViBuw,厨房与用餐,dinov3__cls__panorama,main,0,0.2374689280986786,9,"[6, 3, 0]",ridge,0,100.0,0
Z6MFQCViBuw,厨房与用餐,dinov3__cls__panorama,main,6,0.21888098120689392,9,"[6, 3, 0]",knn,0,0.0,5
