building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,厨房与用餐,hohonet__compressed__global,global,0,2.566835632933362e-12,8,"[8, 0, 0]",ridge,0,100.0,0
2t7WUuJeko7,厨房与用餐,hohonet__compressed__global,global,4,2.566835632933362e-12,8,"[8, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,厨房与用餐,hohonet__compressed__global,coarse,0,2.566835632933362e-12,8,"[8, 0, 0]",ridge,0,100.0,0
2t7WUuJeko7,厨房与用餐,hohonet__compressed__global,coarse,4,2.566835632933362e-12,8,"[8, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,厨房与用餐,hohonet__compressed__global,main,0,2.566835632933362e-12,8,"[8, 0, 0]",ridge,0,100.0,0
2t7WUuJeko7,厨房与用餐,hohonet__compressed__global,main,4,2.566835632933362e-12,8,"[8, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,开放复合空间,hohonet__compressed__global,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
7y3sRwLe3Va,开放复合空间,hohonet__compressed__global,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,开放复合空间,hohonet__compressed__global,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
7y3sRwLe3Va,开放复合空间,hohonet__compressed__global,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,开放复合空间,hohonet__compressed__global,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
7y3sRwLe3Va,开放复合空间,hohonet__compressed__global,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,通行与连接,hohonet__compressed__global,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,通行与连接,hohonet__compressed__global,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,通行与连接,hohonet__compressed__global,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,通行与连接,hohonet__compressed__global,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,通行与连接,hohonet__compressed__global,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,通行与连接,hohonet__compressed__global,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
S9hNv5qa7GM,卧室,hohonet__compressed__global,global,7,0.2153545767068863,28,"[18, 10, 0]",ridge,16,100.0,0
S9hNv5qa7GM,卧室,hohonet__compressed__global,global,13,0.1857139766216278,28,"[18, 10, 0]",knn,16,0.0,5
S9hNv5qa7GM,卧室,hohonet__compressed__global,coarse,7,0.2153545767068863,28,"[18, 10, 0]",ridge,16,100.0,0
S9hNv5qa7GM,卧室,hohonet__compressed__global,coarse,13,0.1857139766216278,28,"[18, 10, 0]",knn,16,0.0,5
S9hNv5qa7GM,卧室,hohonet__compressed__global,main,7,0.2153545767068863,28,"[18, 10, 0]",ridge,16,100.0,0
S9hNv5qa7GM,卧室,hohonet__compressed__global,main,13,0.1857139766216278,28,"[18, 10, 0]",knn,16,0.0,5
VFuaQ6m2Qom,卫浴,hohonet__compressed__global,global,0,0.15954352915287018,16,"[0, 6, 10]",ridge,0,100.0,0
VFuaQ6m2Qom,卫浴,hohonet__compressed__global,global,6,0.18874980509281158,16,"[0, 6, 10]",knn,0,0.0,5
VFuaQ6m2Qom,卫浴,hohonet__compressed__global,coarse,0,0.15954352915287018,16,"[0, 6, 10]",ridge,0,100.0,0
VFuaQ6m2Qom,卫浴,hohonet__compressed__global,coarse,6,0.18874980509281158,16,"[0, 6, 10]",knn,0,0.0,5
VFuaQ6m2Qom,卫浴,hohonet__compressed__global,main,0,0.15954352915287018,16,"[0, 6, 10]",ridge,0,100.0,0
VFuaQ6m2Qom,卫浴,hohonet__compressed__global,main,6,0.18874980509281158,16,"[0, 6, 10]",knn,0,0.0,5
Z6MFQCViBuw,厨房与用餐,hohonet__compressed__global,global,0,0.38888776302337646,9,"[6, 3, 0]",ridge,0,100.0,0
Z6MFQCViBuw,厨房与用餐,hohonet__compressed__global,global,6,0.24666611850261688,9,"[6, 3, 0]",knn,0,0.0,5
Z6MFQCViBuw,厨房与用餐,hohonet__compressed__global,coarse,0,0.38888776302337646,9,"[6, 3, 0]",ridge,0,100.0,0
Z6MFQCViBuw,厨房与用餐,hohonet__compressed__global,coarse,6,0.24666611850261688,9,"[6, 3, 0]",knn,0,0.0,5
Z6MFQCViBuw,厨房与用餐,hohonet__compressed__global,main,0,0.3584721088409424,9,"[6, 3, 0]",ridge,0,100.0,0
Z6MFQCViBuw,厨房与用餐,hohonet__compressed__global,main,6,0.21888098120689392,9,"[6, 3, 0]",knn,0,0.0,5
e9zR4mvMWw7,卧室,hohonet__compressed__global,global,10,0.27054351568222046,27,"[17, 10, 0]",ridge,16,0.1,0
e9zR4mvMWw7,卧室,hohonet__compressed__global,global,13,0.21111078560352325,27,"[17, 10, 0]",knn,16,0.0,5
e9zR4mvMWw7,卧室,hohonet__compressed__global,coarse,10,0.27054351568222046,27,"[17, 10, 0]",ridge,16,0.1,0
e9zR4mvMWw7,卧室,hohonet__compressed__global,coarse,13,0.21111078560352325,27,"[17, 10, 0]",knn,16,0.0,5
e9zR4mvMWw7,卧室,hohonet__compressed__global,main,10,0.27054351568222046,27,"[17, 10, 0]",ridge,16,0.1,0
e9zR4mvMWw7,卧室,hohonet__compressed__global,main,13,0.21111078560352325,27,"[17, 10, 0]",knn,16,0.0,5
e9zR4mvMWw7,复合／待定,hohonet__compressed__global,global,1,inf,3,"[3, 0, 0]",ridge,0,10.0,0
e9zR4mvMWw7,复合／待定,hohonet__compressed__global,global,4,inf,3,"[3, 0, 0]",knn,0,0.0,1
e9zR4mvMWw7,复合／待定,hohonet__compressed__global,coarse,1,inf,3,"[3, 0, 0]",ridge,0,10.0,0
e9zR4mvMWw7,复合／待定,hohonet__compressed__global,coarse,4,inf,3,"[3, 0, 0]",knn,0,0.0,1
e9zR4mvMWw7,复合／待定,hohonet__compressed__global,main,1,inf,3,"[3, 0, 0]",ridge,0,10.0,0
e9zR4mvMWw7,复合／待定,hohonet__compressed__global,main,4,inf,3,"[3, 0, 0]",knn,0,0.0,1
jtcxE69GiFV,卧室,hohonet__compressed__global,global,0,0.12552477419376373,28,"[23, 5, 0]",ridge,0,100.0,0
jtcxE69GiFV,卧室,hohonet__compressed__global,global,6,0.12142831087112427,28,"[23, 5, 0]",knn,0,0.0,5
jtcxE69GiFV,卧室,hohonet__compressed__global,coarse,0,0.12552477419376373,28,"[23, 5, 0]",ridge,0,100.0,0
jtcxE69GiFV,卧室,hohonet__compressed__global,coarse,6,0.12142831087112427,28,"[23, 5, 0]",knn,0,0.0,5
jtcxE69GiFV,卧室,hohonet__compressed__global,main,0,0.12552477419376373,28,"[23, 5, 0]",ridge,0,100.0,0
jtcxE69GiFV,卧室,hohonet__compressed__global,main,6,0.12142831087112427,28,"[23, 5, 0]",knn,0,0.0,5
pa4otMbVnkk,起居与休闲,hohonet__compressed__global,global,1,inf,11,"[0, 11, 0]",ridge,0,10.0,0
pa4otMbVnkk,起居与休闲,hohonet__compressed__global,global,4,inf,11,"[0, 11, 0]",knn,0,0.0,1
pa4otMbVnkk,起居与休闲,hohonet__compressed__global,coarse,1,inf,11,"[0, 11, 0]",ridge,0,10.0,0
pa4otMbVnkk,起居与休闲,hohonet__compressed__global,coarse,4,inf,11,"[0, 11, 0]",knn,0,0.0,1
pa4otMbVnkk,起居与休闲,hohonet__compressed__global,main,1,inf,11,"[0, 11, 0]",ridge,0,10.0,0
pa4otMbVnkk,起居与休闲,hohonet__compressed__global,main,4,inf,11,"[0, 11, 0]",knn,0,0.0,1
rPc6DW4iMge,卧室,hohonet__compressed__global,global,3,0.23113685846328735,30,"[20, 10, 0]",ridge,0,0.1,0
rPc6DW4iMge,卧室,hohonet__compressed__global,global,13,0.18399956822395325,30,"[20, 10, 0]",knn,16,0.0,5
rPc6DW4iMge,卧室,hohonet__compressed__global,coarse,3,0.23113685846328735,30,"[20, 10, 0]",ridge,0,0.1,0
rPc6DW4iMge,卧室,hohonet__compressed__global,coarse,13,0.18399956822395325,30,"[20, 10, 0]",knn,16,0.0,5
rPc6DW4iMge,卧室,hohonet__compressed__global,main,3,0.23113685846328735,30,"[20, 10, 0]",ridge,0,0.1,0
rPc6DW4iMge,卧室,hohonet__compressed__global,main,13,0.18399956822395325,30,"[20, 10, 0]",knn,16,0.0,5
uNb9QFRL6hY,储藏与家务辅助,hohonet__compressed__global,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
uNb9QFRL6hY,储藏与家务辅助,hohonet__compressed__global,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
uNb9QFRL6hY,储藏与家务辅助,hohonet__compressed__global,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
uNb9QFRL6hY,储藏与家务辅助,hohonet__compressed__global,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
uNb9QFRL6hY,储藏与家务辅助,hohonet__compressed__global,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
uNb9QFRL6hY,储藏与家务辅助,hohonet__compressed__global,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
