building,stratum,feature,baseline,grid,inner_rps,n_local_training,train_class_counts,algorithm,pca,alpha,k
2t7WUuJeko7,kitchen,bilayout__fg_enclosed__global,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,bilayout__fg_enclosed__global,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,kitchen,bilayout__fg_enclosed__global,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,bilayout__fg_enclosed__global,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
2t7WUuJeko7,kitchen,bilayout__fg_enclosed__global,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
2t7WUuJeko7,kitchen,bilayout__fg_enclosed__global,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,bilayout__fg_enclosed__global,global,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,bilayout__fg_enclosed__global,global,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,bilayout__fg_enclosed__global,coarse,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,bilayout__fg_enclosed__global,coarse,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
7y3sRwLe3Va,living,bilayout__fg_enclosed__global,main,0,1.0133650646046433e-12,17,"[0, 17, 0]",ridge,0,100.0,0
7y3sRwLe3Va,living,bilayout__fg_enclosed__global,main,4,1.0133650646046433e-12,17,"[0, 17, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,bilayout__fg_enclosed__global,global,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,bilayout__fg_enclosed__global,global,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,bilayout__fg_enclosed__global,coarse,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,bilayout__fg_enclosed__global,coarse,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
B6ByNegPMKs,circulation,bilayout__fg_enclosed__global,main,1,inf,0,"[0, 0, 0]",ridge,0,10.0,0
B6ByNegPMKs,circulation,bilayout__fg_enclosed__global,main,4,inf,0,"[0, 0, 0]",knn,0,0.0,1
S9hNv5qa7GM,sleep,bilayout__fg_enclosed__global,global,0,0.053022608160972595,29,"[19, 10, 0]",ridge,0,100.0,0
S9hNv5qa7GM,sleep,bilayout__fg_enclosed__global,global,4,0.08620654791593552,29,"[19, 10, 0]",knn,0,0.0,1
S9hNv5qa7GM,sleep,bilayout__fg_enclosed__global,coarse,1,0.05295296758413315,29,"[19, 10, 0]",ridge,0,10.0,0
S9hNv5qa7GM,sleep,bilayout__fg_enclosed__global,coarse,4,0.0862184688448906,29,"[19, 10, 0]",knn,0,0.0,1
S9hNv5qa7GM,sleep,bilayout__fg_enclosed__global,main,0,0.053022608160972595,29,"[19, 10, 0]",ridge,0,100.0,0
S9hNv5qa7GM,sleep,bilayout__fg_enclosed__global,main,4,0.08620654791593552,29,"[19, 10, 0]",knn,0,0.0,1
VFuaQ6m2Qom,bathroom,bilayout__fg_enclosed__global,global,0,0.09588104486465454,16,"[0, 6, 10]",ridge,0,100.0,0
VFuaQ6m2Qom,bathroom,bilayout__fg_enclosed__global,global,4,0.0937497466802597,16,"[0, 6, 10]",knn,0,0.0,1
VFuaQ6m2Qom,bathroom,bilayout__fg_enclosed__global,coarse,0,0.09588104486465454,16,"[0, 6, 10]",ridge,0,100.0,0
VFuaQ6m2Qom,bathroom,bilayout__fg_enclosed__global,coarse,4,0.0937497466802597,16,"[0, 6, 10]",knn,0,0.0,1
VFuaQ6m2Qom,bathroom,bilayout__fg_enclosed__global,main,0,0.09588104486465454,16,"[0, 6, 10]",ridge,0,100.0,0
VFuaQ6m2Qom,bathroom,bilayout__fg_enclosed__global,main,4,0.0937497466802597,16,"[0, 6, 10]",knn,0,0.0,1
